Round,AGI,KAGI
1,53,54
2,47,52
3,48,56
4,35,49
5,48,52
6,55,64
7,48,57
8,47,37
9,47,47
10,59,42
11,52,52
12,45,47
13,44,40
14,60,58
15,59,61
16,64,54
17,55,40
18,68,55
19,43,41
20,44,34
21,45,43
22,65,54
23,57,56
24,45,55
25,51,54
26,54,46
27,52,45
28,35,52
29,51,43
30,49,27
31,59,66
32,52,44
33,70,55
34,45,50
35,54,38
36,67,50
37,42,57
38,48,48
39,44,67
40,70,47
41,55,47
42,49,46
1,45,33
2,45,53
3,41,38
4,36,41
5,51,38
6,54,45
7,50,58
8,49,54
9,56,60
10,48,55
11,36,48
12,40,38
13,54,61
14,52,49
15,65,51
16,56,48
17,45,48
18,51,63
19,53,52
20,31,48
21,49,53
22,44,45
23,14,61
24,44,46
25,54,46
26,30,52
27,47,75
28,49,59
29,57,42
30,59,55
31,54,72
32,50,52
33,48,48
34,53,56
35,49,62
36,57,52
37,46,66
38,51,50
39,46,58
40,43,68
41,49,41
42,61,74
1,44,61
2,57,45
3,56,45
4,50,49
5,57,55
6,55,49
7,42,54
8,43,38
9,48,54
10,63,47
11,58,86
12,57,84
13,55,60
14,40,46
15,48,46
16,32,38
17,54,42
18,59,65
19,45,49
20,63,84
21,55,52
22,54,50
23,49,58
24,52,41
25,49,79
26,58,49
27,53,66
28,57,70
29,51,47
30,58,62
31,64,54
32,76,70
33,38,55
34,57,59
35,59,45
36,54,55
37,55,54
38,54,47
39,64,55
40,60,59
41,52,39
42,42,51
1,55,42
2,53,60
3,53,44
4,51,54
5,74,80
6,53,56
7,53,54
8,58,50
9,53,66
10,59,55
11,58,49
12,46,53
13,38,63
14,31,54
15,55,74
16,56,56
17,62,53
18,58,57
19,58,55
20,50,58
21,49,47
22,57,58
23,61,50
24,55,52
25,40,42
26,48,60
27,62,61
29,38,48
30,36,49
31,48,100
28,47,58
32,54,73
33,55,47
34,57,54
35,48,76
36,44,36
37,53,51
38,56,50
39,45,48
40,58,44
41,47,55
42,43,45
