Round,AGI,KAGI
1,71,43
2,66,70
3,40,53
4,73,54
5,58,57
6,59,63
7,54,58
8,54,50
9,47,49
10,65,46
11,65,40
12,50,50
13,62,66
14,59,63
15,57,61
16,51,50
17,58,54
18,64,57
19,63,71
20,65,43
21,48,47
22,58,44
23,56,61
24,63,41
25,44,54
26,66,50
27,61,49
28,66,34
29,60,54
30,66,47
31,53,46
32,58,52
33,72,56
34,60,57
1,42,48
2,46,46
3,51,73
4,43,40
5,20,52
6,43,45
7,60,49
8,56,59
9,40,44
10,52,41
11,57,52
12,59,48
13,55,55
14,50,57
15,40,47
16,52,59
17,46,57
18,53,62
19,53,32
20,60,52
21,45,44
22,52,56
23,50,44
24,54,56
25,52,49
26,59,67
27,18,40
28,53,36
29,48,57
30,69,42
31,44,51
32,47,48
33,59,51
34,45,43
35,59,59
36,35,43
37,36,45
38,54,45
39,60,31
40,45,49
41,25,46
42,27,44
1,38,43
2,69,50
3,61,46
4,47,54
5,50,47
6,47,45
7,50,40
8,51,42
9,42,40
10,43,48
11,49,36
12,63,47
13,56,44
14,9,45
15,47,50
16,55,41
17,51,35
18,51,32
19,60,57
20,42,43
21,48,45
22,60,55
23,45,47
24,48,35
26,53,47
25,46,27
27,43,35
28,65,47
29,56,43
30,47,45
31,46,36
32,60,56
33,49,45
34,41,16
35,50,34
36,60,41
37,4,48
38,54,39
39,49,47
40,43,46
41,49,39
42,43,51
1,45,54
2,36,47
3,45,48
4,47,47
5,20,26
6,33,48
7,40,54
8,50,49
9,43,44
10,58,64
11,47,53
12,46,41
13,52,51
14,35,35
15,55,50
16,53,51
17,39,56
18,58,54
19,51,38
20,40,46
21,24,55
22,34,49
23,43,65
24,48,54
25,55,51
26,41,55
27,47,52
28,42,42
29,41,44
30,51,64
31,59,63
32,63,56
33,62,49
34,38,42
35,43,29
36,45,53
37,44,30
38,41,48
39,50,39
40,43,40
41,58,36
