Round,AGI,KAGI
1,50,40
2,42,47
3,59,43
4,58,45
5,46,30
6,41,34
7,62,43
8,63,52
9,49,44
10,33,38
11,58,36
12,41,25
14,41,30
15,62,43
16,22,37
17,46,42
18,56,56
19,53,58
20,58,37
13,62,46
21,70,55
22,37,43
23,45,40
24,45,40
25,41,36
26,49,38
27,44,40
28,50,44
29,41,43
30,61,49
31,55,55
32,63,34
33,44,28
34,44,33
1,46,47
2,65,46
3,42,49
4,42,40
5,52,39
6,46,51
7,37,56
8,53,49
9,59,50
10,45,40
11,45,50
12,38,60
13,52,44
14,55,51
15,52,56
16,53,56
17,58,56
18,44,45
19,51,52
20,52,39
21,49,72
22,46,50
23,54,41
24,61,74
25,43,43
26,49,49
27,57,53
28,63,43
29,0,47
30,55,40
31,52,51
32,57,66
33,57,74
34,32,40
1,67,65
2,55,49
3,52,49
4,68,48
5,66,68
7,53,46
8,58,60
6,54,52
9,49,50
10,59,54
12,61,67
13,48,78
14,47,50
15,50,57
16,52,50
17,47,61
18,41,51
19,64,65
20,59,48
22,69,58
23,56,65
24,56,53
25,49,47
26,51,51
27,60,58
28,63,52
29,67,54
30,53,67
1,58,45
2,43,50
3,55,54
4,62,48
5,45,50
6,45,42
7,51,41
8,39,31
9,56,57
10,56,51
11,64,47
12,51,61
13,61,42
14,56,51
15,56,78
17,54,39
18,60,50
19,55,55
20,49,51
21,65,51
16,66,54
22,53,58
23,77,55
24,51,35
25,66,76
26,69,56
27,56,41
28,59,58
29,42,50
30,60,53
31,63,45
32,46,67
33,50,55
34,38,45
35,53,33
36,64,56
37,58,50
38,62,41
39,70,50
40,54,36
41,64,42
42,31,48
