Round,AGI,KAGI
1,63,51
2,55,56
3,58,58
4,55,34
5,46,44
6,53,48
7,59,67
8,63,53
9,48,44
10,48,36
11,55,42
12,63,65
13,65,56
14,66,39
15,50,39
16,58,47
17,59,46
18,53,44
19,59,47
20,52,43
21,47,42
22,70,52
23,57,55
24,56,55
25,50,58
26,57,54
27,60,41
28,49,45
29,53,47
30,61,49
31,63,45
32,53,49
33,53,50
34,41,56
35,52,58
36,48,53
37,45,45
38,58,40
39,33,56
40,52,58
41,54,58
42,66,45
1,53,43
2,54,40
3,47,46
4,60,60
5,62,49
6,49,38
7,51,40
8,63,70
9,61,42
10,65,55
11,69,62
12,43,48
13,53,49
14,31,45
15,45,48
16,55,59
17,53,46
18,52,50
19,55,58
20,55,59
21,67,50
22,67,51
23,58,44
24,52,51
25,47,51
26,66,58
27,55,51
28,41,51
29,57,47
30,62,44
31,56,52
32,63,44
33,49,41
34,36,40
35,39,49
36,49,52
37,53,48
38,48,56
39,51,41
40,55,40
41,51,44
42,57,40
1,59,47
2,50,42
3,67,57
4,62,52
5,53,55
6,9,47
7,46,58
8,41,56
9,44,38
10,46,44
11,53,54
12,45,52
13,45,50
14,36,53
15,50,53
16,28,49
17,46,43
18,52,47
19,49,47
20,56,47
21,61,53
22,51,49
23,42,51
26,51,27
24,59,73
27,65,57
28,52,57
29,52,59
25,46,53
30,57,44
31,63,60
32,49,50
33,47,52
34,33,50
35,65,86
36,65,35
37,46,55
38,53,53
39,56,52
40,62,48
41,51,42
42,44,28
1,44,70
2,53,64
3,37,50
4,46,49
5,60,26
6,55,50
7,59,54
8,35,54
9,49,63
10,43,52
11,40,45
12,55,56
13,57,52
14,44,56
15,48,56
16,54,54
17,39,50
18,33,34
19,45,45
20,44,42
21,54,60
22,32,48
23,47,46
24,46,61
25,49,45
26,38,38
27,50,51
28,38,40
29,50,39
30,46,50
31,45,56
33,55,50
34,46,35
32,59,57
35,24,52
36,40,51
37,50,44
38,59,38
39,47,40
40,38,49
41,35,32
42,43,47
