Round,AGI,KAGI
1,53,44
2,42,41
3,46,43
4,55,42
5,42,39
6,47,48
7,47,45
8,45,56
9,50,35
10,25,35
11,44,52
12,52,42
13,46,58
14,37,41
15,44,43
16,35,53
17,57,51
18,54,48
19,52,56
20,46,54
21,55,63
22,48,31
23,45,46
24,42,54
25,47,45
26,24,36
27,41,38
28,48,45
29,46,40
30,49,32
31,45,45
32,48,54
33,68,56
34,40,36
1,59,42
2,53,53
3,65,64
4,61,64
5,59,42
6,51,51
7,47,49
8,53,52
9,63,41
10,61,48
11,50,55
12,52,55
13,33,42
14,43,46
15,52,45
16,40,31
17,69,62
18,67,65
19,55,46
20,56,43
21,67,47
22,78,85
23,64,49
24,61,47
25,57,40
26,60,51
27,48,35
28,64,53
29,68,54
30,45,41
31,49,48
32,39,48
33,51,66
34,54,47
1,57,49
2,69,52
3,56,49
4,49,54
5,57,58
6,44,51
7,50,40
8,38,35
9,49,49
10,61,53
11,59,44
12,52,58
13,47,41
15,43,50
16,61,57
17,33,56
19,46,43
20,54,43
21,48,65
22,46,62
23,55,46
24,41,46
25,55,52
26,49,49
27,51,65
28,52,57
29,61,66
30,61,54
1,42,45
2,55,46
3,53,56
4,54,59
5,59,35
6,54,46
7,46,41
8,57,46
9,65,44
10,41,37
11,56,54
12,51,45
13,58,39
14,53,72
15,51,74
16,48,47
17,47,38
18,46,42
19,52,59
20,51,34
21,45,59
22,61,57
23,49,51
24,41,58
25,42,60
26,63,45
27,57,50
28,60,62
29,38,56
30,54,50
31,43,48
32,48,52
33,54,52
34,49,46
35,57,49
36,55,51
37,50,42
38,50,44
39,53,48
40,60,57
41,40,36
