Round,AGI,KAGI
1,50,48
2,58,71
3,58,60
4,51,65
5,44,38
6,63,58
7,55,71
8,46,54
9,44,51
10,62,46
11,53,54
12,63,39
13,50,52
14,36,42
15,55,62
16,38,40
17,58,53
18,55,49
19,72,60
20,49,28
21,58,53
22,59,56
23,56,54
24,46,48
25,54,47
26,49,48
27,51,51
28,41,42
29,61,75
30,64,33
31,55,37
32,56,48
33,56,91
34,61,46
35,62,54
36,50,35
37,61,48
38,44,52
39,42,40
40,40,51
41,58,40
42,46,47
1,54,62
2,54,54
3,62,59
4,56,44
5,45,44
6,51,70
7,53,63
8,56,59
9,58,39
10,45,52
11,57,35
12,58,54
13,53,39
14,46,46
15,40,76
16,53,49
17,41,31
18,53,46
19,63,58
20,54,45
21,63,45
22,44,48
23,44,49
24,56,36
25,54,46
26,44,46
27,49,57
28,43,44
29,52,47
30,47,39
31,47,54
32,56,37
33,63,49
34,57,47
35,62,44
36,53,32
37,33,44
38,42,47
39,52,45
40,47,47
41,62,42
42,64,49
1,54,47
2,63,49
3,44,38
4,45,63
5,38,42
6,56,46
7,45,53
8,46,47
9,46,52
10,45,44
11,38,38
12,48,55
13,60,61
14,58,42
15,58,60
16,50,55
17,65,49
18,49,54
19,56,58
20,44,48
21,44,54
22,54,57
23,58,51
24,42,64
25,54,58
26,60,51
27,47,57
28,66,36
29,52,56
30,56,37
31,40,37
32,52,53
33,55,51
34,64,65
35,66,65
36,57,51
37,62,64
38,53,46
39,57,48
40,50,50
41,55,52
42,47,52
2,58,50
3,55,50
1,49,46
4,58,39
5,67,57
6,54,46
7,52,61
8,51,50
9,37,51
10,51,42
11,57,49
12,45,53
13,34,42
14,53,43
15,18,39
16,50,40
17,61,46
18,58,54
19,45,42
20,44,40
21,66,71
22,43,39
23,57,59
24,57,51
25,50,45
26,62,62
27,41,57
29,58,45
30,33,34
32,53,46
28,47,41
33,54,47
34,49,43
35,67,47
36,59,71
37,64,46
31,55,50
38,50,44
39,52,55
40,54,55
41,60,45
