Round,AGI,KAGI
1,48,53
2,60,45
3,40,42
4,66,41
5,47,50
6,53,47
7,38,38
8,54,52
9,63,54
10,52,41
11,47,34
12,63,69
13,48,49
14,61,34
15,28,35
16,46,36
17,60,48
18,43,20
19,49,54
20,54,41
21,33,49
22,44,41
23,39,43
24,46,38
25,55,61
26,61,51
27,59,40
28,44,35
29,49,42
30,51,59
31,39,47
32,51,53
33,41,47
34,43,46
35,52,31
36,50,33
37,45,52
38,60,42
39,29,50
40,61,41
41,63,63
42,69,47
1,44,35
2,56,62
3,56,45
4,57,80
5,35,44
6,56,50
7,57,42
8,52,50
9,50,44
10,31,65
11,48,43
12,50,32
13,39,46
14,54,54
15,51,70
16,44,41
17,54,47
18,52,55
19,36,45
20,53,42
21,52,46
22,50,46
23,60,64
24,57,34
25,60,64
26,41,46
27,68,60
28,54,57
29,49,54
30,61,53
31,46,48
32,52,53
33,55,55
34,51,51
35,38,51
36,53,45
37,35,52
38,68,85
39,55,32
40,53,52
41,49,49
42,60,43
1,53,41
2,64,62
3,56,48
4,58,51
5,48,60
6,47,49
7,60,50
8,55,58
9,57,47
10,67,58
11,62,62
12,49,34
13,59,79
14,54,60
15,40,50
16,56,55
17,39,52
18,57,63
19,36,41
20,36,43
21,53,34
22,50,54
23,50,57
26,54,38
24,27,41
27,34,47
28,53,46
29,60,53
25,39,39
30,55,45
31,48,84
32,56,46
33,53,55
34,60,63
35,45,59
36,49,43
37,52,96
38,51,55
39,30,31
40,36,48
41,35,51
42,56,45
1,55,54
2,54,47
3,42,44
4,49,55
5,65,41
6,50,45
7,46,60
8,47,62
9,46,61
10,60,49
11,49,60
12,47,55
13,56,53
14,49,44
15,52,63
16,50,52
17,52,67
18,43,42
19,59,54
20,35,45
21,53,65
22,51,66
23,56,40
24,43,37
25,56,51
26,44,31
27,24,47
28,43,35
29,54,46
30,62,44
31,40,40
34,46,43
32,43,41
35,51,43
36,29,41
37,26,31
33,34,40
38,17,41
39,40,44
40,40,41
41,46,46
42,56,25
