Round,AGI,KAGI
1,52,57
2,48,53
3,57,44
4,48,42
5,65,34
6,45,60
7,53,32
8,55,61
9,52,49
10,45,48
11,46,47
12,46,47
13,51,52
14,50,56
15,50,57
16,49,44
17,51,49
18,54,47
19,53,41
20,46,41
21,54,43
22,54,54
23,56,50
24,63,36
25,62,30
26,49,42
27,52,45
28,60,44
29,53,47
30,47,38
31,34,41
32,55,32
33,49,36
34,54,39
35,50,32
36,53,48
37,68,58
38,50,40
39,40,38
40,47,52
41,49,38
42,53,31
1,52,58
2,41,48
3,54,53
4,49,37
5,43,88
6,53,43
7,37,47
8,46,62
9,36,45
10,46,53
11,48,47
12,37,60
13,47,54
14,53,58
15,40,54
16,59,56
17,54,50
18,37,49
19,49,49
20,42,47
21,45,59
22,52,48
23,51,51
24,39,51
25,56,42
26,42,37
27,43,51
28,58,57
29,41,50
30,49,47
31,53,44
32,56,45
33,36,43
34,44,47
35,51,61
36,55,58
37,48,65
38,34,32
39,31,28
40,51,55
41,38,50
42,45,47
1,60,55
2,38,36
3,36,56
4,46,53
5,60,67
6,59,46
7,50,40
8,44,59
9,42,28
10,42,55
11,14,42
12,51,57
13,41,49
14,56,49
15,50,48
16,59,48
17,46,46
18,45,55
19,45,31
20,52,56
21,51,49
22,36,37
23,46,37
24,59,64
25,21,51
26,55,74
27,43,53
28,68,72
29,63,50
30,50,51
31,40,56
32,50,51
33,44,46
34,37,40
35,47,45
36,38,50
37,48,51
38,59,44
39,52,43
40,54,57
41,45,51
42,37,44
1,63,55
2,54,45
3,50,57
4,65,39
5,52,43
6,52,67
7,46,47
8,54,43
9,47,58
10,35,39
11,40,51
12,39,49
13,43,50
14,44,56
15,52,44
16,41,56
17,46,46
18,46,42
19,56,65
20,33,64
21,15,44
22,51,30
23,55,55
24,46,52
25,58,60
26,47,57
27,49,50
28,58,48
29,54,46
30,57,50
31,39,42
32,48,52
33,45,50
34,52,61
35,54,50
36,38,44
37,54,36
38,47,46
39,48,48
40,47,61
41,53,39
42,53,47
