Round,AGI,KAGI
1,37,28
2,30,44
3,42,81
4,37,50
5,33,55
6,42,49
7,47,44
8,17,43
9,39,39
10,47,50
11,45,40
12,28,53
13,43,43
14,21,25
15,24,21
16,16,47
17,30,42
18,22,37
19,31,36
20,37,52
21,45,51
22,37,63
23,34,55
24,0,44
25,41,59
26,44,44
27,50,69
28,30,36
29,28,51
30,52,45
31,39,53
32,32,33
33,51,60
34,46,50
1,52,58
2,36,58
3,40,47
4,33,60
5,32,44
6,47,62
7,33,44
8,26,58
9,0,40
10,39,51
11,23,39
12,47,48
13,58,55
14,37,49
15,57,48
16,50,56
24,39,45
17,47,60
18,34,70
19,31,41
20,41,71
21,35,44
22,44,62
23,49,54
25,46,61
26,57,54
28,51,49
29,43,57
30,42,43
31,51,49
27,32,52
32,45,49
33,41,49
34,51,46
1,42,49
2,46,42
4,34,45
5,29,49
6,35,44
7,15,34
8,15,67
9,44,60
10,42,54
11,53,56
12,35,50
13,41,42
14,45,48
15,47,54
16,15,39
17,42,54
18,41,46
19,20,50
20,29,30
21,41,48
22,38,51
3,26,34
23,37,36
24,54,35
25,42,45
26,44,63
27,49,42
28,42,50
29,25,57
30,50,54
31,53,49
32,52,66
33,44,57
34,48,62
35,59,51
36,32,33
37,49,53
38,46,59
2,47,35
3,52,44
1,54,51
4,45,51
5,49,59
6,45,54
7,45,49
8,49,58
9,35,53
10,49,44
11,55,60
12,37,63
13,37,62
14,46,100
15,38,51
16,53,52
17,55,56
18,51,54
19,62,49
20,45,56
21,56,85
22,38,42
23,49,51
24,48,45
25,38,50
26,51,51
27,48,53
29,51,57
30,52,50
31,41,41
32,33,54
28,59,53
33,47,34
34,39,48
35,53,64
36,56,48
37,56,50
38,52,51
39,56,60
40,34,40
41,61,78
42,48,44
