Round,AGI,KAGI
1,52,50
2,44,45
3,57,62
4,64,57
5,41,50
6,60,45
7,41,35
8,39,45
9,53,53
10,55,44
11,64,54
12,65,51
13,43,38
14,46,44
15,57,37
16,47,58
17,52,40
18,58,50
19,56,37
20,55,51
21,66,57
22,53,88
23,50,46
24,54,50
25,53,54
26,45,57
27,41,41
28,56,40
29,51,43
30,50,41
31,50,53
32,49,40
33,57,58
34,50,55
35,61,57
36,43,47
37,48,55
38,34,34
39,49,57
40,42,48
41,56,66
42,53,54
1,57,47
2,57,55
3,27,27
4,60,45
5,51,63
6,50,44
7,47,45
8,54,46
9,51,36
10,48,55
11,27,35
12,40,63
13,44,51
14,43,50
15,50,52
16,53,49
17,54,53
18,56,58
19,55,52
20,52,69
21,56,52
22,54,47
23,65,54
24,64,44
25,56,53
26,56,53
27,54,43
28,43,42
29,53,43
30,45,41
31,44,52
32,55,54
33,45,45
34,55,61
35,48,51
36,55,40
37,62,57
38,47,44
39,48,53
40,38,47
41,54,75
42,54,52
1,54,43
2,58,50
3,58,48
4,43,44
5,53,35
6,49,52
7,51,50
8,53,54
9,60,58
10,70,63
11,53,44
12,51,47
13,40,45
14,45,51
15,50,60
16,48,55
17,60,62
18,45,55
19,49,44
20,36,39
21,49,55
22,51,49
23,53,55
24,54,60
25,53,57
26,46,50
27,64,68
28,45,53
29,58,50
30,59,31
31,50,51
32,56,59
33,53,50
34,50,58
35,35,34
36,50,62
37,48,52
38,65,46
39,44,50
40,46,51
41,49,65
42,49,58
1,41,43
2,54,41
3,51,59
4,45,50
5,53,43
6,65,63
7,59,49
9,65,54
10,61,65
11,46,44
12,38,26
13,54,47
14,57,47
15,26,45
16,49,47
17,44,45
18,51,45
19,46,41
20,58,56
21,36,39
22,51,52
23,41,43
24,42,59
25,56,60
26,49,49
27,55,53
28,52,42
29,52,62
30,47,40
31,53,40
32,47,57
33,51,38
8,37,42
34,56,50
35,52,53
36,27,51
37,69,74
38,37,57
39,60,53
40,38,37
41,75,52
42,66,47
