Round,AGI,KAGI
1,44,49
2,55,53
3,63,67
4,48,48
5,62,56
6,53,47
7,65,59
8,65,54
9,40,59
10,53,35
11,48,48
12,50,76
13,51,54
14,72,58
15,53,43
16,61,54
17,46,55
18,67,61
19,54,55
20,57,48
21,57,46
22,55,54
23,52,62
24,41,46
25,60,51
26,53,46
27,59,59
28,48,65
29,55,59
30,46,44
31,44,33
32,49,45
33,50,43
34,54,57
35,46,38
37,49,58
38,64,57
39,47,41
36,51,100
40,50,37
41,62,51
42,55,34
1,38,46
2,47,55
3,27,49
4,52,66
5,44,44
6,50,67
7,48,52
8,30,37
10,47,54
11,59,51
12,41,43
13,61,50
14,40,63
15,30,49
16,50,45
17,47,46
18,47,57
19,42,36
9,35,44
20,47,54
21,59,58
22,51,54
23,51,56
24,50,60
25,51,38
26,48,70
27,57,46
28,40,49
29,46,51
30,55,64
31,54,45
32,43,41
33,56,47
34,60,64
35,57,49
36,57,65
37,40,48
38,68,75
39,42,65
40,55,64
41,43,59
42,53,55
1,53,46
2,49,47
4,50,54
3,49,35
5,40,52
6,45,46
7,43,40
8,43,53
9,33,43
10,42,51
11,58,51
12,43,49
13,56,44
14,49,55
15,63,60
16,62,68
17,57,54
18,51,43
19,42,52
20,51,57
21,56,50
22,46,50
23,49,44
24,36,41
25,47,36
26,50,54
27,47,53
28,45,48
29,52,52
30,40,47
31,53,51
32,30,10
33,48,53
34,41,43
35,58,51
36,43,39
37,32,29
38,57,61
39,50,45
40,50,50
41,43,49
42,49,57
1,55,41
2,55,46
3,44,47
4,15,39
5,37,48
6,37,35
7,37,30
8,45,49
9,43,55
10,45,41
11,58,51
12,59,54
13,48,43
14,0,54
16,48,50
15,22,44
17,57,56
18,41,55
19,61,59
20,60,56
21,50,32
22,42,43
23,54,53
24,65,49
25,40,44
26,57,55
27,51,45
28,50,45
29,55,42
30,34,54
31,47,39
32,51,50
34,54,51
35,33,40
36,52,44
37,51,43
38,54,53
39,61,50
33,66,65
40,51,68
41,36,44
42,75,44
