Round,AGI,KAGI
1,52,37
2,49,48
3,44,52
4,56,64
5,69,62
6,59,53
7,58,55
8,48,46
9,53,42
10,44,38
11,58,45
12,53,54
13,46,49
14,58,48
15,47,49
16,60,62
17,58,53
18,50,42
19,55,51
20,46,57
21,66,39
22,50,52
23,50,44
24,54,59
25,42,38
26,52,51
27,61,52
28,34,37
29,58,51
30,59,50
31,64,58
32,46,59
33,50,47
34,52,57
35,65,72
36,45,49
37,47,30
38,52,52
39,67,55
40,54,51
41,45,45
42,35,57
1,34,48
2,45,43
3,53,54
4,43,48
5,47,47
6,53,45
7,50,48
8,50,48
9,47,50
10,44,45
11,53,52
12,57,59
13,45,45
14,40,57
15,52,55
16,32,46
17,44,49
18,50,44
19,42,37
20,50,49
21,47,51
22,53,46
23,42,45
24,46,59
25,36,40
26,42,34
27,45,43
28,40,48
29,53,48
30,30,45
31,49,56
32,41,50
33,44,49
34,50,38
35,42,53
36,48,43
37,57,43
38,42,45
39,52,54
40,36,45
41,50,62
42,48,45
1,43,43
2,44,48
3,44,64
4,56,57
5,47,40
6,50,52
7,49,54
8,58,49
9,46,45
10,44,45
11,43,47
12,16,43
13,50,55
14,60,52
15,52,30
16,45,44
17,46,33
18,45,45
19,48,44
20,43,49
21,46,56
22,43,38
23,52,42
24,40,46
26,53,47
27,46,36
28,36,39
29,48,46
25,47,54
30,46,78
31,16,52
32,62,58
33,54,56
34,35,36
35,32,25
36,45,46
37,40,60
38,39,43
39,68,63
40,56,50
41,41,47
42,49,50
1,55,58
2,48,43
3,43,50
4,54,63
5,41,51
6,58,55
7,50,84
8,51,55
9,67,66
10,47,51
11,51,43
12,47,54
13,45,51
14,40,47
15,44,52
16,52,54
17,33,48
18,45,54
19,40,53
20,54,60
21,61,64
22,10,47
23,54,60
24,41,32
25,50,62
26,43,53
27,50,43
28,45,47
29,39,58
30,58,53
31,60,47
32,54,47
33,37,61
34,49,57
35,37,47
36,49,60
37,46,56
38,52,59
39,50,30
40,32,49
41,54,54
42,55,57
