Round,AGI,KAGI
1,47,49
2,34,39
3,52,51
4,45,48
5,44,54
6,54,58
7,56,53
8,45,40
9,58,40
10,50,25
11,53,45
12,55,50
13,52,53
14,43,40
15,56,48
16,58,50
17,46,43
18,38,41
19,55,42
20,60,41
21,46,34
22,45,54
23,51,32
24,58,42
25,54,35
26,49,47
27,46,43
28,62,50
29,46,33
30,47,59
31,64,43
32,47,32
33,40,49
34,32,24
1,50,44
2,58,50
3,52,44
4,62,49
5,55,51
6,44,36
7,46,46
8,48,41
9,39,38
10,57,46
12,50,50
13,55,36
14,56,55
15,45,37
16,44,50
17,47,52
18,39,36
19,47,52
20,49,40
21,35,29
22,50,43
23,56,40
24,5,48
30,49,42
25,45,40
11,53,50
27,56,42
32,54,48
28,50,41
29,47,42
26,55,50
31,51,49
33,57,71
34,52,38
1,41,30
2,53,43
3,50,59
4,53,42
6,43,47
7,48,53
8,60,63
9,47,51
10,60,51
11,54,48
12,52,45
13,48,55
20,48,35
14,59,43
15,46,53
16,51,33
17,46,48
18,31,35
19,54,49
21,54,49
22,43,45
5,54,55
23,49,48
24,50,56
25,47,40
26,49,36
27,48,52
28,48,53
29,54,67
30,49,76
31,51,35
32,34,48
33,49,37
34,45,43
35,21,54
36,45,47
37,54,38
38,49,37
1,45,37
2,50,42
3,52,55
4,52,38
5,62,48
6,40,45
7,51,55
8,45,44
9,34,33
10,54,59
11,56,63
12,55,49
13,53,42
14,52,29
15,37,48
16,46,46
17,44,43
18,55,49
19,46,32
20,42,50
21,50,61
22,53,60
23,58,52
24,47,48
25,52,53
26,49,44
27,59,44
28,65,57
29,42,61
30,50,54
31,61,53
32,44,37
33,53,45
34,57,51
35,36,47
36,52,53
37,49,56
38,43,63
39,55,44
40,39,53
41,64,60
42,67,60
