Round,AGI,KAGI
1,51,38
2,49,47
3,42,42
4,55,45
5,37,47
6,29,28
7,29,45
8,31,39
9,48,44
10,52,55
11,46,36
12,31,37
13,47,53
14,52,42
15,39,41
16,46,60
17,49,41
18,35,43
19,45,46
20,68,64
21,39,52
22,48,30
23,33,48
24,40,19
25,38,51
26,17,38
27,56,35
28,50,37
29,25,39
30,41,49
31,42,36
32,68,45
33,57,50
34,18,47
35,43,39
36,57,43
37,46,35
38,47,47
39,60,52
40,53,30
41,61,51
42,69,50
1,22,47
2,45,47
3,33,31
4,34,48
5,52,52
6,55,46
7,45,44
8,38,54
9,56,50
10,49,42
11,40,36
12,46,42
13,53,59
14,47,43
15,52,50
16,53,51
17,49,62
18,42,44
19,68,47
20,51,50
21,50,33
22,55,44
23,47,43
24,40,50
25,47,44
26,58,88
27,46,26
28,51,45
29,25,27
30,53,51
31,48,44
32,53,47
33,58,51
34,57,55
35,47,58
36,47,31
37,51,49
38,50,49
39,37,45
40,48,47
41,38,34
42,51,36
1,45,45
2,44,28
3,51,44
4,48,38
5,33,40
6,54,44
7,46,51
8,35,31
9,46,42
10,42,33
11,49,42
12,53,37
13,38,34
14,48,47
15,27,43
16,53,37
17,38,40
18,35,41
19,48,36
20,46,42
21,52,39
22,45,40
23,47,42
24,36,58
25,40,32
26,38,30
27,51,32
28,52,55
29,53,38
30,49,50
31,44,46
32,42,38
33,50,47
34,53,43
35,55,41
36,46,38
37,46,35
38,45,49
39,48,44
40,72,61
41,54,36
42,61,48
1,46,45
2,38,40
3,46,39
4,53,53
5,48,46
6,64,49
7,62,55
8,42,51
9,56,35
10,49,53
11,51,42
12,40,41
13,53,46
14,71,48
15,56,48
16,60,50
17,50,27
18,66,67
19,41,39
20,40,43
21,49,35
22,53,90
23,50,39
24,63,63
25,35,52
26,45,43
28,53,54
29,43,49
30,56,38
32,56,42
27,56,48
33,48,46
34,65,54
35,71,57
36,66,70
37,50,41
31,50,45
38,71,46
39,56,45
40,64,46
41,61,47
42,53,34
