Round,AGI,KAGI
1,49,37
2,29,42
3,52,31
4,55,45
5,38,31
6,52,39
7,34,42
8,39,43
9,28,31
10,59,48
11,59,41
12,40,51
13,36,35
14,42,28
15,63,43
16,51,36
17,60,45
18,53,46
19,59,48
20,54,50
21,47,36
22,48,50
23,51,44
24,58,55
25,49,62
26,46,43
27,19,29
28,54,17
29,45,43
30,67,36
31,56,46
32,48,57
33,47,42
34,63,76
35,54,65
36,32,30
37,68,71
38,66,66
39,62,60
40,63,50
41,37,37
42,54,51
1,65,56
2,58,55
3,69,67
4,59,64
5,56,56
6,62,51
7,64,63
8,41,44
9,55,64
10,55,56
11,65,73
12,61,63
13,51,46
14,67,58
15,69,64
16,71,63
17,69,59
18,59,49
19,63,48
20,54,45
21,66,44
22,60,67
23,48,66
24,66,43
25,62,49
26,62,39
27,74,54
28,66,84
29,68,56
30,34,51
31,67,57
32,58,41
33,60,55
34,63,48
35,56,38
36,60,45
37,57,43
38,68,66
39,69,40
40,60,45
41,59,51
42,60,48
1,57,46
2,70,51
3,46,51
4,59,41
5,63,62
6,48,50
7,64,42
8,62,57
9,72,58
10,56,54
11,60,57
12,74,64
13,39,40
14,53,57
15,61,54
16,59,45
17,59,33
18,57,49
19,59,64
20,58,54
21,64,70
22,63,64
23,50,60
24,48,64
26,70,62
25,73,54
27,48,57
28,61,64
29,50,42
30,63,44
31,64,52
32,90,70
33,47,52
34,46,42
35,44,53
36,56,44
37,46,45
38,61,41
39,69,70
40,52,38
41,61,93
42,68,71
1,40,43
2,60,62
3,41,49
4,61,85
5,50,55
6,44,47
7,39,48
8,46,65
9,42,53
10,63,59
11,63,66
12,37,63
13,49,55
14,65,58
15,42,57
16,53,55
17,52,46
18,38,54
19,68,54
20,55,65
21,45,76
22,58,62
23,45,23
24,33,55
25,48,65
26,40,52
27,47,45
28,53,55
29,50,51
30,50,46
31,58,61
32,57,50
34,58,62
35,37,49
36,47,48
37,57,49
33,60,66
38,39,52
39,33,36
40,57,55
41,55,40
42,53,57
