Round,AGI,KAGI
1,58,44
2,65,55
3,33,37
4,61,53
5,53,63
6,40,55
7,45,42
8,46,54
9,49,64
10,56,45
11,55,37
12,49,60
13,51,38
14,40,39
15,65,72
16,53,42
17,38,30
18,51,50
19,38,54
20,36,41
21,57,55
22,55,46
23,44,34
24,21,45
25,56,47
26,58,51
27,49,40
28,46,68
29,44,56
30,48,49
31,49,51
32,47,49
33,45,30
34,44,59
35,35,46
36,53,57
37,42,51
38,48,56
39,48,45
40,47,55
41,49,39
42,43,65
1,53,78
2,39,63
3,27,37
4,41,33
5,53,53
6,43,59
7,37,37
8,41,61
9,53,47
10,35,69
11,36,52
12,48,53
13,49,56
14,51,48
15,44,63
16,51,47
17,43,54
18,51,41
19,42,45
20,53,58
21,42,41
22,48,44
23,36,40
24,50,50
25,48,60
26,47,44
27,50,64
28,52,60
29,50,59
30,58,31
31,47,43
32,53,47
33,45,40
34,43,42
35,48,58
36,44,62
37,52,47
38,52,53
39,55,48
40,32,57
41,41,57
42,49,52
1,51,58
2,48,59
3,29,41
4,45,51
5,49,44
6,47,61
7,36,48
8,37,40
9,36,67
18,50,59
10,27,37
11,32,53
12,8,56
13,54,56
14,29,44
15,28,46
16,50,54
17,32,47
19,40,48
20,0,38
21,35,35
22,38,60
23,57,60
24,23,36
25,46,56
26,40,50
27,43,48
28,38,51
29,47,40
30,24,51
31,41,54
32,47,56
33,43,56
34,43,49
35,49,66
36,53,59
37,26,57
38,50,51
1,30,56
2,59,46
3,61,54
4,41,46
5,52,63
6,42,44
7,16,50
8,38,53
9,47,65
10,58,49
11,53,36
12,53,46
13,41,45
14,46,69
15,50,45
16,46,52
17,54,48
18,54,50
19,49,39
20,36,67
21,39,50
22,42,47
23,35,57
24,39,54
25,40,58
26,47,65
28,44,47
29,49,50
30,50,43
31,59,59
32,27,46
27,52,44
33,39,63
34,26,50
35,50,33
36,49,73
37,44,51
38,56,50
39,48,48
40,59,60
41,56,64
42,60,55
