Round,AGI,KAGI
1,47,52
2,45,54
3,69,48
4,58,52
5,54,51
6,52,47
7,44,60
8,58,52
9,41,60
10,58,41
11,41,42
12,56,35
13,57,41
14,54,51
15,45,43
16,55,50
17,47,42
18,50,49
19,40,28
20,49,45
21,48,61
22,46,46
23,56,49
24,45,55
25,62,58
26,40,49
27,49,49
28,50,51
29,44,48
30,50,58
31,45,41
32,55,51
33,46,49
34,54,55
35,53,40
36,47,52
37,52,58
38,53,53
39,50,71
40,45,53
41,34,44
42,49,56
1,31,39
2,59,52
3,41,43
4,51,38
5,49,33
6,49,44
7,59,43
8,47,41
9,42,38
10,50,42
11,38,36
12,48,39
13,57,47
14,47,43
15,52,48
16,45,29
17,40,53
18,27,31
19,39,45
20,54,48
21,45,43
22,57,50
23,38,38
24,43,45
25,44,48
26,46,43
28,47,57
27,47,39
29,48,55
30,56,48
31,53,45
32,42,37
33,42,49
34,45,31
1,34,39
2,58,54
3,51,61
4,57,39
5,48,56
6,39,53
7,41,41
8,3,46
9,38,54
10,49,40
11,41,38
12,43,39
13,37,40
14,32,45
15,44,42
16,49,55
17,58,62
21,27,40
18,54,44
19,49,53
20,53,53
22,42,41
23,49,45
24,44,50
25,50,53
26,51,66
27,45,43
28,46,42
29,47,42
30,51,49
31,40,36
32,44,53
33,51,39
34,39,49
35,48,51
36,40,58
37,47,51
38,53,52
1,59,45
2,53,46
3,56,48
4,61,42
5,57,47
6,46,42
7,30,43
8,50,57
9,34,47
10,41,46
11,34,37
12,26,45
13,49,48
14,28,47
15,48,39
16,48,54
17,54,54
18,50,40
19,47,60
20,57,60
21,40,46
22,40,47
23,45,45
24,49,43
25,60,36
26,35,53
27,39,38
28,46,47
29,50,58
30,46,66
31,37,41
32,43,53
33,45,52
34,43,51
35,51,63
36,51,49
37,55,53
38,59,83
39,40,50
40,60,66
41,68,65
42,39,43
