Round,AGI,KAGI
1,62,54
2,46,55
3,48,37
4,52,52
5,61,51
6,61,48
7,50,61
8,61,69
9,51,48
10,62,56
11,63,54
12,49,35
13,60,56
14,61,60
15,61,50
16,50,35
17,47,46
18,51,45
19,46,51
20,48,49
21,36,56
22,60,62
23,54,50
24,55,79
25,55,63
26,54,47
27,55,48
28,63,50
29,57,55
30,42,50
31,52,36
32,38,50
33,52,54
34,51,38
35,62,46
36,62,73
37,55,55
38,60,56
39,60,58
40,59,39
41,55,55
42,51,36
1,45,48
2,45,42
3,53,51
4,56,44
5,48,80
6,57,47
7,56,55
8,46,51
9,53,47
10,60,46
11,48,53
12,68,50
13,51,47
14,52,55
15,47,38
16,54,68
17,60,55
18,52,60
19,64,58
20,64,63
21,48,44
22,69,49
23,56,50
24,65,62
25,66,51
26,61,38
27,68,57
28,56,57
29,73,75
30,52,55
31,56,47
32,48,50
33,53,44
34,58,57
35,55,44
36,48,51
37,45,42
38,36,38
39,68,45
40,53,62
41,65,60
42,55,52
1,44,46
2,72,56
3,68,57
4,59,41
5,65,47
6,67,58
7,60,50
8,59,46
9,53,43
10,50,49
11,64,51
12,59,75
13,54,44
14,53,49
15,34,38
16,62,63
17,58,46
18,55,55
19,42,44
20,53,44
21,50,44
22,66,46
23,33,32
24,59,48
26,60,40
27,64,54
28,64,34
29,50,37
25,61,61
30,63,42
31,57,55
32,44,48
33,52,29
34,60,52
35,66,50
36,56,44
37,65,54
38,54,35
39,55,50
40,48,43
41,58,49
42,59,46
1,46,55
2,54,45
3,56,47
4,50,22
5,52,38
6,51,36
7,57,70
9,49,39
10,46,40
11,49,42
12,54,47
13,47,44
14,42,35
15,49,62
17,50,61
18,46,55
19,35,44
20,59,58
21,29,34
16,46,34
22,34,47
23,48,42
24,45,67
25,49,44
26,55,37
27,56,46
28,58,58
29,49,48
30,47,42
31,44,55
32,46,46
8,58,63
34,55,62
35,47,48
36,51,49
37,49,47
38,54,29
39,52,52
33,35,34
40,45,46
41,22,39
