Round,Hteam,Ateam,Hscore,Ascore,WorL,Preview,Review,H_comment,A_comment
明治安田生命Ｊ３リーグ　第1節,群馬,秋田,2,2,1,"今季の開幕戦で群馬が秋田を迎え撃つ。昨季は群馬が５位、秋田が８位。ともにＪ２昇格を目指しながら悔しい結果となった。昨季の対戦では群馬がいずれも１－０で勝利し、２勝を挙げている。

布 啓一郎監督体制２年目となる群馬は今季、新加入選手22名を迎えて、チームのリニューアルを図った。渡辺 広大、窪田 良、田中 稔也らＪ１・Ｊ２でプレーした選手を軸に、開幕好発進を狙う。レギュラーの大半が新加入組となるだけに、チームの完成度がカギとなる。

対する秋田も15名を新たに加えて、刷新を試みている。古田 寛幸、江口 直生ら昨季の主力に林 容平、小谷 光毅ら新戦力が加わり、どんなチームになっているか。

システムは群馬が３バック、秋田は４バックが予想される。両チームともに開幕週の練習を非公開にしているため、情報が限られている。システム、先発メンバーを含めて、両指揮官がどんな策を打つか。

昇格を目指す両軍が、正田スタで熱き火花を散らす。

［ 文：伊藤 寿学 ］","昨季５位の群馬と昨季８位の秋田。今季のＪ２昇格を狙う両チームは、大幅な補強を行い開幕へ備えた。群馬は［３－５－２］、秋田は［４－３－３］のシステム。序盤からサイド攻撃の応酬が続く状況下の40分、群馬の青木 翔大が右クロスをヘッドで押し込み先制に成功する。秋田は前半終了間際の45分に幸運なPKを獲得し同点に追いつく。

１－１で迎えた後半は53分に青木 翔大が再びゴールを決めてリードするが、75分に秋田がショートカウンターから藤沼 拓夢が同点ゴール。白熱のゲームは２－２のドローに終わった。

［ 文：伊藤 寿学 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第2節,讃岐,秋田,1,0,0,"開幕戦で岩手を１－０で完封。１年でのＪ２復帰に向けて最高のスタートを切った讃岐がホームに秋田を迎える。岩手戦では16本のシュートを放つも決定力に課題を残したが、終了間際、押し込まれながらも全員が体を張り、福家 勇輝のゴールを守り切った。多少ぎこちなさはあったが、全員守備、全員攻撃の意識は強い。

特に目についたのは、人数をかけた攻撃でボールを奪われても高い位置で奪い返し、相手のカウンターを受けずに済んだ場面。上村 健一監督は「練習でずっとやってきたことが少し形になった。ただ、僕が一番緊張してしまって、立ち上がりはそれが選手に影響したかもしれない。『観客をワクワクさせます』と言いながら、ずっとヒヤヒヤしていた」と語る。今節、讃岐攻撃陣の連係の深まりに注目したい。

一方、昨季８位の秋田は間瀬 秀一監督の下、Ｊ２昇格を目指して15名の選手を新たに獲得。間瀬監督も讃岐と同じく、観客が観て楽しい攻撃的なサッカーを目指す。開幕戦を２－２で引き分けた秋田は今季初勝利を、讃岐はサポーターの大声援を後押しに連勝を狙う一戦。過去、讃岐に在籍した古田 寛幸と中島 大貴との対戦も楽しみの１つだ。

［ 文：大森 一 ］","開幕戦から３人の選手を入れ替えて挑んだ讃岐。前半は風上の秋田の猛攻を受け、６本のCKを与えるなど終始押し込まれたが、粘り強く守る。すると31分、秋田DFのバックパスのミスを突いて、フリーの中村 亮がファインシュート。讃岐が先制した。

56分、途中出場の渡辺 悠雅の突破を秋田の小谷 光毅が止めて一発退場。讃岐優位と思われたが、３人の交代枠を使った後に西野 貴治の負傷退場により試合はもつれる。終了間際、秋田はゴール正面のフリーのシュートを枠に飛ばすことができず、１－０のまま終了。讃岐が開幕２連勝を飾った。

［ 文：大森 一 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第3節,岩手,秋田,3,1,0,"『優勝』の二文字を目標に掲げるシーズンとなった秋田だが、開幕から２試合で勝点１と、やや出遅れた感は否めない。内容は悪くないだけに早くイヤな流れを断ち切りたいところだが、今節はキャプテンの小谷 光毅が出場停止。どういったシステム、メンバー構成で臨むか、注目が集まる。

一方、前節のＦ東23戦で初勝利を挙げた岩手。最大の課題であった守備面に関しては改善傾向が見られ、ハイプレスとブロックの形成という局面ごとの規律は整いつつある。菊池 利三監督がキャンプを通じて植えつけてきたものがピッチで発露し始めている。あとは流れの中での攻撃をどのように再現性を持って構築していくかが、今節、ひいてはシーズンにおける浮沈のカギを握ってくるだろう。

今オフ、秋田から岩手に移籍した深井 脩平、岩手から秋田に新天地を求めた藤沼 拓夢はともにゴールを記録。両者が古巣相手にどのようなプレーを見せるのかも見どころだ。ホーム開幕戦となる岩手が連勝で波に乗るのか。秋田が初勝利で風向きを変えるのか。早くも序盤戦の分水嶺となりそうな試合がキックオフを迎える。

［ 文：高橋 拓磨 ］","小雪混じりの暴風が吹き荒れる中で開催された平成最後のダービーマッチ。先制したのは岩手だった。20分、この試合で圧巻のパフォーマンスを見せた鈴木 達也のクロスに菊池 将太がヘッドでＪリーグ初ゴールをマークした。秋田も久富 賢が惜しいシュートを放つが、前半は岩手が１点リードで折り返した。

後半もチャンスを作る秋田だったが、岩手は堅い守備ブロックと球際の強さで応戦。強度を落とさずに相手の攻撃を防ぐと、78分、梅内 和磨がクロスに反応し追加点を挙げる。秋田もCKから得点し１点差とするが、アディショナルタイムに３点目を奪われ万事休す。流れの中からの形も見えてきた岩手がホーム開幕戦を勝利し、２連勝。一方の秋田はアウェイ３連戦で勝点１と苦しいリーグ序盤戦となった。

［ 文：高橋 拓磨 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第4節,秋田,長野,0,0,1,"秋田が今節、Ｊリーグ全58チームの中で最も遅いホーム開幕戦を迎える。

Ｊ２昇格を目指す秋田だが、開幕からのアウェイ３連戦で１分２敗と調子が上がらない。前節は岩手に１－３で敗戦。秋田の決定力に欠ける攻撃と淡泊な守備では、球際で粘り強く戦いカウンターに出る岩手の勢いを打ち消すことはできなかった。

間瀬 秀一監督は試合後、「バリエーションは減ったとしても、もう少しやることを特化するべきなのかもしれない」と立て直しを示唆。ただ前節までの３試合を振り返ると、特にサイド攻撃では光る場面がいくつもある。そこから勝ち切るまでチームを向上できるか、間瀬監督の手腕に注目したい。

対する長野も秋田と同様に未勝利。前節はＣ大23とのホーム戦に臨み、押し込みながらも先制を許す。しかし、意地を見せて追いついた。ケガ人が続出する苦しいチーム事情だが、勝点３を狙い秋田に乗り込む。

秋田にとって長野は、Ｊ３参入以降ホームで一度も勝てていない天敵のような存在。だからこそ秋田はここで長野を撃破して、上昇気流に乗らなければならない。

［ 文：竹内 松裕 ］","冷たいみぞれが降りしきる秋田市八橋運動公園陸上競技場。前半は風上の秋田が押し気味に試合を進める。秋田は選手の距離感が良く、球際の競り合いでも積極性を発揮。ボールを奪うと、素早く前線に攻め込みシュートまで持ち込んでいく。しかし長野もしっかりと守りゴールを割らせない。

スコアレスで迎えた後半は風上になった長野が攻勢に出る。ショートパスをつないで秋田陣内に攻め込むが、決定的なシュートまで持ち込めない。すると秋田は加入したばかりの夛田 凌輔を投入して右サイドを活性化する。

しかしその後もスコアは動かず試合終了。両チームの今季初勝利は次節以降に持ち越された。

［ 文：竹内 松裕 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第5節,秋田,Ｃ大23,3,0,3,"明治安田Ｊ３第４節を終えて未勝利と苦しむ17位の秋田と、勝点差８で２位につけるＣ大23の対戦。果たして順位どおりの結果となるのか、秋田が踏ん張りを見せるか。

秋田は前節のホーム開幕戦で、長野とスコアレスドローを演じた。しかし、チームはこれまでの３試合と明確な違いを発揮。球際で激しく競り合いボールを奪うと、雨雪でぬかるんだピッチコンディションを踏まえ、シンプルでスピード感のある攻撃でチャンスを作った。ゴールを決め切れない課題は残る一方で、今季初めて無失点でしのいだことは収穫だ。

間瀬 秀一監督は「この試合での選手の戦いが、今季のＪ３リーグを戦い抜くには最低限のベース」と手ごたえを感じるとともに、さらなるベースアップを図る。

一方のＣ大23は前節、藤枝との上位対決で、20分までに３ゴールを挙げるなど６－１で完勝。Ｃ大23は10得点を挙げている攻撃に目が行くが、今季はここまで３失点と守備も向上。万全の状態で秋田入りするはずだ。

リーグ前半で早くも正念場を迎えている秋田。リーグ制覇を目指す以上、上位との直接対決のチャンスを逃してはならない。

［ 文：竹内 松裕 ］","開始から追い風を受けたＣ大23が押し気味に試合を進めるが、先制したのは秋田だった。12分、左サイドでボールを持った和田 昌士がペナルティーエリアに進入、DFを振り切り放ったシュートが決まる。

先制されたＣ大23は積極的にミドルシュートを放つが、秋田もGK松本 拓也を中心にしっかり守って流れを渡さない。すると23分、秋田に追加点が生まれる。ペナルティーエリア手前の右でFKを得ると、これを江口 直生が決めて２－０とする。

後半は攻勢を強める秋田に対し、Ｃ大23もサイド攻撃でチャンスを作るが、決定機を逃す。その後、スコアを動かしたのは秋田だった。79分、左からのクロスを受けた藤沼 拓夢がゴール左スミに流し込み、３－０で試合終了。

手堅い試合運びを見せた秋田が、明治安田Ｊ３第５節にして今季初勝利を挙げた。

［ 文：竹内 松裕 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第6節,相模原,秋田,1,2,3,"九州でのアウェイ連戦を１勝１敗で終えた相模原。前節は２点ビハインドをひっくり返し、降格組の熊本を破った。前々節・北九州戦は21本、そして熊本戦は17本。このシュート本数が示すとおり、この２試合では課題の攻撃面でも手ごたえをつかむことができた。

そして迎える４月最初のホームゲーム。今季初の連勝を期する今節は、この２戦で得た自信を確信に変えるべく臨む。さらにこの試合は相模原にとって１つ大きなトピックが。ついに、稲本 潤一が先発でのホームデビューを果たす見込みだ。明治安田Ｊ３第２節・群馬戦での途中出場以降は出番がなかったものの、今週末、満を持して相模原ギオンスタジアムのピッチに立つ。「いつでもいける準備はできていましたし、先週はアウェイで良い勝ち方をしたので、ホームでもしっかり勝てたらなと思う」と稲本。ホームのサポーターの前で、果たしてどのようなパフォーマンスを見せてくれるだろうか。

対する秋田は前節、待望の今季初勝利を挙げた。開幕当初はクロスやイージーなミスからの失点が目立ったものの、ここ２戦は完封と安定感が出てきた様子。敵地で初の連勝を果たし、ここからギアを上げていきたい。

［ 文：林口 翼 ］","相模原は稲本 潤一が今季初先発。23分に一瞬のスキから失点を喫したが、その後も序盤から秋田ゴールを脅かし続けたホームチームのペースで試合が進む。

すると37分、左サイドのロングスローからニアに入った稲本が頭で流す。これに走り込んだ川上 盛司が合わせ、同点に追いついた。しかし、前半のほぼラストプレー。秋田が獲得したPKを決め、アウェイチームがリードして折り返した。

風下に立った後半も、相模原の攻勢が続く。対する秋田は後半途中から自陣エリア付近に［５－４］のブロックを形成し、逃げ切り態勢へ。

最後までゴール前での攻防が見られる白熱した展開となったが、結局試合はこのまま終了。辛抱を続けた秋田が、今季初の連勝を成し遂げた。

［ 文：林口 翼 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第7節,秋田,北九州,0,0,1,"９位の秋田にとって、上位との差を詰める絶好のチャンスが到来した。今節対戦する２位の北九州とは順位こそ離れているが、勝点差は『５』。秋田はこの試合を制して、明治安田Ｊ３をより混沌とした状況に持ち込みたい。

秋田は前節、相模原とのアウェイゲームを２－１で競り勝った。この試合では和田 昌士が全得点を挙げて躍動。23分に２試合連続ゴールとなる先制弾を決めると、前半終了間際にもPKをきっちり決めた。後半は防戦一方となる苦しい展開を強いられたが、なんとか抑えて今季初めての連勝を達成した。守備が長く続いた後半にも、秋田にはいくつかのゴールチャンスがあった。そうした場面で決め切ることが、より確実な試合運びにつながるはずだ。

一方の北九州は、沼津とのホームゲームを０－２で落とし、今季初黒星を喫した。沼津の走力に押されて攻撃陣が沈黙し今季初の無得点。小林 伸二監督は「相手のストロングに対応できなかったことをしっかり反省して、次節の準備をしたい」と話す。

３連勝を狙う秋田と、連敗を避けたい北九州の激突。ホームの利を最大限に生かそうと、秋田サポーターがチームを力強く後押しするだろう。

［ 文：竹内 松裕 ］","開始から両チームが球際で激しく競り合う中、徐々にペースをつかんだのはアウェイの北九州だった。人数をかけてボールを奪うと、リズミカルにパスをつないで両サイドに展開し、攻撃を仕掛けていく。

秋田も粘り強く守ってカウンターを仕掛けていくが実らず、スコアレスで折り返した。

後半も前半と同様の図式で試合が進む。北九州の守備を崩そうと秋田は攻撃的な選手を投入するが、相手の速い出足につぶされて良い形が作れない。対する北九州もボールを握るものの、決定的なシュートまで持ち込めず。

ホームで意地を見せたい秋田は終盤に必死の攻撃を見せるが、そのままスコアは動かず試合終了。両チームが勝点１を分け合った。

［ 文：竹内 松裕 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第8節,Ｇ大23,秋田,3,1,0,"前々節は熊本に逆転負けを喫し、前節はアウェイで群馬とスコアレスドローに終わったＧ大23。しかし、森下 仁志監督は一定の満足感を得ている。

「どんどんトップに選手が引き抜かれるのが理想」（森下監督）。群馬戦は、その２日前にトップのＪリーグYBCルヴァンカップＤグループ第４節・磐田戦で起用された食野 亮太郎と中村 敬斗が不在。明治安田Ｊ３で得点ランクトップを走る食野 亮太郎を欠いたこともあり、群馬を攻め切れなかったが、トップに選手を送り出すのがＧ大23の目的だ。

３試合ぶりの勝利を目指す秋田戦も攻撃陣の顔ぶれは不透明な上に、主力を務めてきた市丸 瑞希がＪ２の岐阜に育成型期限付き移籍。森下監督は攻撃の再構築を強いられることになるが、「相手は意識しない。自分たちが目指すサッカーを出せるかどうか」と気合い十分だ。

勝利のカギを握るのはやはり前線の奮起。ルヴァンカップの磐田戦で今季トップ初出場を果たした福田 湧矢や、髙木 彰人の個の力に期待がかかる。

一方、現在９位の秋田は直近の４試合で２勝２分。アウェイのＧ大23戦は過去１分２敗と勝ちがないが、上位追撃に向けて、勝利を狙いたい一戦となる。

［ 文：下薗 昌記 ］","序盤からＧ大23がボールを支配して主導権を握った。左サイドを崩してゴール前にチャンスを供給し、積極的にミドルシュートも放っていく。31分、自陣からのロングフィードで相手ディフェンスラインの裏へ抜け出した食野 亮太郎がGKとの１対１を制して先制。前半終了間際に同点弾を許すも、後半立ち上がりに食野 亮太郎が今度は角度のないところから左足を振り抜いて再びリードを奪う。今季８ゴール目を決めた食野 亮太郎はその後も決定的なシュートを放ち、チャンスも作るなど前線で躍動。

終了間際には髙木 彰人が自ら獲得したPKを決めて、勝負の行方を決定づけた。秋田は前半唯一のチャンスを藤沼 拓夢が決めて一時は同点としたが、［４－４－２］を採用した守備で後手を踏むことが多く、24本ものシュートを浴びる中で耐え切れなかった。

［ 文：雨堤 俊祐 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第9節,秋田,Ｆ東23,0,0,1,"９位の秋田と最下位に沈むＦ東23が対戦する。リーグ中盤戦に向けて、浮上のきっかけをつかむのはどちらか。

４試合負けなしで来ていた秋田は前節、アウェイでＧ大23に１－３で敗れ、今季３敗目を喫した。試合の入りは悪くなかったものの、10分を過ぎると相手の走力と技術をベースにした連係に防戦一方となり先制を許す。前半終了間際に藤沼 拓夢のゴールで追いついたが、後半も押し込まれて２点を追加された。

間瀬 秀一監督は「練習からもっともっと厳しく、自分たちの走力・球際・反応を上げていかないと、Ｊ２昇格は難しい」と自チームの現状を見据えた上で、さらなる強化を図る。

対するＦ東23はＣ大23とのホーム戦を２－０で制し、今季２勝目を挙げた。連勝を狙う今節は、これまでチームの主力である原 大智がU-20Ｗ杯に参加するため、不在となる。しかし、前線には豊富なタレントがそろっており、最下位脱出を目指す勢いは変わらないだろう。

Ｊ２昇格を目指す秋田にとって、昇格圏内までの勝点差は『８』。上位グループにこれ以上離されたくない状況だからこそ、まずは目の前の試合に勝ち切りたい。

［ 文：竹内 松裕 ］","最初にペースをつかんだのはアウェイのＦ東23。サイドを起点に攻め込むが、秋田のDFがしっかりクリアする。

15分を過ぎると、秋田が少しずつボールを握り始める。球際で体を張ってボールをキープ、あるいは奪い返し、長短のカウンターから再三チャンスを作るが、最後のところで精度を欠く。

スコアレスで折り返した後半は、追い風を受けたＦ東23が盛り返す。選手間の距離が近くなり、パスをつないで突破を図るが、秋田もゴールを割らせない。

秋田は前線の選手を入れ替えて勝点３を狙うも、後半はシュートが２本にとどまるなど１点が遠く、引き分けに終わった。

［ 文：竹内 松裕 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第10節,秋田,福島,0,2,0,"４月７日の明治安田Ｊ３第５節以来、ホーム戦の勝星から遠ざかっている秋田。約２カ月ぶりの勝利をサポーターと分かち合いたい。

秋田は５月26日の天皇杯１回戦を含めると、ここ４試合で１得点と得点力不足が顕著だ。Ｊ３第９節までのシュート数は18チーム中２番目に少ない64本で、今季開幕に掲げた『見ている人もプレーしている選手も楽しいサッカー』の実現に向けて苦しい状況が続いている。

間瀬 秀一監督はシステムを［４－４－２］に変更するなど打開に着手し、コンパクトでアグレッシブなプレーが見られる時間帯もある。ここ４試合は相手に押し込まれて守備の時間が長くなっているだけに、新システムの浸透を図りつつ、攻守の切り替えにさらに磨きをかけて、決定的なシュートまでもっていきたい。

２連敗中の福島は今季全試合で失点しており、まずは失点をしない守備の構築が急務と言える。前節からの２週間をどれだけ有効に使えたか、今節ではその成果が試されそうだ。前節のアウェイ・長野戦で、４月下旬に新加入したナイジェリア国籍の長身FWイスマイラにゴールが生まれているのは好材料だ。

秋田は得点力、福島は守備力。それぞれ明確な課題を持って臨む“東北ダービー”が幕を開ける。

［ 文：竹内 松裕 ］","キックオフ直後にシュートまで持って行く積極性を見せる秋田。しかし、その後は福島がボールを握る展開になり、11分に先制する。左サイドからのボールを受けた小牟田 洋佑がうまく体を反転させてシュートを放つと、ゴール右スミにキレイに決まった。

前半途中からセカンドボールを秋田が拾うようになるが、福島も素早いスライドで秋田のパスコースを塞ぎ、秋田のシュートを１本に抑えることに成功する。

０－１で始まった後半は、開始から福島が勢いを見せる。敵陣に攻め込みCKを得ると、ペナルティーエリア内で秋田の選手にファウルがありPKの判定に。これを小牟田がきっちり決めて、２－０とする。

秋田は追いつこうと懸命なプレーを見せるが、崩しの場面で息が合わないシーンもあり、なかなか決定的なシュートまで持ち込めない。

82分に福島のイスマイラがこの日２枚目のイエローカードで退場となるが、秋田は数的優位を生かせず試合終了。福島は今季初の無失点で３試合ぶりの勝利を飾った。一方の秋田は２試合連続の無得点となり、明暗が分かれた。

［ 文：竹内 松裕 ］",コメントなし,コメントなし
