Round,Hteam,Ateam,Hscore,Ascore,WorL,Preview,Review,H_comment,A_comment
明治安田生命Ｊ３リーグ　第1節,熊本,長野,2,2,1,"初のＪ３に臨む熊本は、ホームでの開幕戦に昨季10位の長野を迎える。

今季は大卒４人を含む９人の新加入選手を迎え、プレシーズンは昨季の明治安田Ｊ２で21位に沈んだ要因である守備面の改善に取り組んだ。組織的なディフェンスを構築する前提として、局面における個々のプレー強度を高めるとともに、速い切り替えやサポートも要求。日々のトレーニングにおいてもピッチ上での選手同士のコミュニケーションが密になり、始動から重ねたトレーニングマッチを通しても、苦しい時間帯もしのぎ切る安定感が徐々に増しつつある。２年目の指揮となる渋谷 洋樹監督も手ごたえを感じているが、自信を深めてさらにチームの完成度を上げていくためにも、公式戦できっちりと結果に結びつけたい。

対する長野は、昨季Ｊ２の栃木を率いた横山 雄次監督が就任。栃木時代と同様、強固な守備の構築で年々厳しさを増すＪ３を戦い抜く狙いだ。最終ラインには高さのある選手もそろっていることから、失点しないことを念頭にゲームを進め、熊本を引き込んでスキを突いた攻撃から得点を奪うプランが予想される。

初対戦となるカード、初戦を勝って勢いをつけるのは果たしてどちらか。

［ 文：井芹 貴志 ］","立ち上がり早々にお互いがゴール前でチャンスを迎えたが得点は奪えず、徐々に流れは長野へ。ボランチの岩沼 俊介と山田 陸が中盤を締めて引っかけ、左右へ展開。両サイドのクロスから押し込む。しかし熊本はGK山本 海人を中心にはね返し、前半はスコアレスで折り返した。

後半は一転、点の取り合いに。立ち上がりの51分、左からのクロスを東 浩史が合わせて長野が先制。リードを許した熊本は79分、交代出場した三島 康平からのボールに抜け出した原 一樹がPKを獲得。81分に自ら決めて同点に。このファウルで途中出場したばかりの大島 嵩弘が退場となった長野だが、86分にリスタートの流れから山田が強烈なミドルを決めて勝ち越す。しかし熊本は88分、三島からの落としを原が押し込んで、再び同点とした。

結局このままドローに終わり、双方、勝点１でのスタートとなった。

［ 文：井芹 貴志 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第2節,藤枝,熊本,1,0,0,"開幕戦はホームで白星発進した藤枝と、ホームで勝ち切れなかった熊本が、藤枝総合運動公園サッカー場で初対決。

昨季の藤枝は、石﨑 信弘監督が就任してからも守備の立て直しに苦しみ、無失点試合を実現するのに14試合を要したが、今季は開幕戦からいきなり１－０の完封勝利。新加入のCB秋本 倫孝やボランチ・松岡 亮輔らが要所を引き締め、守勢になっても耐え切る力が増している。その上で１トップの森島 康仁が勝負強く決勝ゴールを決めるなど、新たに加わったベテラン組の存在感が光った。

一方、熊本の開幕戦は、退場者が出て10人になった長野に勝ち越され、土壇場でのエース・原 一樹の得点によって敗戦をまぬがれた形。開幕戦特有の硬さもあって本来の力が出せていたとは言えないが、藤枝側は「非常に能力の高い選手が多い」（石﨑監督）と警戒感を強めている。その意味では、個の力に優れた熊本の攻撃陣を藤枝がどう抑えるかという部分も見どころとなるだろう。

ホーム２連戦の藤枝が、昨季までＪ２で戦っていた実力者・熊本とどう戦うか。熊本はＪ２復帰に向けて今季初勝利を挙げられるか。両者の意地のぶつかり合いも楽しみな一戦だ。

［ 文：前島 芳雄 ］","藤枝と熊本の初対決は、お互いの守備意識の高さもあって、序盤からきっ抗した展開になった。時間帯によって主導権の行き来があった中で、より多くのチャンスを作っていたのはアウェイの熊本だったが、前半だけで３本あったエース・原 一樹のシュートは、藤枝の粘り強い守備もあって不発。

後半も同様に一進一退の中で、熊本がやや有利という展開になったが、その中でワンチャンスを生かしたのは藤枝。70分から交代出場した岩渕 良太が、75分に中盤で後方からのパスを受け、振り向きざまに放ったロングシュートがGKの頭上を越えてゴールイン。追い風もうまく生かした素晴らしい判断だった。

その後は熊本が攻勢に出たが、秋本 倫孝と松岡 亮輔のベテランを軸とした藤枝の守備陣がスキを与えず、終盤のパワープレーもしっかりとはね返して２戦連続のクリーンシート。今節も１－０で、開幕２連勝を飾った。

［ 文：前島 芳雄 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第3節,熊本,讃岐,0,0,1,"熊本市のえがお健康スタジアムでは、ともに今季からＪ３となった熊本と讃岐がぶつかる。開幕からの２試合は熊本が１分１敗、讃岐が連勝中と対照的だが、お互いに１年でのＪ２復帰を目指す上でなんとしても勝点３を得たいゲームだ。

熊本は前節、アウェイで藤枝と対戦し、75分に１点を失って今季初黒星を喫した。ボールを握る時間は作っていたこともあり、「点が入っていないとああいう形になる」と渋谷 洋樹監督。「相手を引き出すときのポジショニングであったり、点を取るところのポジショニングなど、イメージを共有しないといけない」と、守備意識は維持しつつ、４日間の非公開練習で攻撃面を追求して一戦に備える。

一方の讃岐は、開幕から２戦続けて１－０の完封勝利で３位タイ。今季から指揮を執る上村 健一監督の下、堅守とアグレッシブな戦いぶりで結果を引き寄せている。前節の秋田戦も前線でのプレッシャーから中村 亮の決勝点につないでおり、アウェイとはいえ入りから圧力を掛け、開幕３連勝で勢いをつけたいところだろう。

熊本が今季初勝利を挙げるか、それとも讃岐の３連勝か。注目のカードだ。

［ 文：井芹 貴志 ］","今季初勝利を目指す熊本は、大卒ルーキーの小笠原 佳祐が最終ラインに入るなど、前節・藤枝戦から５人を入れ替え。一方の讃岐は荒堀 謙次が今季初先発、西 弘則と福家 勇輝が先発に復帰した。

立ち上がりは讃岐が優位に進め、佐々木 渉から左右へ展開するなど熊本を押し込む。徐々にボールを握れるようになった熊本も、35分過ぎからフィニッシュのイメージができ始めたが、34分、39分のチャンスも得点には結べず。双方無得点で前半を折り返す。

後半に入ってお互いに攻撃的なカードを切り、ともに終盤にかけて決定機を作るもゴールは生まれず結果はドロー。熊本は３試合目にして初の無失点に抑えたが初勝利はならず、讃岐も３試合連続完封ながら連勝は『２』でストップした。

［ 文：井芹 貴志 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第4節,岩手,熊本,0,1,3,"序盤戦、例年を大きく上回る結果を残している岩手。“北東北ダービー”となった前節は秋田を３－１で下し、２連勝中と波に乗る。この試合では昨季定位置を得られず悔しい思いをした梅内 和磨、鈴木 達也も活躍し、結果を残した。ポジション争いの激化は、チームに刺激と層の厚みをもたらすだろう。細かな課題もあるが、守備の安定が好調を支えているのは間違いない。攻撃も少しずつではあるが形が見えつつあり、昨季以上に組織立ったチームに変貌を遂げている。

一方、１シーズンでのＪ２復帰を目指す熊本だが、開幕から３戦未勝利と苦しんでいる。しかし、前節の讃岐戦では先発メンバー５人を替え、今季初のクリーンシートをマーク。渋谷 洋樹監督も「次につながるゲームになった」と評価した。決定機は作れているだけに、フィニッシュを決め切れるかどうかが勝敗を大きく左右しそうだ。

今節は地震の被害に遭った地域をホームタウンに持つクラブ同士が相まみえる『復興祈念マッチ』となる。３連勝が懸かる岩手、Ｊ３降格後勝利がない熊本という対照的なチーム状況ではあるが、最後まであきらめず、勝利を目指して躍動する姿を両チームのサポーターに届けたい。

［ 文：高橋 拓磨 ］","大きな綿雪が降りしきる中で開催された岩手と熊本による『復興祈念マッチ』。

一進一退の展開が続く中、26分の熊本・佐野 翼がペナルティーエリア内で放ったシュート、45分の岩手・麦倉 捺木のポスト直撃のFKなど、互いに決定機を作るもののスコアレスで折り返した。

後半に入りさらに圧力を高めた熊本は、CKを立て続けに獲得するなど攻勢に出る。すると65分、意外な形から先制点が生まれる。岩手の自陣でのクリアをブロックした熊本。このボールがゴール前絶妙な位置へのクロスとなり、ファーで待ち構えていた田村 翔太がヘッドで押し込んだ。岩手も攻撃的な選手を投入し、［４－１－４－１］に変更して打開を図ったが、最後まで集中を切らさなかった熊本DF陣がシャットアウト。熊本が雪の中でのアウェイ戦をモノにし、Ｊ３初勝利を挙げた。

［ 文：高橋 拓磨 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第5節,熊本,相模原,2,3,0,"前節・岩手戦、65分に相手のクリアボールを頭で押し込んだ田村 翔太の加入後初ゴールが決勝点となり、待望の今季初勝利を挙げた熊本。明治安田Ｊ３第２節、第３節と２試合連続無得点だったことを受けて、ゴールに向かう意識を高め、同時に最後の崩しのイメージを落とし込んだが、勝負を分けたのは球際の争いやルーズボールへの反応だった。今季初先発を果たした岡本 知剛は、「結果を求めながら、修正できるところは修正して、前節できたことをやり続けることにこだわりたい」と話す。上位チームが無敗で勝点を伸ばす中、今季初の連勝で勢いに乗れるか。

対するのは11位タイの相模原。前節は北九州に１点差で敗れて連勝はならなかったが、内容的にも押し込む時間帯を作るなど、互角の戦いを演じてみせた。２試合連続ゴール中のジョン ガブリエルをはじめ、強みである高さを生かした攻撃は迫力十分で、チャンスを確実に決める決定力が問われる。また前節は追いついた直後に勝ち越しを許しているため、スコアが動いたあとの集中力も課題となる。

熊本は連勝が、相模原は連敗阻止が懸かる、初対戦のカードだ。

［ 文：井芹 貴志 ］","初対戦となるカードは、『熊本地震復興支援マッチ』として行われ、相模原が逆転で熊本を下した。

ゲームは開始早々に動く。立ち上がり１分、左サイドを仕掛けた坂本 広大の低いクロスから佐野 翼がＪリーグ初ゴールを挙げて熊本が先制に成功。その後は終始、相模原がペースを握ったが、熊本もGK山本 海人のセーブなどで無失点に抑えて折り返した。

後半も開始間もない52分、田村 翔太が抜け出して２戦連発となるゴールで熊本が差を広げるが、相模原は55分に交代出場したばかりの上米良 柊人、さらに59分にはジョン ガブリエルがゴールを挙げて同点とすると、72分にも上米良が決めて一気に逆転。アウェイで貴重な勝点３を積み上げた。

敗れた熊本はマイボールを簡単に失うなど安定感を欠き、２点を守れなかったゲームコントロールの拙さを露呈する結果となった。

［ 文：井芹 貴志 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第6節,Ｇ大23,熊本,1,2,3,"Ｇ大23が徐々にその攻撃力を発揮し始めている。

前節は同世代対決だったＦ東23に先手をとられながらも逆転勝ち。得点ランクのトップ（５得点）に躍り出たエース・食野 亮太郎の２得点でＦ東23をねじ伏せた格好だ。

３連勝を懸けて、ホームで熊本を迎え撃つＧ大23だが、チームに緩みは一切ない。前節はシュート16本を放ちながらも、森下 仁志監督は「まだまだシュート数が足りない」とキッパリ言い切った。

結果はもちろんだが、選手個々の成長を目指すＧ大23では、食野 亮太郎だけでなく中村 敬斗や髙江 麗央らが着実に成長中。リーグ３位の得点力を誇る攻撃陣は、３連勝に向けてその牙を研いでいる。

６位のＧ大23に対して熊本は13位。前節は２点を先行しながらも、相模原に痛恨の逆転負けを喫している。しかし、両者の勝点差はわずか『３』だけに、勝てば一気に順位を上げられるチャンスでもある。確かな個を持つＧ大23の攻撃陣に対して、まずは粘り強く戦いたい。

［ 文：下薗 昌記 ］","互いに［４－４－２］の陣形でがっちり組み合ったＧ大23と熊本の対戦。きっ抗した序盤を経て、徐々にＧ大23がポゼッションを高める。そして33分、食野 亮太郎がペナルティーエリア内でのドリブルから右足を一閃。明治安田Ｊ３で自身今季６点目となるゴールでホームチームが先制した。

ただ、後半立ち上がりから攻勢に出た熊本。56分に佐野 翼がPKを決めて同点とすると、前線からの激しいプレスで圧力を強める。79分の原 一樹のPKは左ポストに嫌われたが、85分、北村 知也が豪快に決めて逆転に成功した。

試合をひっくり返されたＧ大23は、最後まで追いすがったが得点は奪えず。熊本が２－１でゲームを制した。

［ 文：小野 慶太 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第7節,沼津,熊本,0,2,3,"２勝２分２敗で並ぶ沼津と熊本が対戦する。両チームが理想的な勝ち方をした前節。今節は勢いをさらに加速させるためにも、今季初の連勝を目指す。

開幕から波に乗り切れない時期が続いていた沼津だが、前節は理想的な試合運びで勝利をつかんだ。「良い入りができて、勢いを持って試合を進めることができた。それが勝因になった」と菅井 拓也は話す。昨季から決定力は沼津の筆頭課題でもあるが、前半のうちに２得点を奪い、勝利につなげた前節は成功体験としてチームに自信も与えた。今季失点が最も多い時間帯である前半の15分間は、今節も勝敗を大きく左右するポイントになるだろう。

対する熊本も、前節は先制されながら後半に２点を巻き返して勝利につなげた。熊本はラスト15分間での得点数が最も多い。立ち上がりに粘り強くしのげば、熊本に勝機は傾くはずだ。

両チームが今季初の連勝を達成するためには、試合の入り方と終わらせ方がカギとなる。その攻防は必見だ。

［ 文：森 亮太 ］","勝点で並んだ両者が迎えた平成最後のリーグ戦は、アウェイの熊本が２－０で勝利を収めた。

開始早々の３分に試合が動く。熊本の高瀬 優孝が直接FKを左足で鮮やかに決めて、幸先よくリードを得る。その後はホームチームがボールを支配するも、熊本が前線からのプレスと絶妙なラインコントロールでゴールにカギをかける。

後半は沼津が好機を作る場面が多かったが、決定力を欠く場面が散見された。一方で、アウェイチームのカウンターが冴え、55分に佐野 翼が３試合連続となる追加点を奪取。守勢に回っていた中で、勝利を決定づける２点目となった。

ゴール前の精度が勝負の分かれ目となった一戦は、少ないチャンスを生かした熊本に軍配が上がった。

［ 文：宮下 響 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第8節,熊本,八戸,1,0,3,"前節・沼津戦の勝利で５位に浮上した熊本は、４週間ぶりのホームゲームに八戸を迎える。

アウェイで臨んだ沼津戦、立ち上がりのFKで先制した熊本は、後半に佐野 翼の３試合連続ゴールで追加点を挙げて、今季初の連勝。明治安田Ｊ３第５節の相模原戦で２点リードから逆転負けを喫した悔しさを教訓としつつ、チームとして取り組んでいることの積み上げで結果をつかんだ。３連勝で勢いをつけて一気に上位との差を詰めたいところだが、「一試合一試合にしっかり向き合うことが大事になる」とキャプテンの鈴木 翔登は言う。

一方の八戸は現在12位。前節の福島とのゲームは、二度のリードを奪いながら逆転を許して競り負け、連敗で３試合勝ちなしの状況となっている。福島戦では先制した直後、そして後半立ち上がり、さらに試合終盤に失点しており、リーグ３位の12ゴールと得点は取れているだけに、90分を通したゲームマネジメントもポイントとなる。

今季Ｊ３に降格した熊本と、今季からＪ３入りした八戸との対戦は初。熊本が３連勝を飾るか、それとも八戸が連敗を止めて４試合ぶりの勝利を挙げるか、お互いにとって重要な一戦だ。

［ 文：井芹 貴志 ］","初対戦となったカードは、熊本が終盤に挙げた１点を守って八戸を下した。

立ち上がりはアウェイの八戸がサイドから押し込む場面を作ったが、徐々にペースは熊本に。最終ラインで横に動かしながら縦につけて背後を取るタイミングをうかがい、19分に佐野 翼、28分に北村 知也、34分に高瀬 優孝がそれぞれ狙うが枠を捉え切れず、前半は０－０で折り返す。

後半、逆に八戸がチャンスを作るが、熊本もゴール前では堅い守備を見せてはね返す。均衡が破れたのは75分。ミドルゾーンでボールを奪って右へ展開した熊本は、田村 翔太の右からのクロスを交代出場の原 一樹がピンポイントで合わせて先制に成功。追う展開となった八戸は、79分に谷尾 昂也と日髙 慶太を同時に送り出すなど点を取りに出るが、同点ゴールは奪えなかった。

熊本はホームでの今季初勝利で３連勝、八戸は３連敗となった。

［ 文：井芹 貴志 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第9節,熊本,鳥取,3,2,3,"３連勝中の５位・熊本は、前節に続いてのホームゲームに11位の鳥取を迎える。

開幕から３試合勝利がなかった熊本だが、明治安田Ｊ３第６節から３連勝。前節はホームに初対戦の八戸を迎え、途中出場した原 一樹の７試合ぶりのゴールで競り勝った。先週末に行われた天皇杯熊本県予選決勝でも、原、佐野 翼、岡本 知剛の３ゴールで東海大熊本を下して波に乗る。勝ち続けていることに加えて、無失点が続いていることもプラス。次節はアウェイでの北九州戦が控えているだけに、連勝を伸ばしてさらに勢いをつけたい。

一方の鳥取は、前節・福島戦に逆転勝ち。失点が多いことで中位にとどまるが、４得点の可児 壮隆、３得点のヴィートル ガブリエルら攻撃には迫力があり、総得点はリーグ４位タイ。無失点が続いている熊本をどう崩すかが、今季初の連勝へのポイントとなる。

2011年から３シーズンはＪ２で対戦しており、熊本が４勝１分１敗と勝ち越しているカード。６年ぶりの対戦で、勝点３を得るのはどちらか。

［ 文：井芹 貴志 ］","４連勝を狙う熊本は原 一樹が４試合ぶりに先発に復帰。対する鳥取は前節から２人を入れ替え、小林 智光が今季初先発となった。

18分、左CKから小笠原 佳祐が頭で合わせて熊本が先制。しかし鳥取は31分にフェルナンジーニョがFKを直接決めて追いつき、35分には右CKからの西山 雄介のゴールで逆転に成功。鳥取リードで折り返した。

57分、黒木 晃平のミドルシュートで追いついた熊本は、その後もゲームを支配するが、なかなか得点を奪えない。鳥取も終了間際に決定機を作るが決め切れず、このまま終了かと思われたが、アディショナルタイムに交代出場の北村 知也が逆転ゴール。ホームの熊本が４連勝を飾った。

［ 文：井芹 貴志 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第10節,北九州,熊本,1,2,3,"この一戦は“バトル・オブ・九州”の１つであり上位対決、しかも北九州が首位、熊本が４位と順位差はあるが勝点差は『１』。順位が入れ替わる可能性もあるので激戦必至だ。また当日のスタジアムでは両クラブが手を組んださまざまなイベントも企画されており、明治安田Ｊ３第８節・群馬戦での7,553人を上回る今季ミクスタ最多入場者数も期待できる。まさに熱いゲームになりそうだ。

北九州はリーグ戦のここ３試合は１勝２分の負けなし。前節は２位・讃岐との上位対決を１－１で終えたが、内容的には上回ったゲーム。先週末の天皇杯１回戦・徳山大戦は６－０の大勝を収めた上に、リーグ戦で良い働きをしながらゴールが奪えないでいた池元 友樹と町野 修斗という２人のFWがそろってゴールを決めたことも収穫になった。

熊本はリーグ戦では４連勝中。特に前節の鳥取戦では途中出場の北村 知也が終了間際に勝ち越しゴールを奪っての劇的勝利を収めたことでチームはさらにまとまり、天皇杯１回戦のヴェルスパ大分戦も２－０でモノにした上で、今節の重要な一戦に臨んでくる。

好調同士の上位決戦、盛り上がらない、ワケがない！

［ 文：島田 徹 ］","勝点差『１』、勝ったほうが首位という状況で迎えた一戦は、熊本が北九州から実に９年ぶりとなる通算２勝目を挙げ、連勝を『５』に伸ばして首位に浮上した。

立ち上がりの10分、高瀬 優孝からの縦パスに抜け出した北村 知也の２試合連続となるゴールで熊本が先制。その後は北九州がペースを握って押し込むが、池元 友樹らが放つシュートはことごとく熊本GK山本 海人の正面に飛び、追いつくことはできずに折り返した。

後半立ち上がりにも高瀬からのクロスに北村が飛び込むと、相手のオウンゴールによって熊本がリードを広げる。北九州の小林 伸二監督は直後から立て続けに交代カードを切り、終盤にかけて猛攻を仕掛けたが、85分の茂 平の１点にとどまった。

［ 文：井芹 貴志 ］",コメントなし,コメントなし
