Round,Hteam,Ateam,Hscore,Ascore,WorL,Preview,Review,H_comment,A_comment
明治安田生命Ｊ３リーグ　第1節,群馬,秋田,2,2,1,"今季の開幕戦で群馬が秋田を迎え撃つ。昨季は群馬が５位、秋田が８位。ともにＪ２昇格を目指しながら悔しい結果となった。昨季の対戦では群馬がいずれも１－０で勝利し、２勝を挙げている。

布 啓一郎監督体制２年目となる群馬は今季、新加入選手22名を迎えて、チームのリニューアルを図った。渡辺 広大、窪田 良、田中 稔也らＪ１・Ｊ２でプレーした選手を軸に、開幕好発進を狙う。レギュラーの大半が新加入組となるだけに、チームの完成度がカギとなる。

対する秋田も15名を新たに加えて、刷新を試みている。古田 寛幸、江口 直生ら昨季の主力に林 容平、小谷 光毅ら新戦力が加わり、どんなチームになっているか。

システムは群馬が３バック、秋田は４バックが予想される。両チームともに開幕週の練習を非公開にしているため、情報が限られている。システム、先発メンバーを含めて、両指揮官がどんな策を打つか。

昇格を目指す両軍が、正田スタで熱き火花を散らす。

［ 文：伊藤 寿学 ］","昨季５位の群馬と昨季８位の秋田。今季のＪ２昇格を狙う両チームは、大幅な補強を行い開幕へ備えた。群馬は［３－５－２］、秋田は［４－３－３］のシステム。序盤からサイド攻撃の応酬が続く状況下の40分、群馬の青木 翔大が右クロスをヘッドで押し込み先制に成功する。秋田は前半終了間際の45分に幸運なPKを獲得し同点に追いつく。

１－１で迎えた後半は53分に青木 翔大が再びゴールを決めてリードするが、75分に秋田がショートカウンターから藤沼 拓夢が同点ゴール。白熱のゲームは２－２のドローに終わった。

［ 文：伊藤 寿学 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第2節,群馬,相模原,2,1,3,"群馬が明治安田Ｊ３第２節で相模原を迎え撃つ。両チームともに開幕戦はドローに終わったため、今季初勝利を目指すゲームとなる。

群馬は前節・秋田戦で内容的には圧倒し、二度リードしながらも不運なPKと終盤の不用意な失点により、２－２の痛み分けに終わってしまった。２ゴールを決めた青木 翔大は「ゴールを決めても勝てなければ意味がない。次は自分のゴールよりも勝点３という結果を求めて戦う」と気持ちを込める。

対する相模原は、前節・富山戦はスコアレスドローとなった。手堅い展開となっていたが、ジョン ガブリエル、大石 治寿らが組む攻撃の迫力は十分。今節は初ゴールと初勝利を狙って群馬に乗り込んでくる。

昨季の対戦成績は群馬の１勝１分。今季は互いに戦力アップしているため、昨季以上に激しいバトルが予想される。まだ２節だが、スタートダッシュを試みる意味では重要な戦い。最後まで走り抜いたチームに勝点３が転がり込むだろう。

［ 文：伊藤 寿学 ］","群馬が２－１で逆転勝利を収めた。

群馬は、田中 稔也が初先発となる［５－３－２］の布陣、対する相模原は大石 治寿をトップに配置する［３－４－３］。前半は互いに慎重なゲーム運びに終始。カウンターからチャンスの糸口を作ったものの、ゴールは奪うことができずにスコアレスで折り返す。

67分、相模原は大石のゴールで先制に成功し、１点リードで終盤を迎える。だが、途中出場の加藤 潤也が86分と90＋１分にゴールを決めて、群馬が逆転勝利。今季初勝利をサポーターへ届けた。

相模原は１点リードを守り切れずに痛恨の敗戦となった。

［ 文：伊藤 寿学 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第3節,富山,群馬,1,0,0,"Ｊ２復帰を目標に掲げる両クラブがぶつかる。昨季の対戦成績は１勝１敗だった。ライバルを下して今後にはずみをつけるのはどちらか。

ホームの富山は前節、攻守が機能して福島をゲーム内容で圧倒したが、１－３で敗れた。数多くあった決定機をモノにできず、守りのスキを突かれてしまった。しかし、安達 亮監督は「攻撃は自分たちのやりたいことができていて、あとは決めるだけ。結果は残念だったが、自信もつかめた」と前向きだ。

群馬は２連勝を狙って、今季初のアウェイゲームに臨む。前節の相模原戦は残り５分を切ってから加藤 潤也が２得点を挙げて、逆転勝ちを収めた。開幕戦では青木 翔大が２得点をマークしており、決定力不足を補うために獲得したストライカーが早くも結果を残している。

ボール保持率を高めて連係で相手を崩そうとする富山に対し、群馬は縦に速い攻めで鋭くゴールに迫る。富山は前節のように得点を奪い切れないようだと、相手の速攻を浴びて苦しい展開になる。今季初勝利に向けて、今節も決定力がカギになるだろう。

［ 文：赤壁 逸朗 ］","富山がボールを保持しながら攻め、15分までに二度の得点チャンスを作るなど主導権を握った。群馬は寄せの速さと球際の強さを発揮して粘り強く守るが、攻撃の時間を作れず流れを変えられないままゲームが進む。すると富山が40分、花井 聖のスルーパスで昨季は群馬でプレーした高橋 駿太が裏に抜けて先制点を挙げた。

後半は群馬が圧力を強めて相手陣でプレーするようになったが、効果的な攻めを繰り出せず、今季初めて無得点に終わった。富山は追加点こそ奪えなかったがリードを守り切って今季初勝利を挙げた。

［ 文：赤壁 逸朗 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第4節,群馬,八戸,0,1,0,"群馬が、今季Ｊ３に参入した八戸をホーム・正田スタへ迎える。７位・群馬と６位・八戸は勝点４で並び、得失点差で八戸が上回っている状況。中位に位置する両チームにとって、今節は上位追撃のターニングポイントになるゲームだ。

群馬は前節・富山戦で今季初黒星を喫し、開幕３戦を１勝１分１敗とした。前節は、攻守ともに精彩を欠いて０－１で完敗。攻撃では今季初めて無得点に終わった。布 啓一郎監督は「戦術以前に自分たちがやるべきことをやらなければいけなかった」と悔やむ。群馬は、ハードワークをベースに、仕切り直しとなる。

対する八戸も前節・YS横浜戦で今季初黒星となった。ただし、３点を先行される展開の中で３点を奪い返し、３－４まで持ち込んだ粘りも見せた。攻守における全員サッカーが、Ｊ３でも通用することを示している。大石 篤人監督はＪ３を知り尽くす戦略家だけに、群馬は最大限の警戒が必要だ。

どちらも勝利が欲しい一戦。打ち合いの予感も漂っている。

［ 文：伊藤 寿学 ］","Ｊ３・２年目の群馬と、Ｊ３新規参入の八戸の初対戦となった。

システムは［３－４－３］同士のミラーゲーム。前半は群馬がセカンドボールを支配し、両サイドから攻撃を仕掛けていく。群馬が優勢にゲームを進めていくが、チャンスを決め切れず、０－０で前半を折り返す。

後半はお互いがゴールに迫る中で、77分に八戸がカウンターから上形 洋介が決勝ゴール。八戸は敵地で貴重な勝点３を手にした。チャンスを決められなかった群馬は、痛恨の連敗を喫した。

［ 文：伊藤 寿学 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第5節,YS横浜,群馬,0,2,3,"「守り切れずに簡単に失点し過ぎている。そこを至急改善していかないと勝点をなかなか拾うことができない」とはシュタルフ 悠紀リヒャルト監督の言葉。YS横浜は開幕から４節を終えて、リーグワーストとなる13失点を喫して16位に沈んでいる。その反面、どの相手に対してもチャンスを構築して、７得点を奪えている攻撃面は自信を持っていい部分だ。だからこそ、これから順位を浮上させていくには、早急な守備の整備がキーポイントになってくるだろう。

そんな中で、今節は11位タイの群馬をホームに迎え撃つ。現在は上位に位置していないが、昨季までYS横浜のエースとして君臨した、爆発的なスピードと決定力を持つ辻 正男をはじめ、青木 翔大、加藤 潤也の前線は迫力満点。ほかのポジションにもクオリティーの高い選手が配備されており、厳しい展開になることが想定される。だが、我慢強く最少失点で切り抜けられれば好機はあるはず。一人ひとりが集中を切らさずに守備を安定させることで、今季ホーム初勝利を引き寄せたい。

［ 文：高澤 真輝 ］","今季ホーム初勝利を狙うYS横浜だったが、前節・Ｇ大23戦のようにサイド攻撃を防ぐことができずに劣勢を強いられていく。すると28分にパスミスの流れから佐藤 祥にヘディングシュートを決められ、35分には加藤 潤也に追加点を許した。

まずは１点を奪うために、ホームチームは後半からポジションチェンジや、選手交代を織り交ぜながら攻撃に出る。だが、群馬の堅い陣形を前に連係や工夫が乏しく、崩し切ることができずに０－２のまま試合は終了。YS横浜が２連敗を喫し、群馬が今季初の無失点勝利を手にした。

［ 文：高澤 真輝 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第6節,Ｃ大23,群馬,3,2,0,"ホームのＣ大23は前節、敵地での秋田戦に臨み、０－３の敗戦。今季初の無得点に終わり、開幕からの負けなしが『４』でストップ。今季初黒星を喫した。

もっとも、スコアこそ一方的となったこの試合だが、最初に決定機をつかんだのはＣ大23であり、先制されたあとも決定機は作るなど、攻撃陣の躍動感はこの試合でも見られた。ただし、訪れたチャンスを仕留め損なうことで苦しい試合にしてしまった。あらためて、先制点の重要性が浮き彫りになったと言える。

ホームに戻っての仕切り直しとなる今節の群馬戦は、ここまで４得点の山田 寛人や３得点の山根 永遠ら、攻撃陣が得点という形でチームを引っ張っていきたい。同時に前節３失点した守備の修正も不可欠。第４節まで発揮してきた粘り強い守備を取り戻したい。

一方の群馬は前節、アウェイでのYS横浜戦に２－０で勝利。連敗を『２』で止め、今季初の無失点勝利を達成した。今季初の連勝を目指して敵地に乗り込む今節は目標に掲げる『Ｊ３優勝・Ｊ２昇格』のために、上位を追撃したい一戦となる。

［ 文：小田 尚史 ］","雨が降りしきる中で行われたＣ大23対群馬の一戦は、前半終了間際、右サイドからのクロスを加藤 潤也が頭で合わせて群馬が先制した。

群馬は後半の立ち上がりにもショートカウンターから追加点。劣勢に立たされたＣ大23だが、２失点目から１分後、西川 潤のシュートをGKがはじいたところを山田 寛人が詰めて１点を返すと、76分、83分と途中出場の安藤 瑞季が連続してゴール。２点とも、山田のパスを受けた安藤がGKとの１対１を冷静に沈めて、Ｃ大23が試合をひっくり返した。試合はこのままＣ大23が３－２で勝利。チーム発足後、初の単独首位に躍り出た。

［ 文：小田 尚史 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第7節,群馬,Ｇ大23,0,0,1,"群馬がＧ大23をホームに迎え撃つ。

Ｊ３優勝を目指す群馬は、開幕６戦は２勝１分３敗で12位に沈む。前節のＣ大23戦では、加藤 潤也、青木 翔大のゴールで２点をリードする絶好の展開だったが、その後に３点を奪われて２－３で逆転負け。チームにはダメージが残った。

３バックを敷く群馬はディフェンスラインが不安定で、後半の勝負どころで失点するゲームが続く。総失点８の多くはバイタルから中央を突破されて失点を招いている。今節は攻撃力の高いＧ大23に対して、守備陣が耐えられるかがカギ。群馬にとっては正念場となる。

対するＧ大23は２勝２分２敗で７位につける。タレント集団を率いるのは2017年に群馬を指揮した森下 仁志監督。同年に群馬はＪ３へ降格しただけに因縁が渦巻く。

前節・熊本戦は食野 亮太郎のゴールで先制したが、後半に２ゴールを奪われて逆転負け、３連勝を逃した。今節は仕切り直しの一戦となる。Ｇ大23は食野 亮太郎がここ３戦５ゴールとブレイク、今節は４戦連続ゴールの期待がかかる。

堅守速攻の群馬か、高い攻撃力を秘めるＧ大23か。フライデーナイトが熱い。

［ 文：伊藤 寿学 ］","先発の平均年齢が19.82歳のＧ大23に対して、群馬は20分過ぎから［５－４－１］の守備的な戦いを選択。自陣に引いてカウンターを狙っていく。守備ではＧ大23の巧みなパス攻撃を封じたが、攻撃の手数が増えない。

前半を０－０で折り返すと、群馬が後半に攻撃のスイッチを入れるかと思われたが、後半も同じ戦いを選択。群馬が引き続けたことで、ゲームは停滞感が漂った。終盤は互いにスペースが生まれたが、どちらも決定打を放つことができず、スコアレスドローに終わった。

群馬・布 啓一郎監督は「守備は意図した戦いができたが、カウンターの精度が足りなかったところは課題だ」と話した。一方、Ｇ大23・森下 仁志監督は「相手がリスペクトしてくれていた中で、若さもあり最後が崩せなかった」と振り返った。

［ 文：伊藤 寿学 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第8節,北九州,群馬,1,0,0,"前節、北九州は難敵・秋田を相手に、群馬は攻撃力のあるＧ大23に対していずれもスコアレスドロー。両チームともに前々節で複数失点による敗戦を喫していただけに、前節の結果は無失点で連敗を阻止できたという点において評価できる一方、北九州は多くの決定機を作りながら決め切ることができなかった点、そして群馬は狙っていたカウンターを十分に繰り出すことができなかったという、攻撃面でそれぞれに課題が出たゲームとなった。

よって、今節は守備を意識しながら攻撃面での改善を形として表すことができるかが、北九州は４試合ぶり、群馬は３試合ぶりとなる勝利を手にできるかどうかのカギに。北九州は小林 伸二監督が言う「足元と裏の使い分け」を意識しながらの攻撃でチャンスの数を増やして決定率の向上を狙う。一方の群馬はカウンターの精度をいかに上げるかというところがポイントになるだろう。

ともに今季は戦力を大幅に入れ替えてチームを刷新しているが、新加入選手を含めたチーム総体としての連係アップの進ちょくが見られるようになった時期だけに、ゴールへの意欲と質の高まりの両方を期待できるゲームになりそうだ。

［ 文：島田 徹 ］","群馬は前線からのプレスも絡めて北九州の攻撃にうまく制限をかけ、そして攻撃に移ったときには辻 正男と青木 翔大の２トップを起点に前へのパワーをうまく作り出して前半序盤の主導権を握る。しかし、少し押されながらも慌てず試合を進めた北九州は、その我慢強さが前半終了間際に実を結ぶ。45分、新井 博人の右CKをファーサイドに回り込んだ岡村 和哉が頭で合わせて北九州が先制に成功した。

後半は前線から相手ボールに圧力を掛けていく北九州が主導権を握ってスタート。対する群馬はシステムを４バックに変え、効果的なカウンターからチャンスを作るが、モノにできず。北九州が４試合ぶりの勝利を収めた。

［ 文：島田 徹 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第9節,藤枝,群馬,1,1,1,"前節で讃岐に敗れて首位を守れなかったものの、勝点１差の３位につける藤枝。首位戦線に踏みとどまるためには、ここまで３勝１分（失点ゼロ）のホーム・藤枝総合運動公園サッカー場で勝点３を積み上げることが欠かせない。

讃岐戦では２失点を喫したものの、いずれも崩された形ではなく、昨季までＪ２だった讃岐相手に互角以上の試合運びができた時間も多かったため、自信は失っていない。今週月曜日にはＪ１の清水と練習試合を行い、Ｂチームが相手ながら２－１で勝利。今季の快進撃を支えている堅守だけでなく、攻撃面でも進化が見えている。

一方の群馬は、ここまで２勝２分４敗の16位だが、９位と勝点１差という混戦なので、好調な藤枝をアウェイで倒せば、一気に上昇気流に乗れる可能性もある。前節は、現在首位の北九州に０－１で敗れたが、主導権を握る時間も多く、対等の戦いができていた。

戦力的に見ても順位ほどの差はなく、得失点は藤枝が９得点／９失点、群馬が８得点／９失点ときっ抗。両者とも守備から入る手堅い試合運びが予想される中で、どちらが限られたチャンスを生かして先制点を奪うかが大きなポイントになりそうだ。特に藤枝がホームでの無失点を維持できるか、群馬がそれをこじ開けられるかが注目される。

［ 文：前島 芳雄 ］","立ち上がりから球際の攻防は激しいが、お互いに堅い戦い方で入った一戦。その中でホームの藤枝がやや優位に立ったが、ミスが目立ってなかなか決定機を作れない。群馬も裏へのパスと足元へのパスを使い分けながら藤枝の堅守の攻略を目指したが、なかなか思うような形を作れないまま前半は０－０で終了。

後半は、群馬も攻撃の厚みを増して一進一退の展開が続く中、お互いになかなか決定機は作れなかったが、83分に思わぬ形で試合が動く。群馬の左クロスをGK杉本 拓也が足でクリアしたが、そのボールが味方に当たってゴールイン。藤枝の今季ホーム初失点は、まさかのオウンゴールだった。

しかし、その後は藤枝が攻撃の人数を増やして猛攻を仕掛け、89分に交代出場の岩渕 良太が見事な個人技から、左の角度のないところからシュートを決めて同点に。アディショナルタイムも藤枝が攻め立てたが、群馬が耐え切り、お互いに悔しい痛み分けに終わった。

［ 文：前島 芳雄 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第10節,群馬,Ｆ東23,4,1,3,"２勝３分４敗で13位の群馬が、２勝１分６敗で最下位のＦ東23をホームに迎え撃つ。

群馬は４月６日の明治安田Ｊ３第５節・YS横浜戦での勝利を最後に、リーグ戦の勝利から遠ざかる。第６節以降の４試合は２分２敗。結果が出ないことでプレーが後ろ向きになり、勝ち切れないゲームが続く。

今季はU-23チームに苦戦している。第６節はＣ大23と戦い、２－０から３失点を喫して痛恨の逆転負け。第７節はＧ大23相手に守備一辺倒の戦いでスコアレスドローに終わった。今節は個人技に長けたＦ東23相手にどう戦うか。群馬はアグレッシブな姿勢を取り戻すことが求められている。

群馬は５月25日に天皇杯１回戦・東京国際大戦を行い、１－０で勝利して２回戦へコマを進めた。天皇杯では若手中心のメンバーで臨んだが、髙澤 優也、吉田 将也、GKキム チョルホらが好パフォーマンスを見せた。若い力をどう生かすかがカギだ。

Ｆ東23は、開幕５連敗となったが、ここ４試合は２勝１分１敗と安定してきた。調子を上げているが、前線では田川 亨介と原 大智の２人が、U-20Ｗ杯のメンバーに選出されているため離脱中。U-18組ら若いタレントがどんなプレーを見せるか注目だ。

布 啓一郎監督は「相手は技術のあるチーム。ウチは攻守にハードワークして結果を追求するだけ」と準備を進める。15時のキックオフだが、暑さの中での戦いとなりそうだ。

［ 文：伊藤 寿学 ］","群馬は、大卒ルーキーの吉田 将也が右SBでＪリーグ初出場初先発。前線には同じく大卒ルーキーの髙澤 優也が入った。対するＦ東23は、平均年齢17.45歳となるU-18組中心の先発メンバー。GKには、16歳の野澤 大志ブランドンが初出場となった。

序盤を優位に進めたのは群馬。田中 稔也、加藤 潤也が縦へのアクションを起こしてゴールへ迫る。立ち上がりは劣勢だったＦ東23だが、時間の経過とともに流れを取り戻すと、平川 怜、品田 愛斗のゲームメークからチャンスをうかがう。

一進一退の攻防の中、32分、ゴール前の混戦に入り込んだ佐藤 祥が左足を伸ばして群馬が先制に成功すると、40分にはクロスに髙澤が合わせて追加点。群馬が２－０で前半を折り返す。

群馬は61分に吉田 将也がＪリーグ初ゴールとなるミドルを決めると、87分には髙澤が４点目を流し込んでゲームを決めた。

台所事情が苦しい中でのゲームとなったＦ東23は、後半アディショナルタイムに右CKから木村 誠二のヘッドで１点を返し、意地を見せた。

［ 文：伊藤 寿学 ］",コメントなし,コメントなし
