Round,Hteam,Ateam,Hscore,Ascore,WorL,Preview,Review,H_comment,A_comment
明治安田生命Ｊ３リーグ　第1節,讃岐,岩手,1,0,0,"涙に包まれた昨季の最終戦から約４カ月、讃岐は５年間戦ったＪ２を離れ、Ｊ３に初挑戦する。指揮を執るのは、ヘッドコーチとして北野 誠前監督の下で修行を積んだ上村 健一新監督だ。上村監督は「守備ではボールを奪い、攻撃ではゴールを奪う。観て楽しいサッカーを目指し、必ず１年でＪ２復帰できるよう頑張る」と話す。

堅守速攻というイメージの讃岐だが、新監督の下でチーム戦術を攻撃的なスタイルに変更。予想されるフォーメーションは［４－１－４－１］。ディフェンスラインでは昨季途中加入の竹内 彬が完全移籍で守備の中心に。攻撃的MFでは新加入の池谷 友喜が存在感を示す。

背番号10を背負う地元出身の高木 和正も、「Ｊ３もレベルが高いが、昨年の悔しさを晴らすためにも死に物狂いで結果を出して、１年でＪ２復帰するしかない」と吐露する。

一方の岩手は、昨季Ｊ３で15ゴールを記録した背番号10の谷口 海斗に注目だ。岩手を率いて３年目の菊池 利三監督（45歳）と新人監督の上村監督（44歳）、互いに攻撃的なサッカーを目指す同世代監督の采配も見どころの１つ。開幕戦の緊張感の中、先制点がポイントになる。

［ 文：大森 一 ］","１年でのＪ２復帰を目指すホーム・讃岐。絶対に勝点３が欲しい開幕戦は、両チーム合わせて27本のシュートが飛び交う激しい展開になった。

序盤、一進一退の中で迎えた27分、中盤でボールを奪ってからの展開で福家 勇輝が約40メートルの位置からロングシュートを放つ。これが風に乗って岩手GK土井 康平の頭上を越え、讃岐が先制。

試合を優位に進めた讃岐は終盤、３枚目の交代カードで今季復帰した木島 良輔を起用。スタジアムの興奮は最高潮に達した。

岩手は終了間際に押し込む展開を作り、惜しいシュートを何度も放つがゴールネットは揺らせず、１－０でゲームセット。試合後、讃岐の選手たちは雨にもかかわらず集まった多くのサポーターと一体になり勝利のダンス。Ｐｉｋａｒａスタジアムは歓喜に包まれた。

［ 文：大森 一 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第2節,Ｆ東23,岩手,0,1,3,"今節、ホーム開幕戦を迎えるＦ東23は前節、アウェイ・北九州で開幕戦を戦い、０－２で敗北した。

今季から、昨季まで岡山を指揮していた長澤 徹氏が新監督に就任。明治安田Ｊ１を戦うトップチームのコーチと兼任することになる。長澤監督は北九州戦後の会見で、「全体的には北九州さんの非常に組織されたサッカーに対して少し踊らされたかなという感じですが、まだまだ伸びシロのある集団。目指すのはトップチームで何人が活躍できるかというところになる」と語り、あらためて今季もＪ３の舞台での活躍をきっかけに、１人でも多くの選手がＪ１へとステップアップしていくための戦いにもなっていく。

対する岩手は、こちらもアウェイで讃岐と開幕戦を戦い、０－１の黒星スタートとなってしまった。新加入FWの菊池 将太は「個人的には初めてのＪの試合だったので楽しかったですが、試合後はすごく悔しかった。ゴールのチャンスがあったけど決められなかった。自分のところで得点が欲しいというのは監督の狙いだと思う。次は結果を出したい」と前節を振り返りつつ、今節へと意気込む。岩手は２試合続けてのアウェイ戦だが、今節は訪れるチャンスをきっちりモノにできるかがカギを握る。

［ 文：西川 結城 ］","ホーム開幕戦を迎えたＦ東23はリーグ戦初出場の中村 拓海がスタメンに名を連ね、序盤からボールを支配。岩手はビルドアップのミスやマークの受け渡しのズレからピンチを招きながらも、我慢の時間を耐えてゲームを進めていく。すると43分、CKから深井 脩平が高い打点のヘディングシュートを決めて先制に成功した。

これで落ち着いて後半へ入ることができた岩手は、セットプレーからチャンスを作ったほか、前がかりの相手を逆手にとるカウンターで敵陣に進入。追加点には至らなかったが、無失点に抑えて今季初勝利を挙げた。一方のＦ東23はゴールが遠く、２連敗を喫した。

［ 文：高澤 真輝 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第3節,岩手,秋田,3,1,3,"『優勝』の二文字を目標に掲げるシーズンとなった秋田だが、開幕から２試合で勝点１と、やや出遅れた感は否めない。内容は悪くないだけに早くイヤな流れを断ち切りたいところだが、今節はキャプテンの小谷 光毅が出場停止。どういったシステム、メンバー構成で臨むか、注目が集まる。

一方、前節のＦ東23戦で初勝利を挙げた岩手。最大の課題であった守備面に関しては改善傾向が見られ、ハイプレスとブロックの形成という局面ごとの規律は整いつつある。菊池 利三監督がキャンプを通じて植えつけてきたものがピッチで発露し始めている。あとは流れの中での攻撃をどのように再現性を持って構築していくかが、今節、ひいてはシーズンにおける浮沈のカギを握ってくるだろう。

今オフ、秋田から岩手に移籍した深井 脩平、岩手から秋田に新天地を求めた藤沼 拓夢はともにゴールを記録。両者が古巣相手にどのようなプレーを見せるのかも見どころだ。ホーム開幕戦となる岩手が連勝で波に乗るのか。秋田が初勝利で風向きを変えるのか。早くも序盤戦の分水嶺となりそうな試合がキックオフを迎える。

［ 文：高橋 拓磨 ］","小雪混じりの暴風が吹き荒れる中で開催された平成最後のダービーマッチ。先制したのは岩手だった。20分、この試合で圧巻のパフォーマンスを見せた鈴木 達也のクロスに菊池 将太がヘッドでＪリーグ初ゴールをマークした。秋田も久富 賢が惜しいシュートを放つが、前半は岩手が１点リードで折り返した。

後半もチャンスを作る秋田だったが、岩手は堅い守備ブロックと球際の強さで応戦。強度を落とさずに相手の攻撃を防ぐと、78分、梅内 和磨がクロスに反応し追加点を挙げる。秋田もCKから得点し１点差とするが、アディショナルタイムに３点目を奪われ万事休す。流れの中からの形も見えてきた岩手がホーム開幕戦を勝利し、２連勝。一方の秋田はアウェイ３連戦で勝点１と苦しいリーグ序盤戦となった。

［ 文：高橋 拓磨 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第4節,岩手,熊本,0,1,0,"序盤戦、例年を大きく上回る結果を残している岩手。“北東北ダービー”となった前節は秋田を３－１で下し、２連勝中と波に乗る。この試合では昨季定位置を得られず悔しい思いをした梅内 和磨、鈴木 達也も活躍し、結果を残した。ポジション争いの激化は、チームに刺激と層の厚みをもたらすだろう。細かな課題もあるが、守備の安定が好調を支えているのは間違いない。攻撃も少しずつではあるが形が見えつつあり、昨季以上に組織立ったチームに変貌を遂げている。

一方、１シーズンでのＪ２復帰を目指す熊本だが、開幕から３戦未勝利と苦しんでいる。しかし、前節の讃岐戦では先発メンバー５人を替え、今季初のクリーンシートをマーク。渋谷 洋樹監督も「次につながるゲームになった」と評価した。決定機は作れているだけに、フィニッシュを決め切れるかどうかが勝敗を大きく左右しそうだ。

今節は地震の被害に遭った地域をホームタウンに持つクラブ同士が相まみえる『復興祈念マッチ』となる。３連勝が懸かる岩手、Ｊ３降格後勝利がない熊本という対照的なチーム状況ではあるが、最後まであきらめず、勝利を目指して躍動する姿を両チームのサポーターに届けたい。

［ 文：高橋 拓磨 ］","大きな綿雪が降りしきる中で開催された岩手と熊本による『復興祈念マッチ』。

一進一退の展開が続く中、26分の熊本・佐野 翼がペナルティーエリア内で放ったシュート、45分の岩手・麦倉 捺木のポスト直撃のFKなど、互いに決定機を作るもののスコアレスで折り返した。

後半に入りさらに圧力を高めた熊本は、CKを立て続けに獲得するなど攻勢に出る。すると65分、意外な形から先制点が生まれる。岩手の自陣でのクリアをブロックした熊本。このボールがゴール前絶妙な位置へのクロスとなり、ファーで待ち構えていた田村 翔太がヘッドで押し込んだ。岩手も攻撃的な選手を投入し、［４－１－４－１］に変更して打開を図ったが、最後まで集中を切らさなかった熊本DF陣がシャットアウト。熊本が雪の中でのアウェイ戦をモノにし、Ｊ３初勝利を挙げた。

［ 文：高橋 拓磨 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第5節,長野,岩手,1,2,3,"開幕から未勝利のチーム同士の対決となった前節・秋田戦は、スコアレスドローに終わった長野。勝ち切れなかったものの、小澤 章人が「今季は失点ゼロがまだなかったので、それはポジティブに捉えていいと思う」と語ったように、無失点は前向きに捉えるべき材料だろう。今節はホームゲームだけに、サポーターの後押しを受けて、今季初勝利を狙う。

対する岩手は、悪天候の中で行われた前節・熊本戦で０－１の敗戦となっているが、試合内容そのものは多くの決定機を作るなど大いに奮闘した。昨季から大幅な選手の入れ替わりがある中で、新加入選手が早速主力として活躍しており、チーム力は高まっている。「次は内容がどうであれ勝点３を取れるように準備していきたい」と意気込むのは嫁阪 翔太だが、アウェイで勝点３を取れれば大きな自信となるはずだ。

ケガ人が多い長野だが、欠場していた何人かの選手が前節でメンバー入りを果たすなど、状況は改善してきた。チーム戦術が浸透してきたことで試合内容は好転の兆しがうかがえるだけに、あとは結果が欲しい。

［ 文：吉田 義生 ］","立ち上がりは長野が主導権を握ったが、先制したのは岩手だった。10分、ペナルティーエリア左角のやや後方で得たFKから麦倉 捺木がゴール前にボールを送ると、ファーサイドでフリーになった木下 高彰がヘディングで合わせてゴールを奪う。

岩手はさらに33分、FKからこぼれ球を拾った谷口 海斗が左サイドを突破してクロスを上げると、またも木下がヘディングでゴールを決めてリードを広げた。

後半に入ると長野が57分、三上 陽輔がペナルティーエリア右から左足で強烈なシュートを突き刺し、１点を返す。その後も同点を目指す長野が攻勢をかけ、特に終盤は見ごたえのある攻防が続いたが、最後まで耐え切った岩手が今季３勝目。敗れた長野は平成最後のホームゲームを勝利で飾ることができず、開幕５試合勝利なしとなった。

［ 文：菊地 正典 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第6節,岩手,富山,1,2,0,"５試合を終えて５位と好調ぶりが目立つ岩手。ここまで相手に主導権を奪われる試合が多い中、粘り強い守備と決定機をモノにする勝負強さで勝点を積み重ねている。前節の長野戦も今季の岩手を象徴するような試合で、放ったシュートは４本ながら、セットプレーから木下 高彰が２ゴール。相手の猛反撃を１点に抑えてアウェイで勝利。「ブロックを組んだら失点する気がしない」と、GK土井 康平をはじめとする多くの選手が自信を深めている。

アウェイに乗り込む富山は、前節・北九州戦も終盤に追いつかれるなど勝ち切れない試合が続く。シュートチャンスは作るものの、フィニッシュを決め切れず、５試合で４得点と振るわない。しかし、攻撃的なスタイルで主導権を握る展開には持ち込めている。上位を追随するためにはこの決定力という課題克服が欠かせない。

岩手は前回のホーム戦で熊本に敗れており、ホームでの連敗は許されない。現在、リーグ３位タイの堅守を誇る岩手が今季二度目となる連勝を懸け、直接対決で３連勝中と相性の良い富山を迎え撃つ。

［ 文：高橋 拓磨 ］","立ち上がりこそチャンスを作った岩手だったが、自らのミスから流れを相手に渡してしまう。13分、クリアミスを自陣で拾われ、最後は佐々木 陽次が決めて先制。勢いづいた富山は次々と岩手ゴールに迫り、ハーフタイムに入るまではワンサイドゲームに近い展開が続いた。

後半も早い時間にスコアが動く。50分、岩手がPKを獲得すると、薮内 健人が落ち着いて流し込み同点。互いに攻撃的な選手を交代で送り込み、展開は一気に加速する。互いに攻撃姿勢を崩さず迎えた82分、勝負どころをモノにしたのは富山。CKから柳下 大樹がヘッドでゴールをこじあけ、値千金の決勝ゴールを記録。試合を通じ効果的なプレスと巧みなパスワークで岩手の守備を翻ろうした富山が、３試合ぶりの勝点３を手にした。

［ 文：高橋 拓磨 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第7節,鳥取,岩手,1,1,1,"鳥取は４月14日の前節、ホームで藤枝に１－２で敗戦。開幕戦の勝利後は２分３敗と失速し、17位にまで順位を下げた。21日に天皇杯予選となる鳥取県選手権決勝で久しぶりの公式戦勝利を挙げており、リーグ戦でも立て直したい。負傷離脱していたフェルナンジーニョの復帰など明るい要素はあるが、テンポよくパスをつなぎながらゴールを目指すスタイルに自信を持ち、勝利につなげるためにも、先に失点して追いかける展開は避けたい。

岩手も前節はホームで富山に１－２で敗れ、３勝３敗の５位。岩手県選手権決勝は５月12日に行われるため、今節は２週間ぶりの公式戦となる。岩手県内のスタジアム整備を要望する署名活動を進めており、より機運を高めるためにも、上位に踏みとどまりたい。昨季15得点の谷口 海斗は一時の負傷離脱もあって無得点だが、守備でも貢献する梅内 和磨、優れた技術が光る薮内 健人らが前線で良い動きを見せている。前節、前々節はともにシュート４本に終わっており、フィニッシュに持ち込む回数を増やして勝機を引き寄せたい。

［ 文：石倉 利英 ］","明治安田Ｊ３第７節、鳥取対岩手は１－１の引き分けに終わった。前半は鳥取に何度か決定機があったが決められず、逆に岩手は43分、麦倉 捺木のCKを福田 友也がヘッドで合わせて先制。

しかし、鳥取も後半立ち上がりの51分、ヴィートル ガブリエルのクロスを西山 雄介が胸でうまく落とし、可児 壮隆が決めて同点とした。その後はオープンな展開となり、岩手は何度かサイドを崩してビッグチャンスがあったものの、決めることができず、勝点１を分け合った。

［ 文：石倉 利英 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第8節,岩手,YS横浜,2,1,3,"勝点10の６位に位置する岩手。今季の得点源になっているのがセットプレーだ。キッカーの麦倉 捺木はリーグトップの４アシストを記録し、高精度の左足を存分に見せつけている。前節は今季初のドローで勝点１を得るにとどまったものの、多くのチャンスを作り出すなど、シュート４本に抑え込まれた長野戦、富山戦とは異なる姿を見せた。違いを生めるタレントもおり、武器のリスタートに加え、流れの中からの攻撃に光明が見えたのは大きな収穫と言える。

対するYS横浜は２連勝で順位を11位に上げた。リーグ最多タイの13得点、そして２試合連続３得点を記録している攻撃陣が好調の原動力で、４得点の浅川 隼人、３得点の進 昂平ら取るべき選手が結果を出している点も心強い。しかし一方で失点数もリーグ最多。数字が物語るように、今季は波の振れ幅が非常に大きく、爆発力と同時にもろさものぞかせる。

ホームゲーム２連敗中の岩手にとっては勝点３が至上命令。守備は安定感を見せているだけに、１試合２ゴール以上を奪えるような迫力ある攻撃を展開できるかどうかが今節の勝利、そして今季の躍進のカギとなる。

［ 文：高橋 拓磨 ］","先手をとったのはYS横浜。GKを組み込んだビルドアップでプレスの的を外し、チャンスを構築すると、21分に奥田 晃也がロングフィードからDFと入れ替わってシュートを放ち先制する。さらに前半アディショナルタイムにもGKと１対１のチャンスを迎えるが、無情にもポストを叩く。岩手にもチャンスが訪れたが、０－１のままハーフタイムに突入する。

ホーム３連敗は絶対に避けたい岩手は得意のセットプレーから同点に追いつく。CKから米原 祐がヘッドで今季初ゴール。後半、間延びした距離感を修正した岩手は球際のパワーを取り戻し、攻勢に出る。試合を決めたのはエースの一撃だった。85分、右からのクロスを谷口 海斗がGKと交錯しながら押し込んで待望の今季初ゴール。試合はこのまま終了し、1,513人の観衆の前で、岩手が今季初の逆転勝利を手にした。

［ 文：高橋 拓磨 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第9節,岩手,Ｃ大23,1,3,0,"昨季はＣ大23との直接対決で２連勝と相性の良さを見せる岩手。前節・YS横浜戦では今季初となる逆転勝利を収め、ホーム２勝目を手にした。米原 祐がヘッドで決め、岩手は今季出場したCBの全員がゴールを記録。さらにはエースの谷口 海斗にも待望の今季初ゴールが生まれた。谷口は昨季のＣ大23戦で３ゴールとキラーぶりを発揮。今節もチームを勝利に導くゴールに期待が集まる。岩手は選手が軒並みコンディションの良さを口にするなど、ポジティブな雰囲気の中でホーム戦を迎える。勝点１差で追う４位のＣ大23を下し、さらに上位に肉薄したいところだ。

一方のＣ大23は２試合未勝利、無得点という状況。特に序盤の決定機をモノにできない展開が続いている。今季５ゴールの山田 寛人を筆頭とした能力の高い選手が連動し、崩しの部分までは構築できているので、フィニッシュの精度を高めて３試合ぶりの勝利を持ち帰りたい。また、今節はU-20Ｗ杯日本代表に選出されたGK茂木 秀、DF瀬古 歩夢が不在となる。その影響がどう出るかにも注目だ。

［ 文：高橋 拓磨 ］","前半は互いにチャンスを作りかけるものの、フィニッシュにはつなげられない。シュートもＣ大23の２本のみというきっ抗した展開が続いた。

迎えた後半はいきなり試合が動く。47分、Ｃ大23は短いパスを巧みにつないでバイタルエリアに進入すると、スルーパスにうまく抜け出した安藤 瑞季がGKとの１対１を制して先制。58分には先制点と同様の形から山田 寛人の今季６ゴール目で突き放すと、67分には中島 元彦のミドルシュートがGK土井 康平のファンブルを誘いダメを押す。岩手も攻撃的なカードを切り、82分には谷口 海斗の２試合連続ゴールで食い下がるものの、反撃はここまで。岩手は試合を通じてイージーなパスミスが多く、攻守に精彩を欠き、今季初の３失点でホームゲームを落とした。

［ 文：高橋 拓磨 ］",コメントなし,コメントなし
明治安田生命Ｊ３リーグ　第10節,相模原,岩手,1,0,0,"明治安田Ｊ３は２週間ぶりの開催。相模原ギオンスタジアムでは、11位・相模原と７位・岩手が相対する。

相模原は前節、YS横浜を下し、第５節以来の白星をつかんだ。前半の劣勢から、ハーフタイムの交代策で流れを変えると、後半に３ゴールを挙げて逆転勝利。その前週には天皇杯神奈川県予選決勝で、大学生にショッキングな敗戦を喫していただけに、この“神奈川ダービー”での勝利は、チームに大きな活力を与えてくれるはずだ。

そして今節は、勝点差２で上を行く岩手を迎える。昨季まで相模原でプレーした米原 祐、麦倉 捺木にとっては古巣戦。特にここまで多くの得点を演出している麦倉の左足には警戒が必要だ。ともに３バックシステムの採用が見込まれる一戦で、相模原としてはボールを握る本来のスタイルを表現し、主導権を握りたい。

なお試合前には、プレナスなでしこリーグ１部・ノジマステラ神奈川相模原のホーム公式戦も、同スタジアムで行われる。ノジマ戦のチケット保持者には、この試合のホーム自由席が半額になるサービスも。Ｊリーグとなでしこリーグカップの同日開催。同じ地域をホームタウンにするチーム同士、“アベック勝利”を果たせるか。

［ 文：林口 翼 ］","序盤から相模原が攻め込む。［３－５－２］への布陣変更が奏功すると、セカンドボールを回収することで主導権を握った。

０－０で迎えた後半も、相模原ペースは変わらない。シンプルなロングボールも織り交ぜながら、相手ゴールを脅かし続ける。一方の岩手はなかなか好機が作れない中で、体を張った粘り強い守備で対応した。

相模原が押し切るか、岩手が耐えしのぐか。85分、ついに均衡が破れる。大石 治寿がボールを落とすと、これに待ち構えていたのは伊藤 大介。見事なコントロールショットがゴールに吸い込まれ、ホームのサポーターが歓喜に沸いた。

結局、このゴールが決勝点。相模原が接戦をモノにし、今季初の連勝を飾った。

［ 文：林口 翼 ］",コメントなし,コメントなし
