Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,ザスパクサツ群馬,ブラウブリッツ秋田,2,2,0,1,2019.3.10 17:00 Kick Off,曇,全面良芝,"3,691人",13.5℃,54.0%,53.2%,55.0%,48.8%,66.0%,53.1%,15.48,12.51,1.50,1.46,9.22,3.32,60.85,21.51,0.96,1.622,11,(18.2%),5,1,475,(74.9%),15,(20.0%),18,0,1,27,(85.2%),19,(47.4%),18,(61.1%),20,1,2,2,0,46,13,133,8.3%,55%
第2節,カマタマーレ讃岐,ブラウブリッツ秋田,1,0,0,0,2019.3.17 13:00 Kick Off,曇のち雨のち晴,全面良芝,"2,145人",12.1℃,40.6%,60.2%,71.9%,64.4%,43.2%,61.3%,15.44,12.98,1.50,0.96,5.66,0.00,85.60,11.46,0.80,0.866,11,(0.0%),1,0,476,(73.3%),19,(15.8%),17,0,8,48,(93.8%),18,(27.8%),20,(55.0%),17,3,0,0,1,48,7,149,7.4%,59.2%
第3節,いわてグルージャ盛岡,ブラウブリッツ秋田,3,1,0,0,2019.3.24 13:00 Kick Off,曇時々雪,良芝,"2,084人",5.6℃,50.1%,50.6%,51.8%,42.8%,64.0%,43.7%,15.61,10.54,2.46,2.61,7.69,1.36,97.70,11.01,0.31,1.611,16,(6.3%),4,0,393,(68.7%),21,(23.8%),17,1,6,33,(78.8%),19,(57.9%),29,(48.3%),17,1,2,3,0,35,8,146,11.0%,49.9%
第4節,ブラウブリッツ秋田,ＡＣ長野パルセイロ,0,0,1,1,2019.3.31 13:00 Kick Off,雨,良芝,"3,393人",3.5℃,63.1%,48.3%,57.4%,36.5%,50.3%,41.5%,12.38,7.93,1.94,2.51,5.78,0.00,65.23,18.65,0.15,0.964,11,(0.0%),4,0,337,(60.2%),18,(22.2%),13,1,5,33,(63.6%),17,(52.9%),17,(58.8%),30,3,2,1,0,27,16,145,7.6%,49%
第5節,ブラウブリッツ秋田,セレッソ大阪Ｕ−２３,3,0,1,3,2019.4.7 13:00 Kick Off,曇,全面良芝,"1,606人",11.3℃,44.3%,54.9%,42.8%,36.2%,29.8%,43.7%,11.79,9.55,1.04,1.20,6.82,10.65,82.45,13.87,0.55,0.886,12,(25.0%),5,0,301,(65.4%),9,(22.2%),17,1,4,18,(77.8%),9,(44.4%),21,(61.9%),30,0,4,0,0,25,13,123,9.8%,41.5%
第6節,ＳＣ相模原,ブラウブリッツ秋田,1,2,0,3,2019.4.14 13:00 Kick Off,曇時々晴,全面良芝,"3,495人",17.9℃,42.0%,38.6%,42.4%,38.3%,23.1%,27.3%,8.44,6.99,0.00,1.45,4.82,1.66,66.77,21.85,0.75,1.406,9,(22.2%),4,1,242,(61.6%),6,(0.0%),16,1,0,15,(86.7%),10,(50.0%),18,(55.6%),40,1,2,3,0,21,7,108,8.3%,35.5%
第7節,ブラウブリッツ秋田,ギラヴァンツ北九州,0,0,1,1,2019.4.27 13:00 Kick Off,曇,良芝,835人,7.3℃,45.4%,45.3%,29.5%,34.9%,34.7%,41.0%,7.03,6.12,0.00,0.91,2.64,0.00,89.57,20.40,0.16,0.304,8,(0.0%),2,0,303,(52.1%),9,(0.0%),13,1,2,29,(75.9%),11,(45.5%),22,(86.4%),32,0,0,0,0,21,7,131,6.1%,37.9%
第8節,ガンバ大阪Ｕ−２３,ブラウブリッツ秋田,3,1,0,0,2019.5.5 14:00 Kick Off,晴,全面良芝,"1,732人",24.8℃,37.3%,30.2%,33.9%,40.6%,55.3%,45.0%,9.16,8.18,0.96,0.02,6.70,3.27,57.05,13.28,1.47,0.654,7,(14.3%),1,0,346,(72.8%),5,(40.0%),14,0,1,22,(81.8%),3,(33.3%),24,(45.8%),27,0,2,1,0,22,5,118,5.9%,40.3%
第9節,ブラウブリッツ秋田,ＦＣ東京Ｕ−２３,0,0,1,1,2019.5.19 13:00 Kick Off,晴,全面良芝,"2,351人",28.1℃,42.8%,59.8%,47.0%,53.6%,43.0%,60.0%,17.70,14.44,2.13,1.13,6.84,0.00,101.41,19.93,0.40,0.948,13,(0.0%),4,0,418,(73.2%),16,(25.0%),11,0,6,20,(80.0%),15,(33.3%),19,(52.6%),24,2,1,0,0,46,20,140,9.3%,50.7%
第10節,ブラウブリッツ秋田,福島ユナイテッドＦＣ,0,2,1,0,2019.6.2 13:00 Kick Off,晴,全面良芝,955人,24.5℃,49.7%,49.7%,60.0%,54.8%,35.7%,46.7%,16.16,12.60,1.47,2.09,4.38,0.00,80.83,13.72,0.35,0.343,8,(0.0%),2,0,471,(70.9%),21,(14.3%),15,1,6,17,(88.2%),13,(69.2%),20,(60.0%),19,1,5,0,0,34,14,126,6.3%,49.4%
第11節,カターレ富山,ブラウブリッツ秋田,1,2,0,3,2019.6.9 14:00 Kick Off,曇,全面良芝,"3,016人",23.4℃,40.2%,50.4%,56.2%,41.3%,48.8%,40.6%,12.71,8.31,3.01,1.40,6.10,5.26,86.38,22.99,0.55,1.961,11,(18.2%),5,0,408,(74.5%),15,(40.0%),17,2,3,19,(89.5%),9,(66.7%),26,(61.5%),41,4,1,2,0,23,13,125,8.8%,46.2%
第12節,アスルクラロ沼津,ブラウブリッツ秋田,1,0,0,0,2019.6.16 15:00 Kick Off,晴,良芝,"2,397人",25.8℃,52.2%,44.1%,46.0%,68.8%,56.6%,61.5%,17.14,14.40,1.08,1.66,9.34,0.00,66.30,14.08,0.47,1.309,16,(0.0%),3,0,496,(73.6%),24,(8.3%),11,1,5,35,(77.1%),11,(63.6%),11,(36.4%),24,1,1,1,0,43,12,135,11.9%,54.6%
第13節,ブラウブリッツ秋田,ロアッソ熊本,1,2,1,0,2019.6.23 15:00 Kick Off,晴,全面良芝,"1,326人",26.1℃,57.5%,54.3%,44.4%,45.1%,50.2%,55.7%,15.52,11.25,3.35,0.91,8.19,3.27,87.02,11.31,0.13,0.831,12,(8.3%),5,0,602,(81.7%),27,(25.9%),10,4,6,23,(87.0%),6,(50.0%),20,(75.0%),14,2,3,0,0,37,8,125,9.6%,51.4%
第14節,ヴァンラーレ八戸,ブラウブリッツ秋田,1,2,0,3,2019.6.30 13:00 Kick Off,曇のち雨,全面良芝,"1,833人",17.2℃,58.7%,40.6%,44.9%,57.0%,53.3%,39.6%,7.64,7.63,0.00,0.01,3.93,2.87,88.57,16.55,0.00,1.139,5,(20.0%),3,1,404,(68.3%),7,(0.0%),9,2,5,43,(90.7%),5,(20.0%),25,(60.0%),35,0,2,0,0,17,5,141,3.5%,48.6%
第15節,ブラウブリッツ秋田,藤枝ＭＹＦＣ,0,0,1,1,2019.7.7 15:00 Kick Off,晴,全面良芝,944人,29.2℃,59.0%,51.7%,70.4%,56.3%,57.3%,48.2%,13.98,11.25,1.61,1.12,2.22,0.00,65.99,13.32,0.28,1.481,10,(0.0%),1,0,597,(79.2%),21,(14.3%),7,0,3,28,(75.0%),12,(66.7%),17,(52.9%),15,1,3,2,0,41,12,113,8.8%,56.9%
第16節,Ｙ．Ｓ．Ｃ．Ｃ．横浜,ブラウブリッツ秋田,1,2,0,3,2019.7.14 17:00 Kick Off,雨一時曇,良芝,974人,22.9℃,47.4%,35.6%,35.4%,28.4%,32.7%,37.7%,8.15,6.43,0.52,1.19,4.29,7.01,61.00,16.99,0.58,1.218,10,(20.0%),3,0,232,(64.7%),11,(9.1%),18,1,2,21,(71.4%),11,(36.4%),19,(52.6%),37,2,6,1,0,25,5,124,8.1%,36.1%
第17節,ブラウブリッツ秋田,ガイナーレ鳥取,0,2,1,0,2019.7.20 18:00 Kick Off,晴,全面良芝,"1,357人",25℃,41.6%,44.2%,44.9%,64.9%,65.5%,62.2%,17.94,15.09,1.38,1.47,10.12,0.00,55.74,13.86,0.08,1.647,17,(0.0%),6,0,524,(80.5%),14,(28.6%),13,0,10,32,(100.0%),13,(61.5%),19,(52.6%),16,0,1,0,0,51,11,122,13.9%,54.2%
第18節,ブラウブリッツ秋田,いわてグルージャ盛岡,3,1,1,3,2019.7.27 18:00 Kick Off,晴,全面良芝,"1,289人",29.4℃,49.5%,55.0%,51.5%,63.0%,62.2%,43.6%,12.27,10.63,1.08,0.55,6.12,8.32,77.66,14.00,0.24,0.668,6,(50.0%),4,0,483,(71.4%),14,(14.3%),15,0,2,27,(85.2%),8,(50.0%),21,(47.6%),20,2,5,1,0,25,6,137,4.4%,53.3%
第19節,ロアッソ熊本,ブラウブリッツ秋田,0,0,0,1,2019.8.4 19:00 Kick Off,晴,全面良芝,"3,914人",32℃,46.3%,43.2%,30.1%,35.7%,35.0%,40.4%,11.13,10.11,0.50,0.52,4.55,0.00,64.44,19.38,0.62,0.979,9,(0.0%),2,0,414,(73.9%),12,(8.3%),10,0,3,17,(88.2%),5,(80.0%),14,(57.1%),20,2,3,0,0,29,5,105,8.6%,38.7%
第20節,ブラウブリッツ秋田,カターレ富山,1,1,1,1,2019.8.11 18:00 Kick Off,晴,全面良芝,"1,445人",27.7℃,35.5%,47.8%,35.1%,39.0%,37.1%,34.7%,8.27,5.75,1.56,0.96,3.76,2.51,89.49,27.94,0.28,0.808,5,(20.0%),2,0,315,(63.2%),9,(33.3%),17,0,2,17,(64.7%),9,(33.3%),26,(73.1%),55,0,1,0,0,22,7,123,4.1%,37.9%
