Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,愛媛ＦＣ,ジェフユナイテッド千葉,0,0,0,1,2019.2.24 16:00 Kick Off,晴,全面良芝,"6,212人",17.7℃,56.8%,50.5%,55.7%,47.5%,34.2%,50.5%,13.33,12.74,0.47,0.12,0.00,0.00,60.65,12.58,0.06,0.372,7,(0.0%),0,0,481,(80.9%),22,(4.5%),12,3,2,27,(74.1%),10,(10.0%),30,(60.0%),18,4,0,4,0,41,10,105,6.7%,49.6%
第2節,ジェフユナイテッド千葉,アルビレックス新潟,1,4,1,0,2019.3.3 14:00 Kick Off,雨,全面良芝,"12,441人",8.8℃,66.0%,62.0%,50.4%,73.1%,67.8%,70.1%,16.91,15.49,1.09,0.32,4.87,1.23,96.23,13.29,0.20,0.887,8,(12.5%),2,0,682,(82.1%),18,(16.7%),11,3,5,18,(100.0%),5,(20.0%),34,(70.6%),14,1,0,1,0,46,8,125,6.4%,64.6%
第3節,ジェフユナイテッド千葉,レノファ山口ＦＣ,2,5,1,0,2019.3.10 14:00 Kick Off,曇,全面良芝,"8,203人",17.9℃,66.1%,59.5%,64.9%,61.7%,59.8%,54.6%,15.68,12.44,2.21,1.03,9.45,3.95,81.49,13.53,0.12,2.418,13,(15.4%),5,0,588,(76.5%),21,(19.0%),12,5,8,42,(92.9%),16,(43.8%),18,(50.0%),16,2,2,1,1,32,10,152,8.6%,60.9%
第4節,水戸ホーリーホック,ジェフユナイテッド千葉,1,1,0,1,2019.3.17 14:00 Kick Off,曇時々晴,全面良芝,"5,341人",13.1℃,54.2%,55.2%,38.6%,55.5%,41.1%,43.8%,9.87,7.87,1.68,0.32,3.51,3.92,84.21,23.20,0.28,0.718,8,(12.5%),1,0,416,(65.1%),9,(33.3%),7,2,3,21,(81.0%),7,(14.3%),20,(50.0%),46,2,0,0,0,18,5,136,5.9%,48.7%
第5節,ジェフユナイテッド千葉,京都サンガF.C.,1,1,1,1,2019.3.24 14:00 Kick Off,晴,全面良芝,"10,309人",13.2℃,39.8%,42.9%,58.9%,37.4%,66.0%,45.6%,15.53,12.76,2.18,0.60,9.04,1.23,80.63,8.90,0.46,2.24,15,(6.7%),4,0,505,(80.8%),14,(28.6%),8,1,6,30,(96.7%),9,(44.4%),24,(58.3%),15,1,3,3,0,37,7,117,12.8%,48.8%
第6節,アビスパ福岡,ジェフユナイテッド千葉,0,1,0,3,2019.3.30 13:00 Kick Off,晴,全面良芝,"5,789人",22.4℃,43.4%,50.8%,48.1%,57.6%,61.7%,59.0%,17.68,15.58,1.14,0.97,7.20,3.29,77.51,12.30,0.10,1.289,15,(6.7%),5,0,550,(76.5%),14,(14.3%),15,2,7,24,(95.8%),7,(42.9%),20,(70.0%),16,0,3,0,0,43,11,125,12.0%,52.8%
第7節,ジェフユナイテッド千葉,ＦＣ琉球,1,0,1,3,2019.4.3 19:00 Kick Off,晴,全面良芝,"8,313人",9.5℃,45.4%,54.8%,51.0%,34.6%,50.4%,40.1%,15.27,14.40,0.57,0.31,6.76,1.23,104.95,16.31,0.47,1.503,11,(9.1%),3,0,485,(76.3%),13,(7.7%),11,4,4,16,(93.8%),7,(42.9%),26,(65.4%),19,2,4,0,0,36,10,118,9.3%,46.6%
第8節,ツエーゲン金沢,ジェフユナイテッド千葉,1,0,0,0,2019.4.7 14:00 Kick Off,曇,良芝,"3,755人",16.8℃,52.7%,62.9%,58.3%,54.4%,43.9%,56.7%,18.45,16.85,1.11,0.50,3.06,0.00,75.22,19.39,1.13,0.624,5,(0.0%),2,0,574,(77.9%),8,(25.0%),15,4,3,24,(91.7%),11,(27.3%),26,(65.4%),34,3,1,2,0,38,12,130,3.8%,55.4%
第9節,ジェフユナイテッド千葉,ファジアーノ岡山,0,0,1,1,2019.4.14 15:00 Kick Off,曇,全面良芝,"7,229人",18.2℃,51.7%,49.2%,53.1%,41.0%,39.2%,49.3%,13.08,11.34,1.62,0.12,0.00,0.00,94.74,12.46,0.15,0.306,4,(0.0%),0,0,482,(70.7%),11,(27.3%),14,2,7,28,(75.0%),3,(33.3%),35,(51.4%),19,1,3,2,0,30,8,135,3.0%,47.9%
第10節,横浜ＦＣ,ジェフユナイテッド千葉,3,1,0,0,2019.4.21 14:00 Kick Off,晴,全面良芝,"6,143人",22.6℃,57.8%,56.3%,42.1%,35.5%,51.6%,48.1%,13.99,10.11,2.60,1.28,4.66,3.51,73.21,15.56,0.73,1.309,12,(8.3%),4,0,367,(66.8%),23,(21.7%),12,4,9,18,(72.2%),12,(50.0%),18,(55.6%),22,1,2,3,0,32,15,122,9.8%,48.3%
第11節,ジェフユナイテッド千葉,大宮アルディージャ,0,0,1,1,2019.4.28 15:00 Kick Off,晴,全面良芝,"13,656人",16.6℃,57.0%,35.4%,50.8%,57.6%,46.8%,51.0%,14.71,11.84,2.03,0.84,7.32,0.00,82.64,16.36,0.29,1.099,12,(0.0%),4,0,507,(76.7%),16,(25.0%),6,4,3,24,(79.2%),9,(33.3%),22,(50.0%),26,2,2,0,0,31,11,127,9.4%,50%
第12節,ヴァンフォーレ甲府,ジェフユナイテッド千葉,1,2,0,3,2019.5.5 14:00 Kick Off,晴,全面良芝,"12,058人",27.5℃,52.1%,57.7%,59.5%,53.6%,52.4%,42.0%,13.11,11.52,1.08,0.51,2.57,6.98,69.47,13.93,0.56,0.847,7,(28.6%),2,0,470,(78.7%),13,(15.4%),7,1,3,21,(85.7%),9,(33.3%),23,(69.6%),37,0,3,1,0,29,9,112,6.3%,52.7%
第13節,モンテディオ山形,ジェフユナイテッド千葉,3,1,0,0,2019.5.12 14:00 Kick Off,晴,全面良芝,"9,709人",24.1℃,43.4%,35.2%,39.9%,35.2%,41.3%,42.5%,6.72,4.76,1.00,0.96,4.68,5.43,61.43,18.87,0.30,0.563,7,(14.3%),2,0,234,(58.5%),9,(22.2%),14,1,0,24,(70.8%),7,(71.4%),18,(72.2%),54,5,1,1,0,20,7,105,6.7%,39.9%
第14節,ジェフユナイテッド千葉,ＦＣ岐阜,5,1,1,3,2019.5.19 16:00 Kick Off,晴,全面良芝,"9,341人",22.3℃,53.9%,56.0%,63.5%,49.5%,53.7%,54.6%,17.80,15.27,1.15,1.37,12.85,15.10,105.07,14.38,0.18,1.984,23,(21.7%),9,0,546,(78.9%),21,(9.5%),11,4,9,28,(89.3%),18,(38.9%),33,(60.6%),21,5,3,2,0,48,22,141,16.3%,55.5%
第15節,東京ヴェルディ,ジェフユナイテッド千葉,1,1,0,1,2019.5.25 15:00 Kick Off,晴,全面良芝,"8,545人",28.2℃,50.1%,52.0%,38.3%,38.8%,55.4%,50.9%,19.25,13.58,4.48,1.19,11.56,1.23,72.19,9.91,1.01,2.252,19,(5.3%),7,0,503,(84.3%),21,(38.1%),4,7,3,15,(80.0%),13,(46.2%),17,(58.8%),27,2,1,0,0,47,18,97,19.6%,47.3%
第16節,ジェフユナイテッド千葉,Ｖ・ファーレン長崎,1,4,1,0,2019.6.2 16:00 Kick Off,曇,全面良芝,"8,291人",24.8℃,51.5%,68.3%,64.8%,61.5%,69.0%,71.7%,23.24,17.22,2.71,3.31,12.16,0.31,63.46,9.57,0.00,2.067,19,(5.3%),8,1,575,(83.0%),31,(16.1%),14,4,14,18,(94.4%),20,(65.0%),20,(45.0%),20,1,1,2,0,63,12,118,16.1%,65.1%
