Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,ザスパクサツ群馬,ブラウブリッツ秋田,2,2,1,1,2019.3.10 17:00 Kick Off,曇,全面良芝,"3,691人",13.5℃,46.0%,46.8%,45.0%,51.2%,34.0%,46.9%,16.77,13.01,3.06,0.70,9.64,3.79,121.63,13.60,1.01,1.978,19,(10.5%),6,0,358,(69.6%),30,(20.0%),15,2,7,24,(75.0%),10,(40.0%),28,(67.9%),19,5,0,3,0,42,16,136,14.0%,45%
第2節,ザスパクサツ群馬,ＳＣ相模原,2,1,1,3,2019.3.17 13:00 Kick Off,曇,全面良芝,"3,303人",13.2℃,51.4%,43.3%,47.3%,35.5%,54.5%,59.1%,16.38,13.58,2.20,0.59,5.53,7.74,118.19,10.17,0.28,1.351,11,(18.2%),3,0,418,(65.1%),22,(18.2%),14,5,7,31,(77.4%),14,(28.6%),17,(52.9%),7,2,1,1,0,36,14,155,7.1%,47.7%
第3節,カターレ富山,ザスパクサツ群馬,1,0,0,0,2019.3.24 14:00 Kick Off,晴,全面良芝,"2,089人",15.8℃,43.0%,38.0%,46.9%,34.9%,54.3%,63.6%,10.06,9.11,0.60,0.35,2.51,0.00,72.80,12.12,1.29,0.398,5,(0.0%),2,0,449,(72.4%),11,(9.1%),15,9,3,20,(70.0%),8,(37.5%),21,(47.6%),17,3,0,0,0,28,4,121,4.1%,48.3%
第4節,ザスパクサツ群馬,ヴァンラーレ八戸,0,1,1,0,2019.3.30 13:00 Kick Off,曇時々雨,全面良芝,"2,206人",9℃,58.3%,65.3%,46.3%,50.2%,39.8%,50.8%,16.26,11.15,3.98,1.13,16.91,0.00,100.49,14.41,0.43,2.305,22,(0.0%),9,0,469,(58.8%),32,(25.0%),16,3,10,46,(76.1%),19,(36.8%),11,(63.6%),24,0,2,0,0,39,14,166,13.3%,51.1%
第5節,Ｙ．Ｓ．Ｃ．Ｃ．横浜,ザスパクサツ群馬,0,2,0,3,2019.4.6 13:00 Kick Off,晴,全面良芝,"1,468人",23.4℃,39.6%,51.3%,45.4%,36.1%,51.3%,32.6%,13.46,8.42,3.16,1.88,6.82,5.52,88.87,15.38,0.18,1.128,15,(13.3%),3,0,365,(68.5%),20,(30.0%),17,1,4,19,(84.2%),15,(53.3%),26,(76.9%),34,1,1,1,0,30,11,126,11.9%,42.2%
第6節,セレッソ大阪Ｕ−２３,ザスパクサツ群馬,3,2,0,0,2019.4.14 14:00 Kick Off,雨,全面良芝,669人,16.3℃,39.9%,49.1%,44.5%,37.6%,45.4%,52.7%,17.84,12.65,3.68,1.51,4.64,5.50,91.81,10.64,0.58,1.597,13,(15.4%),2,0,441,(69.8%),23,(30.4%),11,3,6,24,(75.0%),11,(45.5%),21,(66.7%),21,2,1,1,0,42,12,131,9.9%,45.2%
第7節,ザスパクサツ群馬,ガンバ大阪Ｕ−２３,0,0,1,1,2019.4.26 19:00 Kick Off,曇のち雨,全面良芝,"1,875人",12.5℃,31.5%,33.3%,28.9%,42.0%,31.6%,32.1%,8.47,5.97,2.31,0.19,2.25,0.00,68.82,13.45,0.08,0.618,8,(0.0%),1,0,287,(68.3%),20,(30.0%),16,1,5,28,(71.4%),9,(22.2%),17,(58.8%),21,2,0,0,0,24,9,114,7.0%,33%
第8節,ギラヴァンツ北九州,ザスパクサツ群馬,1,0,0,0,2019.5.5 14:00 Kick Off,晴,全面良芝,"7,553人",24.9℃,43.4%,54.3%,40.2%,43.2%,67.7%,54.0%,16.75,14.32,1.39,1.04,3.99,0.00,79.76,13.68,0.14,1.383,12,(0.0%),2,0,554,(75.5%),16,(18.8%),10,2,2,30,(90.0%),12,(41.7%),21,(61.9%),21,5,2,0,0,44,15,127,9.4%,51%
第9節,藤枝ＭＹＦＣ,ザスパクサツ群馬,1,1,0,1,2019.5.18 13:00 Kick Off,曇,良芝,"1,733人",21.8℃,54.9%,54.9%,53.4%,55.8%,59.7%,42.5%,10.30,8.88,0.51,0.91,2.33,0.00,110.13,18.14,0.42,0.159,5,(0.0%),1,0,400,(65.3%),19,(5.3%),9,1,5,45,(60.0%),11,(45.5%),33,(60.6%),34,0,1,2,0,27,10,156,3.2%,52.9%
第10節,ザスパクサツ群馬,ＦＣ東京Ｕ−２３,4,1,1,3,2019.6.1 15:00 Kick Off,晴,全面良芝,"2,570人",27℃,48.5%,37.9%,52.1%,47.4%,47.9%,38.7%,18.48,13.19,4.74,0.55,10.73,11.62,111.65,16.23,0.21,2.727,17,(23.5%),8,0,454,(76.9%),20,(45.0%),6,2,4,31,(93.5%),9,(55.6%),30,(56.7%),28,2,0,1,0,39,19,130,13.1%,45.4%
第11節,ザスパクサツ群馬,ガイナーレ鳥取,5,0,1,3,2019.6.9 15:00 Kick Off,曇のち雨,全面良芝,"3,380人",19℃,52.7%,69.2%,29.2%,38.6%,46.5%,45.7%,16.49,11.52,3.16,1.81,12.61,10.29,93.43,14.52,0.59,2.7,15,(33.3%),8,1,420,(68.6%),26,(23.1%),10,2,7,34,(82.4%),16,(43.8%),24,(70.8%),24,4,1,0,0,36,13,143,10.5%,46.5%
第12節,ＡＣ長野パルセイロ,ザスパクサツ群馬,0,1,0,3,2019.6.16 17:00 Kick Off,曇,全面良芝,"3,196人",20.2℃,56.4%,29.1%,51.7%,64.7%,54.1%,56.7%,13.02,10.80,1.58,0.64,4.87,2.96,60.78,15.54,0.86,0.743,7,(14.3%),4,0,507,(71.8%),29,(10.3%),13,1,4,40,(90.0%),10,(30.0%),13,(61.5%),30,1,1,1,0,39,8,133,5.3%,51.4%
第13節,ザスパクサツ群馬,カマタマーレ讃岐,3,1,1,3,2019.6.23 19:00 Kick Off,曇時々雨,全面良芝,"2,149人",21.7℃,54.8%,52.3%,35.3%,47.1%,29.1%,46.5%,13.92,10.77,1.57,1.58,7.04,6.53,92.94,9.90,0.28,1.619,10,(30.0%),4,1,394,(66.5%),23,(13.0%),12,2,6,35,(82.9%),16,(37.5%),21,(71.4%),21,1,2,0,0,25,11,134,7.5%,44.4%
第14節,ロアッソ熊本,ザスパクサツ群馬,2,1,0,0,2019.6.30 18:00 Kick Off,雨,全面良芝,"3,085人",23.4℃,35.6%,36.6%,31.0%,52.5%,49.9%,60.5%,17.58,13.68,2.60,1.30,14.65,2.51,72.87,13.51,0.44,2.646,20,(5.0%),7,0,421,(75.8%),21,(23.8%),5,0,8,14,(85.7%),10,(50.0%),13,(69.2%),19,3,1,3,0,38,17,105,19.0%,44%
第15節,ザスパクサツ群馬,福島ユナイテッドＦＣ,2,0,1,3,2019.7.7 18:00 Kick Off,雨,全面良芝,"2,472人",21.5℃,43.9%,57.6%,57.9%,55.2%,55.9%,54.0%,16.68,13.01,2.55,1.12,12.33,5.02,102.82,12.39,0.75,1.825,18,(11.1%),6,0,482,(73.7%),19,(26.3%),16,1,4,28,(82.1%),13,(38.5%),20,(70.0%),36,3,2,1,0,38,12,145,12.4%,54%
第16節,アスルクラロ沼津,ザスパクサツ群馬,1,1,0,1,2019.7.14 15:00 Kick Off,曇,不良,"2,025人",23.6℃,60.0%,52.7%,40.1%,49.1%,56.7%,57.0%,16.84,13.89,2.07,0.89,6.14,2.72,107.77,15.91,0.19,0.835,7,(14.3%),3,0,527,(76.7%),28,(14.3%),6,2,3,26,(73.1%),10,(50.0%),26,(53.8%),24,5,0,0,0,51,10,138,5.1%,53%
第17節,いわてグルージャ盛岡,ザスパクサツ群馬,2,2,0,1,2019.7.20 15:00 Kick Off,晴,全面良芝,"1,308人",36.2℃,50.9%,49.1%,57.9%,55.4%,59.4%,65.9%,21.51,16.50,3.72,1.30,9.62,2.71,84.52,14.31,0.48,3.297,18,(11.1%),5,0,587,(76.5%),29,(24.1%),10,2,9,29,(93.1%),10,(50.0%),16,(81.3%),21,1,2,2,0,52,19,137,13.1%,56.9%
第18節,ザスパクサツ群馬,セレッソ大阪Ｕ−２３,5,1,1,3,2019.7.27 19:00 Kick Off,曇のち雨,全面良芝,"2,893人",28.6℃,40.8%,39.3%,37.2%,44.0%,39.4%,30.8%,19.46,14.05,3.64,1.77,18.35,13.47,99.63,12.43,0.00,2.715,24,(20.8%),11,0,366,(75.4%),17,(41.2%),7,2,6,28,(82.1%),8,(75.0%),31,(67.7%),13,5,0,0,0,33,21,122,19.7%,38.1%
第19節,ザスパクサツ群馬,Ｙ．Ｓ．Ｃ．Ｃ．横浜,3,2,1,3,2019.8.4 19:00 Kick Off,晴,全面良芝,"3,323人",32.1℃,41.5%,29.0%,21.9%,50.9%,30.5%,31.0%,11.17,8.38,1.59,1.19,9.77,10.70,77.26,14.73,0.08,2.426,16,(18.8%),8,0,288,(66.0%),18,(16.7%),10,1,6,16,(100.0%),5,(60.0%),24,(58.3%),15,1,3,1,0,33,19,113,14.2%,32.9%
第20節,カマタマーレ讃岐,ザスパクサツ群馬,0,1,0,3,2019.8.10 18:00 Kick Off,晴,全面良芝,"1,698人",31.9℃,49.7%,52.0%,41.4%,40.6%,36.9%,46.9%,14.60,10.61,2.58,1.41,8.09,2.51,79.25,15.56,0.21,1.398,19,(5.3%),6,0,344,(74.7%),22,(22.7%),15,2,14,20,(85.0%),9,(55.6%),17,(82.4%),34,7,2,0,0,39,11,122,15.6%,44.2%
第21節,ザスパクサツ群馬,ＡＣ長野パルセイロ,3,2,1,3,2019.8.31 19:00 Kick Off,晴のち雨,全面良芝,"5,467人",28.8℃,59.9%,45.3%,73.4%,46.3%,37.4%,52.9%,17.34,15.59,1.03,0.71,7.33,6.74,83.10,15.11,0.35,1.641,12,(25.0%),4,1,520,(76.3%),10,(20.0%),11,1,3,27,(85.2%),7,(42.9%),17,(70.6%),23,4,1,0,0,32,11,127,9.4%,54%
第22節,ＳＣ相模原,ザスパクサツ群馬,0,1,0,3,2019.9.7 17:00 Kick Off,曇時々晴,全面良芝,"3,160人",28.7℃,65.1%,48.7%,44.5%,54.6%,60.9%,37.2%,16.74,15.17,1.09,0.48,4.99,0.30,72.11,17.76,1.06,1.037,8,(12.5%),2,1,456,(71.7%),13,(15.4%),11,0,10,27,(81.5%),5,(40.0%),21,(76.2%),34,1,2,2,0,38,12,126,6.3%,51.1%
第23節,ＦＣ東京Ｕ−２３,ザスパクサツ群馬,2,4,0,3,2019.9.14 17:00 Kick Off,晴,全面良芝,"1,560人",24.3℃,43.3%,52.5%,52.0%,46.0%,61.8%,38.4%,21.45,18.53,1.51,1.41,10.35,14.86,104.00,12.78,0.25,1.388,15,(26.7%),8,0,547,(79.7%),16,(18.8%),10,1,0,24,(87.5%),10,(60.0%),28,(67.9%),26,2,2,1,0,40,15,124,12.1%,49.7%
第24節,ザスパクサツ群馬,アスルクラロ沼津,2,1,1,3,2019.9.28 15:00 Kick Off,曇,全面良芝,"4,084人",26.1℃,58.3%,69.2%,50.5%,54.1%,57.0%,35.7%,16.07,12.83,1.98,1.26,5.20,5.40,86.57,16.73,0.07,0.842,11,(18.2%),3,0,457,(72.6%),23,(17.4%),17,0,5,33,(84.8%),13,(46.2%),28,(67.9%),33,3,1,2,0,46,14,132,8.3%,54.2%
第25節,ザスパクサツ群馬,藤枝ＭＹＦＣ,2,2,1,1,2019.10.5 14:00 Kick Off,晴,全面良芝,"4,579人",30.4℃,53.2%,75.7%,53.3%,62.9%,52.6%,56.4%,16.21,13.35,1.60,1.26,4.68,5.40,85.46,13.01,0.46,1.267,12,(16.7%),3,0,542,(77.9%),12,(25.0%),24,1,3,15,(86.7%),10,(50.0%),18,(66.7%),16,5,0,1,0,43,7,121,9.9%,59.2%
第26節,ブラウブリッツ秋田,ザスパクサツ群馬,2,2,0,1,2019.10.12 13:00 Kick Off,雨,全面良芝,736人,16.5℃,39.4%,60.8%,51.5%,36.3%,48.6%,36.7%,16.87,14.40,1.47,1.00,9.52,9.38,83.85,20.85,0.23,0.999,14,(14.3%),3,0,426,(70.0%),14,(21.4%),9,2,7,25,(80.0%),13,(38.5%),22,(59.1%),27,3,1,0,0,35,16,133,10.5%,45.3%
第27節,ガイナーレ鳥取,ザスパクサツ群馬,1,0,0,0,2019.10.20 13:00 Kick Off,晴,全面良芝,"3,011人",23.9℃,47.2%,46.0%,55.7%,52.9%,61.5%,58.3%,20.10,17.20,1.60,1.30,6.16,0.00,109.82,18.96,0.33,0.799,13,(0.0%),3,0,627,(75.0%),19,(15.8%),12,3,1,41,(92.7%),11,(45.5%),12,(66.7%),34,6,3,2,0,52,13,171,7.6%,53.4%
第28節,ザスパクサツ群馬,カターレ富山,0,0,1,1,2019.10.27 14:00 Kick Off,晴一時雨,全面良芝,"4,409人",18.5℃,43.8%,36.4%,41.9%,29.9%,40.7%,23.6%,12.02,8.27,2.50,1.25,4.59,0.00,90.00,23.55,0.23,0.95,11,(0.0%),3,0,291,(60.1%),23,(21.7%),5,0,7,26,(61.5%),14,(28.6%),20,(70.0%),39,1,1,1,0,26,13,125,8.8%,36%
第29節,ザスパクサツ群馬,ロアッソ熊本,3,1,1,3,2019.11.4 18:00 Kick Off,晴,全面良芝,"3,977人",13.3℃,37.2%,42.5%,26.1%,28.8%,52.9%,53.0%,16.78,12.40,2.99,1.39,8.27,10.25,90.01,18.17,0.25,0.825,14,(21.4%),6,0,418,(75.8%),16,(37.5%),10,4,3,23,(78.3%),6,(66.7%),17,(76.5%),20,1,3,0,0,41,10,123,11.4%,40.2%
