Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,カマタマーレ讃岐,いわてグルージャ盛岡,1,0,0,0,2019.3.10 13:00 Kick Off,雨,全面良芝,"2,342人",11.5℃,44.2%,43.9%,56.2%,51.3%,51.9%,52.4%,13.00,9.65,2.41,0.94,10.26,0.00,68.96,16.08,1.25,0.977,14,(0.0%),5,0,425,(67.5%),20,(25.0%),19,4,9,28,(64.3%),7,(71.4%),17,(58.8%),25,0,1,1,0,29,10,138,10.1%,49.8%
第2節,ＦＣ東京Ｕ−２３,いわてグルージャ盛岡,0,1,0,3,2019.3.16 14:00 Kick Off,曇,全面良芝,"1,049人",15.9℃,37.6%,41.6%,35.2%,46.0%,38.4%,34.7%,8.39,6.09,1.79,0.51,5.80,2.51,72.91,15.56,0.48,1.092,10,(10.0%),1,0,330,(68.2%),9,(33.3%),17,2,6,21,(76.2%),10,(30.0%),24,(66.7%),36,0,2,1,0,18,5,132,7.6%,39%
第3節,いわてグルージャ盛岡,ブラウブリッツ秋田,3,1,1,3,2019.3.24 13:00 Kick Off,曇時々雪,良芝,"2,084人",5.6℃,49.9%,49.4%,48.2%,57.2%,36.0%,56.3%,11.91,9.05,1.47,1.39,10.55,5.15,110.96,13.76,0.14,2.236,13,(23.1%),6,0,340,(69.1%),10,(30.0%),14,2,3,20,(75.0%),12,(41.7%),32,(68.8%),33,6,1,1,0,31,11,139,9.4%,50.1%
第4節,いわてグルージャ盛岡,ロアッソ熊本,0,1,1,0,2019.3.31 13:00 Kick Off,雪,良芝,708人,1.5℃,47.1%,47.3%,46.7%,49.5%,47.2%,48.7%,13.30,7.07,4.01,2.22,10.58,0.00,101.52,21.28,0.74,1.636,20,(0.0%),7,0,348,(51.1%),32,(25.0%),16,0,5,38,(65.8%),11,(72.7%),25,(60.0%),38,1,3,0,0,27,12,162,12.3%,47.8%
第5節,ＡＣ長野パルセイロ,いわてグルージャ盛岡,1,2,0,3,2019.4.6 14:00 Kick Off,晴,全面良芝,"2,554人",13.4℃,42.9%,47.6%,45.8%,34.1%,44.1%,43.2%,6.74,5.15,1.12,0.48,3.17,4.08,94.91,27.07,0.21,0.903,6,(33.3%),3,0,271,(49.4%),5,(40.0%),17,4,2,19,(78.9%),6,(33.3%),32,(62.5%),53,3,0,0,0,15,5,147,4.1%,42.8%
第6節,いわてグルージャ盛岡,カターレ富山,1,2,1,0,2019.4.14 13:00 Kick Off,晴,全面良芝,727人,18.1℃,38.0%,34.4%,40.9%,44.8%,43.1%,42.6%,6.06,4.96,0.44,0.66,5.07,0.30,73.95,19.25,0.33,1.264,8,(12.5%),3,1,304,(60.9%),7,(28.6%),13,6,4,29,(75.9%),7,(28.6%),26,(57.7%),22,2,1,2,0,14,5,139,5.8%,40.5%
第7節,ガイナーレ鳥取,いわてグルージャ盛岡,1,1,0,1,2019.4.28 13:00 Kick Off,晴,全面良芝,"2,005人",18.3℃,43.1%,38.5%,60.4%,48.5%,57.2%,61.4%,19.88,12.38,5.20,2.30,10.70,2.54,96.77,15.65,0.15,2.004,21,(4.8%),5,0,427,(70.3%),22,(45.5%),10,4,3,31,(77.4%),16,(56.3%),17,(70.6%),34,1,2,1,0,42,16,140,15.0%,51.3%
第8節,いわてグルージャ盛岡,Ｙ．Ｓ．Ｃ．Ｃ．横浜,2,1,1,3,2019.5.4 13:00 Kick Off,晴,全面良芝,"1,513人",27℃,40.8%,42.2%,48.5%,37.4%,46.2%,46.7%,12.35,10.49,1.12,0.74,9.47,3.89,81.15,15.74,0.24,1.607,16,(12.5%),7,0,403,(65.5%),18,(11.1%),11,5,11,29,(82.8%),14,(35.7%),15,(73.3%),21,2,2,1,0,33,11,139,11.5%,43.9%
第9節,いわてグルージャ盛岡,セレッソ大阪Ｕ−２３,1,3,1,0,2019.5.19 13:00 Kick Off,晴,全面良芝,"1,382人",24.8℃,59.0%,55.2%,45.6%,47.6%,60.2%,58.3%,15.03,11.07,2.65,1.32,3.26,2.87,84.15,15.10,0.46,1.022,11,(9.1%),1,0,512,(74.6%),16,(31.3%),14,4,7,22,(90.9%),8,(75.0%),33,(69.7%),38,1,0,1,0,33,8,137,8.0%,55.2%
第10節,ＳＣ相模原,いわてグルージャ盛岡,1,0,0,0,2019.6.1 17:00 Kick Off,晴,全面良芝,"2,230人",21.2℃,34.4%,46.2%,57.6%,38.0%,46.0%,50.6%,8.32,7.12,1.12,0.08,2.22,0.00,73.00,20.34,0.21,0.793,4,(0.0%),0,0,342,(61.1%),7,(28.6%),17,6,4,22,(77.3%),3,(33.3%),15,(46.7%),35,4,2,2,0,18,5,135,3.0%,45.6%
