Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,栃木ＳＣ,ツエーゲン金沢,0,0,0,1,2019.2.24 14:00 Kick Off,晴,全面良芝,"5,863人",11℃,46.0%,57.7%,49.2%,56.3%,52.1%,48.4%,13.74,10.15,1.55,2.05,10.72,0.00,107.66,16.67,0.00,2.191,17,(0.0%),5,0,423,(61.9%),32,(9.4%),7,1,8,42,(85.7%),18,(50.0%),18,(77.8%),35,3,0,2,0,31,13,137,12.4%,51.5%
第2節,ファジアーノ岡山,ツエーゲン金沢,2,1,0,0,2019.3.3 14:00 Kick Off,雨,全面良芝,"5,298人",11.3℃,32.8%,36.1%,45.2%,69.3%,41.4%,58.7%,13.60,12.17,0.54,0.88,7.65,2.62,110.11,13.52,0.03,1.124,10,(10.0%),4,0,450,(70.0%),17,(5.9%),14,3,7,33,(84.8%),17,(41.2%),22,(90.9%),27,2,1,2,0,42,9,145,6.9%,48%
第3節,東京ヴェルディ,ツエーゲン金沢,2,1,0,0,2019.3.9 14:00 Kick Off,晴,全面良芝,"5,798人",16.1℃,39.5%,42.3%,58.0%,50.1%,69.7%,59.7%,19.39,14.98,3.03,1.38,10.55,3.18,113.95,11.93,0.42,1.793,19,(5.3%),4,0,555,(78.2%),25,(24.0%),8,0,4,27,(74.1%),14,(35.7%),24,(37.5%),20,3,0,0,0,51,16,134,14.2%,53.4%
第4節,ツエーゲン金沢,ＦＣ町田ゼルビア,6,1,1,3,2019.3.17 14:00 Kick Off,曇,全面良芝,"3,709人",9.8℃,45.2%,43.0%,60.6%,43.3%,49.8%,54.7%,11.54,9.29,1.70,0.55,13.58,14.88,79.18,18.85,0.20,3.08,16,(37.5%),7,1,351,(57.8%),19,(15.8%),9,2,8,31,(74.2%),10,(30.0%),23,(56.5%),36,1,0,1,0,28,11,143,11.2%,50.4%
第5節,ヴァンフォーレ甲府,ツエーゲン金沢,1,1,0,1,2019.3.23 14:00 Kick Off,曇,全面良芝,"7,141人",12.5℃,48.9%,55.6%,43.0%,38.5%,36.4%,34.4%,11.85,9.97,0.98,0.90,4.36,1.30,101.07,16.82,0.28,0.846,9,(11.1%),3,0,368,(72.6%),10,(20.0%),13,1,4,23,(82.6%),5,(40.0%),21,(61.9%),24,5,3,2,1,27,9,131,6.9%,42.7%
第6節,ツエーゲン金沢,横浜ＦＣ,1,0,1,3,2019.3.30 14:00 Kick Off,雨,全面良芝,"2,543人",13.3℃,58.1%,57.8%,62.6%,53.1%,49.4%,53.3%,15.55,12.34,2.51,0.69,10.49,4.12,111.26,13.37,0.33,1.849,18,(5.6%),5,0,484,(71.3%),25,(20.0%),17,1,7,36,(77.8%),10,(40.0%),22,(50.0%),17,3,4,2,0,46,9,155,11.6%,56.1%
第7節,鹿児島ユナイテッドＦＣ,ツエーゲン金沢,0,3,0,3,2019.4.3 19:00 Kick Off,晴,全面良芝,"4,079人",14.6℃,52.6%,51.6%,60.5%,47.5%,43.4%,36.1%,22.16,14.59,4.12,3.45,11.40,9.33,118.91,12.42,0.30,2.374,22,(13.6%),6,0,455,(74.1%),20,(40.0%),13,0,7,33,(90.9%),14,(64.3%),41,(53.7%),15,6,1,0,0,36,21,146,15.1%,48.2%
第8節,ツエーゲン金沢,ジェフユナイテッド千葉,1,0,1,3,2019.4.7 14:00 Kick Off,曇,良芝,"3,755人",16.8℃,47.3%,37.1%,41.7%,45.6%,56.1%,43.3%,17.52,14.75,1.02,1.75,12.43,2.64,107.95,14.08,0.84,1.98,15,(6.7%),9,0,427,(73.8%),24,(8.3%),9,2,4,22,(86.4%),13,(61.5%),27,(59.3%),25,6,4,2,0,54,15,124,12.1%,44.6%
第9節,京都サンガF.C.,ツエーゲン金沢,2,1,0,0,2019.4.14 14:00 Kick Off,雨,全面良芝,"3,385人",14.6℃,37.8%,35.2%,35.3%,44.4%,32.0%,45.9%,10.17,8.25,1.61,0.31,6.13,3.18,99.40,17.36,0.45,1.554,13,(7.7%),3,0,338,(72.2%),17,(17.6%),13,3,2,18,(83.3%),7,(42.9%),20,(70.0%),34,0,1,1,0,27,12,116,11.2%,38.3%
第10節,ツエーゲン金沢,柏レイソル,0,0,1,1,2019.4.21 14:00 Kick Off,曇,良芝,"7,685人",19.5℃,50.1%,36.1%,48.9%,31.4%,50.5%,48.5%,11.67,8.60,2.11,0.96,12.05,0.00,84.25,18.17,1.58,1.908,16,(0.0%),8,0,318,(56.3%),13,(30.8%),14,3,4,29,(69.0%),5,(60.0%),16,(56.3%),25,3,3,3,0,24,13,147,10.9%,45%
