Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,大宮アルディージャ,ヴァンフォーレ甲府,0,0,0,1,2019.2.24 14:00 Kick Off,晴,全面良芝,"12,090人",13.1℃,46.0%,38.5%,48.1%,46.3%,50.3%,57.2%,15.45,11.52,1.62,2.32,4.94,0.00,100.07,14.23,0.92,1.207,13,(0.0%),4,0,435,(76.6%),16,(18.8%),12,3,2,28,(89.3%),22,(36.4%),26,(65.4%),20,1,5,2,0,38,11,135,9.6%,47.6%
第2節,レノファ山口ＦＣ,ヴァンフォーレ甲府,2,5,0,3,2019.3.2 13:00 Kick Off,晴,全面良芝,"4,001人",12.9℃,44.2%,21.8%,41.9%,36.8%,37.8%,36.8%,12.74,8.81,1.18,2.75,9.86,13.64,95.51,18.86,0.21,2.126,14,(35.7%),7,0,353,(70.0%),9,(22.2%),7,4,5,32,(84.4%),10,(70.0%),26,(57.7%),26,5,0,1,0,23,11,131,10.7%,36.5%
第3節,鹿児島ユナイテッドＦＣ,ヴァンフォーレ甲府,0,1,0,3,2019.3.9 14:00 Kick Off,曇,全面良芝,"4,315人",18.7℃,45.9%,34.5%,37.3%,44.4%,49.2%,34.0%,13.31,9.59,2.12,1.60,7.56,2.61,86.77,19.07,0.20,2.395,13,(7.7%),5,1,326,(74.2%),11,(36.4%),17,1,3,21,(76.2%),17,(35.3%),20,(85.0%),33,8,3,3,0,35,17,122,10.7%,41.2%
第4節,ヴァンフォーレ甲府,Ｖ・ファーレン長崎,2,0,1,3,2019.3.17 14:00 Kick Off,曇,全面良芝,"15,665人",13.2℃,51.4%,39.6%,29.1%,37.6%,49.2%,47.5%,14.06,12.08,0.54,1.44,16.55,5.28,84.42,18.90,0.02,2.638,21,(9.5%),12,1,403,(77.2%),8,(12.5%),10,3,11,15,(100.0%),14,(42.9%),24,(66.7%),33,5,0,0,0,42,9,116,18.1%,43.1%
第5節,ヴァンフォーレ甲府,ツエーゲン金沢,1,1,1,1,2019.3.23 14:00 Kick Off,曇,全面良芝,"7,141人",12.5℃,51.1%,44.4%,57.0%,61.5%,63.6%,65.6%,20.16,16.45,2.79,0.92,6.11,1.23,87.99,14.17,0.26,1.385,12,(8.3%),3,0,574,(79.4%),17,(29.4%),10,5,8,29,(89.7%),20,(30.0%),21,(66.7%),20,2,1,1,0,38,17,141,8.5%,57.3%
第6節,ファジアーノ岡山,ヴァンフォーレ甲府,1,1,0,1,2019.3.30 14:00 Kick Off,晴,全面良芝,"7,298人",16.6℃,51.7%,41.6%,44.2%,50.6%,51.5%,63.1%,18.21,15.35,1.54,1.32,10.46,0.31,58.77,14.89,0.48,2.13,14,(7.1%),5,1,425,(73.9%),15,(20.0%),15,8,7,22,(77.3%),9,(55.6%),31,(64.5%),27,0,0,2,0,34,11,129,10.9%,50.3%
第7節,ヴァンフォーレ甲府,ＦＣ岐阜,2,0,1,3,2019.4.3 19:30 Kick Off,晴,全面良芝,"5,969人",9.2℃,46.3%,54.1%,39.4%,28.8%,55.5%,38.8%,10.63,9.56,0.51,0.56,7.63,5.62,104.77,15.34,0.02,1.169,12,(16.7%),6,0,375,(69.6%),8,(12.5%),10,1,6,38,(76.3%),6,(50.0%),24,(70.8%),31,0,0,0,0,30,7,142,8.5%,43.4%
第8節,ＦＣ町田ゼルビア,ヴァンフォーレ甲府,1,1,0,1,2019.4.7 15:00 Kick Off,晴,全面良芝,"5,171人",21.4℃,48.3%,57.4%,51.0%,57.4%,55.5%,54.8%,12.00,9.67,1.04,1.28,8.50,2.61,81.98,16.51,0.19,1.232,14,(7.1%),4,0,400,(63.3%),19,(10.5%),12,2,4,46,(71.7%),25,(36.0%),39,(66.7%),43,1,1,0,0,31,11,161,8.7%,54.3%
第9節,ヴァンフォーレ甲府,水戸ホーリーホック,1,2,1,0,2019.4.14 14:00 Kick Off,曇,全面良芝,"7,912人",20.4℃,50.4%,51.1%,45.4%,46.9%,38.4%,45.9%,12.48,11.59,0.57,0.31,4.23,1.30,105.89,12.75,0.14,1.393,8,(12.5%),4,0,433,(72.1%),6,(16.7%),14,2,4,23,(73.9%),6,(33.3%),22,(81.8%),14,1,1,1,0,32,10,139,5.8%,47%
第10節,ヴァンフォーレ甲府,京都サンガF.C.,1,0,1,3,2019.4.20 14:00 Kick Off,晴,全面良芝,"8,162人",22.8℃,39.6%,55.9%,46.5%,50.8%,45.9%,29.6%,16.46,14.00,1.61,0.85,9.88,3.01,90.41,10.94,0.19,2.496,15,(6.7%),5,1,461,(81.6%),15,(20.0%),10,1,4,16,(81.3%),11,(36.4%),17,(58.8%),17,4,1,1,0,47,10,110,13.6%,44%
