Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,ロアッソ熊本,ＡＣ長野パルセイロ,2,2,1,1,2019.3.10 13:00 Kick Off,雨,全面良芝,"6,478人",14.9℃,43.5%,61.0%,72.2%,49.6%,60.9%,64.7%,15.26,12.83,1.96,0.47,8.28,3.17,75.80,16.80,0.04,2.554,20,(10.0%),3,1,518,(73.6%),17,(23.5%),15,2,6,30,(83.3%),12,(50.0%),22,(63.6%),28,3,1,1,0,36,13,137,14.6%,60.2%
第2節,藤枝ＭＹＦＣ,ロアッソ熊本,1,0,0,0,2019.3.16 13:00 Kick Off,曇のち晴,全面良芝,"1,470人",15.9℃,46.5%,58.3%,63.7%,54.4%,60.5%,70.6%,13.70,10.62,2.14,0.93,3.49,0.00,76.55,17.18,0.13,0.816,10,(0.0%),2,0,481,(73.2%),15,(26.7%),12,2,2,41,(80.5%),5,(100.0%),20,(60.0%),33,1,2,1,0,34,8,137,7.3%,59.6%
第3節,ロアッソ熊本,カマタマーレ讃岐,0,0,1,1,2019.3.24 13:00 Kick Off,晴,全面良芝,"4,340人",14.8℃,43.3%,49.9%,64.0%,43.6%,39.7%,50.5%,12.31,10.31,1.50,0.50,5.93,0.00,78.04,19.92,0.47,0.794,12,(0.0%),4,0,412,(72.8%),14,(21.4%),11,3,4,30,(80.0%),12,(25.0%),17,(70.6%),34,3,3,0,0,31,8,129,9.3%,49.7%
第4節,いわてグルージャ盛岡,ロアッソ熊本,0,1,0,3,2019.3.31 13:00 Kick Off,雪,良芝,708人,1.5℃,52.9%,52.7%,53.3%,50.5%,52.8%,51.3%,11.79,10.26,1.54,0.00,8.88,1.36,86.12,22.24,1.41,1.753,17,(5.9%),6,0,392,(59.9%),19,(15.8%),12,3,11,31,(87.1%),7,(0.0%),23,(56.5%),53,0,0,1,0,31,12,164,10.4%,52.2%
第5節,ロアッソ熊本,ＳＣ相模原,2,3,1,0,2019.4.7 13:00 Kick Off,晴,全面良芝,"8,226人",24℃,43.7%,29.7%,41.4%,34.2%,47.0%,65.4%,12.18,9.08,2.01,1.09,8.94,4.12,88.57,16.47,0.36,1.316,11,(18.2%),4,0,410,(74.4%),10,(40.0%),9,3,4,25,(84.0%),9,(33.3%),22,(68.2%),27,2,2,0,0,33,9,129,8.5%,44.7%
第6節,ガンバ大阪Ｕ−２３,ロアッソ熊本,1,2,0,3,2019.4.13 14:00 Kick Off,晴のち曇,全面良芝,958人,18.1℃,46.2%,39.4%,62.1%,53.8%,46.9%,50.4%,17.12,13.39,3.07,0.66,5.18,3.17,99.81,12.95,1.02,2.657,13,(15.4%),4,2,553,(81.6%),21,(33.3%),13,2,2,25,(88.0%),7,(42.9%),25,(76.0%),25,2,0,0,0,45,11,127,10.2%,50.1%
第7節,アスルクラロ沼津,ロアッソ熊本,0,2,0,3,2019.4.28 13:00 Kick Off,晴,全面良芝,"3,327人",17.7℃,50.0%,44.0%,50.0%,46.9%,52.8%,48.5%,11.60,9.66,1.06,0.88,4.56,6.93,84.74,20.86,0.44,0.87,9,(22.2%),4,0,420,(74.0%),12,(16.7%),12,1,1,28,(60.7%),4,(50.0%),18,(44.4%),45,4,0,1,0,26,12,126,7.1%,48.8%
第8節,ロアッソ熊本,ヴァンラーレ八戸,1,0,1,3,2019.5.5 15:00 Kick Off,晴,全面良芝,"5,023人",28℃,53.6%,67.5%,62.3%,49.0%,51.6%,45.0%,16.52,13.20,2.69,0.63,10.47,2.54,72.68,12.33,0.12,1.376,15,(6.7%),4,0,525,(82.7%),13,(38.5%),17,1,5,27,(96.3%),5,(40.0%),17,(52.9%),15,2,3,0,0,37,14,117,12.8%,55.4%
第9節,ロアッソ熊本,ガイナーレ鳥取,3,2,1,3,2019.5.19 19:00 Kick Off,曇,全面良芝,"3,384人",24.3℃,66.7%,44.0%,69.1%,66.5%,59.3%,56.6%,22.09,16.38,3.07,2.65,13.96,10.40,108.97,19.93,0.25,1.999,19,(15.8%),7,0,614,(81.4%),19,(31.6%),6,0,5,24,(91.7%),13,(53.8%),22,(72.7%),40,2,2,1,0,50,14,133,14.3%,60.5%
第10節,ギラヴァンツ北九州,ロアッソ熊本,1,2,0,3,2019.6.2 16:00 Kick Off,曇,全面良芝,"7,474人",22.9℃,70.1%,51.9%,36.8%,49.0%,51.5%,33.1%,8.66,6.78,0.54,1.34,1.11,3.47,79.55,27.11,1.74,0.514,5,(20.0%),1,0,390,(73.8%),8,(12.5%),9,1,2,25,(68.0%),11,(36.4%),19,(63.2%),60,5,0,1,0,23,3,124,4.0%,48%
