Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,ＦＣ町田ゼルビア,東京ヴェルディ,1,0,1,3,2019.2.24 14:00 Kick Off,晴,全面良芝,"8,814人",11.4℃,59.0%,53.3%,44.7%,52.5%,45.0%,46.3%,8.67,6.02,1.57,1.08,3.58,3.92,94.61,15.13,0.00,1.018,8,(12.5%),3,0,327,(52.6%),20,(15.0%),9,6,7,43,(72.1%),19,(31.6%),18,(55.6%),34,2,6,0,0,26,10,163,4.9%,49.3%
第2節,柏レイソル,ＦＣ町田ゼルビア,1,0,0,0,2019.3.2 15:00 Kick Off,晴,全面良芝,"10,134人",16.8℃,45.2%,41.6%,47.2%,37.8%,42.4%,41.7%,11.54,7.96,2.38,1.20,6.71,0.00,45.55,16.00,0.39,2.125,15,(0.0%),3,0,270,(52.2%),20,(20.0%),10,4,11,35,(71.4%),12,(41.7%),21,(52.4%),28,2,1,3,0,21,11,133,11.3%,42.4%
第3節,ＦＣ町田ゼルビア,モンテディオ山形,0,3,1,0,2019.3.10 14:00 Kick Off,曇,全面良芝,"4,172人",17.9℃,48.0%,40.4%,50.7%,57.4%,46.3%,58.0%,10.42,7.21,1.62,1.59,2.50,0.00,66.34,16.53,0.26,0.505,8,(0.0%),1,0,311,(55.0%),12,(25.0%),12,1,4,63,(74.6%),9,(66.7%),28,(57.1%),38,0,2,3,0,20,8,156,5.1%,51%
第4節,ツエーゲン金沢,ＦＣ町田ゼルビア,6,1,0,0,2019.3.17 14:00 Kick Off,曇,全面良芝,"3,709人",9.8℃,54.8%,57.0%,39.4%,56.7%,50.2%,45.3%,9.92,8.18,1.01,0.73,4.61,3.44,89.71,18.51,0.80,0.864,12,(8.3%),3,0,337,(51.6%),13,(15.4%),17,0,9,39,(69.2%),9,(33.3%),15,(73.3%),25,2,1,0,1,18,12,155,7.7%,49.6%
第5節,鹿児島ユナイテッドＦＣ,ＦＣ町田ゼルビア,0,1,0,3,2019.3.24 13:00 Kick Off,晴,全面良芝,"7,192人",19.4℃,36.2%,33.4%,22.6%,42.4%,31.5%,37.2%,8.53,5.23,1.05,2.25,6.05,0.31,83.61,18.73,0.04,1.618,11,(9.1%),5,1,172,(48.8%),8,(25.0%),12,4,4,34,(61.8%),12,(66.7%),38,(71.1%),29,1,1,4,0,18,10,126,8.7%,33.8%
第6節,ＦＣ町田ゼルビア,愛媛ＦＣ,1,0,1,3,2019.3.30 14:00 Kick Off,曇,全面良芝,"3,317人",12.3℃,46.1%,35.1%,33.1%,43.8%,44.6%,40.0%,14.47,10.42,1.64,2.41,6.39,2.61,89.89,13.06,0.00,1.489,17,(5.9%),3,0,289,(58.1%),20,(15.0%),6,3,7,39,(76.9%),14,(42.9%),27,(66.7%),19,4,4,0,0,28,14,135,12.6%,40.5%
第7節,アルビレックス新潟,ＦＣ町田ゼルビア,1,0,0,0,2019.4.3 19:00 Kick Off,曇,全面良芝,"8,777人",8.9℃,48.4%,53.2%,53.1%,51.6%,48.8%,52.3%,9.87,8.74,0.00,1.13,9.44,0.00,95.06,14.50,0.50,0.795,13,(0.0%),4,0,314,(53.8%),10,(0.0%),15,10,8,38,(68.4%),13,(46.2%),18,(61.1%),20,3,0,1,0,22,13,155,8.4%,51.5%
第8節,ＦＣ町田ゼルビア,ヴァンフォーレ甲府,1,1,1,1,2019.4.7 15:00 Kick Off,晴,全面良芝,"5,171人",21.4℃,51.7%,42.6%,49.0%,42.6%,44.5%,45.2%,11.58,9.26,0.49,1.83,4.80,3.37,92.37,22.12,0.41,0.625,12,(8.3%),3,0,298,(57.0%),10,(10.0%),12,1,4,41,(73.2%),18,(33.3%),30,(70.0%),47,1,2,1,0,34,15,147,8.2%,45.7%
第9節,アビスパ福岡,ＦＣ町田ゼルビア,0,2,0,3,2019.4.13 14:00 Kick Off,晴のち曇,全面良芝,"5,042人",19.5℃,45.3%,42.7%,30.8%,44.5%,33.0%,36.9%,9.99,8.14,1.65,0.19,5.30,4.74,86.73,13.67,0.41,1.295,11,(18.2%),3,0,255,(59.6%),13,(23.1%),16,2,3,27,(77.8%),3,(66.7%),18,(61.1%),37,0,5,1,0,28,7,121,9.1%,38.8%
第10節,ＦＣ町田ゼルビア,大宮アルディージャ,0,1,1,0,2019.4.21 15:00 Kick Off,晴,全面良芝,"5,285人",22.6℃,58.7%,50.0%,54.4%,42.8%,51.2%,59.4%,8.93,8.30,0.51,0.12,4.48,0.00,65.16,12.91,0.29,1.097,8,(0.0%),3,0,306,(58.5%),25,(4.0%),13,5,7,47,(68.1%),11,(9.1%),12,(66.7%),18,0,1,1,0,27,6,142,5.6%,53.2%
第11節,ＦＣ琉球,ＦＣ町田ゼルビア,1,1,0,1,2019.4.27 19:30 Kick Off,晴,全面良芝,"4,855人",22℃,42.7%,44.6%,54.9%,49.4%,54.5%,44.8%,15.92,9.88,3.94,2.10,6.08,3.01,67.09,11.70,0.10,1.934,20,(5.0%),4,0,308,(58.4%),30,(23.3%),10,8,18,39,(79.5%),24,(33.3%),20,(55.0%),19,3,2,1,0,32,15,152,13.2%,47.9%
第12節,ＦＣ町田ゼルビア,水戸ホーリーホック,0,2,1,0,2019.5.5 15:00 Kick Off,晴,全面良芝,"5,506人",22.3℃,48.9%,49.9%,35.9%,51.3%,42.9%,54.7%,12.36,8.89,2.07,1.40,3.66,0.00,93.07,16.66,0.13,1.256,14,(0.0%),1,0,334,(54.2%),18,(22.2%),6,3,3,42,(76.2%),10,(60.0%),21,(57.1%),26,0,0,0,0,26,13,144,9.7%,47.3%
第13節,横浜ＦＣ,ＦＣ町田ゼルビア,1,1,0,1,2019.5.12 14:00 Kick Off,曇のち晴,全面良芝,"5,581人",23℃,48.1%,37.9%,43.6%,39.4%,43.7%,49.4%,12.57,8.87,2.71,0.99,16.87,3.01,101.22,24.20,0.55,1.701,17,(5.9%),8,0,303,(61.1%),12,(41.7%),15,5,4,25,(68.0%),7,(71.4%),34,(61.8%),36,2,1,3,0,31,14,143,11.9%,43.6%
第14節,ＦＣ町田ゼルビア,京都サンガF.C.,2,2,1,1,2019.5.19 16:00 Kick Off,曇,全面良芝,"3,625人",21.8℃,40.2%,23.9%,34.5%,40.1%,35.0%,35.4%,10.41,8.30,1.52,0.59,7.91,5.86,117.38,11.05,0.08,0.829,9,(22.2%),5,0,277,(68.2%),18,(16.7%),11,5,3,28,(64.3%),13,(38.5%),30,(76.7%),18,4,6,1,0,32,6,132,6.8%,34.8%
