Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,ファジアーノ岡山,水戸ホーリーホック,0,1,0,3,2019.2.24 14:00 Kick Off,晴,全面良芝,"9,256人",13.1℃,36.8%,39.8%,39.9%,52.7%,43.3%,43.8%,10.90,9.18,0.61,1.10,4.28,2.90,75.74,19.72,0.76,0.818,10,(10.0%),3,0,364,(65.4%),3,(33.3%),13,1,2,21,(90.5%),13,(30.8%),25,(68.0%),25,2,1,0,0,27,6,122,8.2%,42.5%
第2節,水戸ホーリーホック,栃木ＳＣ,3,0,1,3,2019.3.3 14:00 Kick Off,雨,全面良芝,"5,939人",9.1℃,41.7%,55.2%,50.3%,53.9%,45.5%,49.1%,16.62,11.92,2.69,2.01,11.13,8.98,112.87,16.66,0.15,2.186,21,(14.3%),5,0,421,(72.4%),18,(27.8%),15,0,7,23,(87.0%),21,(33.3%),25,(60.0%),21,2,2,1,0,38,18,131,16.0%,49.4%
第3節,Ｖ・ファーレン長崎,水戸ホーリーホック,0,1,0,3,2019.3.9 14:00 Kick Off,曇,全面良芝,"6,744人",17.1℃,55.6%,47.5%,48.1%,44.9%,32.2%,41.8%,15.58,10.72,3.63,1.23,7.21,2.61,98.75,13.26,0.33,1.147,13,(7.7%),3,0,428,(78.5%),20,(35.0%),12,2,9,18,(88.9%),16,(25.0%),19,(84.2%),19,4,0,4,0,35,13,118,11.0%,45.2%
第4節,水戸ホーリーホック,ジェフユナイテッド千葉,1,1,1,1,2019.3.17 14:00 Kick Off,曇時々晴,全面良芝,"5,341人",13.1℃,45.8%,44.8%,61.4%,44.5%,58.9%,56.2%,14.08,12.71,0.00,1.37,11.87,3.92,109.15,11.27,0.00,1.187,17,(5.9%),6,0,454,(66.3%),20,(0.0%),15,0,6,52,(78.8%),13,(46.2%),23,(78.3%),20,2,2,2,0,32,6,158,10.8%,51.3%
第5節,大宮アルディージャ,水戸ホーリーホック,1,1,0,1,2019.3.23 14:00 Kick Off,曇,全面良芝,"8,423人",10.7℃,42.9%,49.2%,47.7%,41.7%,57.6%,37.9%,13.56,11.17,1.69,0.70,3.82,2.64,100.82,22.27,0.23,1.044,13,(7.7%),2,0,433,(72.1%),10,(30.0%),15,3,1,24,(87.5%),5,(40.0%),14,(78.6%),33,2,1,3,0,26,10,141,9.2%,45.9%
第6節,水戸ホーリーホック,鹿児島ユナイテッドＦＣ,1,0,1,3,2019.3.30 15:00 Kick Off,曇,全面良芝,"3,886人",9.2℃,42.6%,54.5%,41.8%,55.4%,49.1%,35.4%,18.08,14.52,2.18,1.38,11.14,1.30,96.96,13.07,0.41,2.859,19,(5.3%),7,0,403,(73.9%),15,(26.7%),17,4,5,27,(66.7%),14,(42.9%),25,(56.0%),29,4,3,1,0,32,20,135,14.1%,46.2%
第7節,東京ヴェルディ,水戸ホーリーホック,0,0,0,1,2019.4.3 19:00 Kick Off,晴,全面良芝,"2,693人",8.5℃,52.6%,53.0%,38.9%,52.3%,53.9%,53.4%,18.96,16.03,0.98,1.95,8.43,0.00,92.86,10.58,0.43,2.09,16,(0.0%),5,0,538,(83.3%),11,(18.2%),8,4,6,19,(94.7%),17,(52.9%),31,(67.7%),17,4,2,0,0,54,16,115,13.9%,50.9%
第8節,水戸ホーリーホック,徳島ヴォルティス,1,1,1,1,2019.4.7 14:00 Kick Off,晴時々曇,全面良芝,"5,359人",20℃,32.9%,37.6%,40.8%,38.7%,49.0%,43.4%,9.61,7.43,0.53,1.65,3.78,3.51,74.76,17.57,0.04,0.706,10,(10.0%),2,0,330,(61.8%),11,(9.1%),13,1,1,27,(85.2%),10,(40.0%),14,(64.3%),28,2,0,0,0,26,8,129,7.8%,40.2%
第9節,ヴァンフォーレ甲府,水戸ホーリーホック,1,2,0,3,2019.4.14 14:00 Kick Off,曇,全面良芝,"7,912人",20.4℃,49.6%,48.9%,54.6%,53.1%,61.6%,54.1%,17.65,13.11,2.67,1.87,6.09,5.70,101.92,14.50,0.19,0.889,12,(16.7%),5,0,477,(76.1%),12,(41.7%),16,1,3,18,(94.4%),7,(71.4%),21,(81.0%),21,0,2,1,0,47,8,133,9.0%,53%
第10節,ＦＣ岐阜,水戸ホーリーホック,0,1,0,3,2019.4.21 14:00 Kick Off,曇,全面良芝,"5,196人",25.1℃,34.3%,41.0%,41.7%,50.5%,40.0%,40.0%,15.93,11.39,1.97,2.56,8.49,4.26,133.60,13.21,0.51,2.114,19,(5.3%),5,0,360,(67.2%),13,(30.8%),13,0,7,25,(88.0%),15,(40.0%),23,(87.0%),20,4,1,1,0,33,13,146,13.0%,40.7%
