Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,Ｖ・ファーレン長崎,横浜ＦＣ,1,0,1,3,2019.2.24 14:00 Kick Off,晴,全面良芝,"11,924人",18.5℃,45.7%,39.9%,58.7%,46.1%,47.6%,40.7%,10.85,9.93,0.00,0.92,5.86,3.01,71.63,18.98,0.38,1.339,13,(7.7%),3,0,428,(75.2%),9,(0.0%),16,2,4,20,(80.0%),12,(50.0%),11,(72.7%),31,2,3,1,0,29,8,117,11.1%,46.9%
第2節,アビスパ福岡,Ｖ・ファーレン長崎,0,0,0,1,2019.3.2 15:05 Kick Off,曇,全面良芝,"12,028人",17.2℃,45.4%,42.8%,16.2%,55.8%,46.8%,34.1%,13.25,10.19,1.12,1.93,5.78,0.00,77.88,19.38,0.30,0.767,11,(0.0%),2,0,389,(69.4%),15,(13.3%),15,0,5,16,(100.0%),11,(54.5%),19,(73.7%),30,2,0,0,0,35,13,110,10.0%,39.3%
第3節,Ｖ・ファーレン長崎,水戸ホーリーホック,0,1,1,0,2019.3.9 14:00 Kick Off,曇,全面良芝,"6,744人",17.1℃,44.4%,52.5%,51.9%,55.1%,67.8%,58.2%,16.75,15.09,1.09,0.57,3.71,0.00,74.93,16.35,0.24,1.036,9,(0.0%),3,0,542,(82.5%),13,(15.4%),18,0,4,15,(93.3%),10,(50.0%),22,(45.5%),27,3,2,0,0,48,3,117,7.7%,54.8%
第4節,ヴァンフォーレ甲府,Ｖ・ファーレン長崎,2,0,0,0,2019.3.17 14:00 Kick Off,曇,全面良芝,"15,665人",13.2℃,48.6%,60.4%,70.9%,62.4%,50.8%,52.5%,23.90,19.54,3.32,1.03,6.22,0.00,92.14,13.46,3.08,1.367,17,(0.0%),1,0,566,(82.9%),22,(27.3%),12,0,4,14,(100.0%),9,(55.6%),22,(45.5%),22,0,3,5,0,67,18,110,15.5%,56.9%
第5節,愛媛ＦＣ,Ｖ・ファーレン長崎,0,1,0,3,2019.3.23 17:00 Kick Off,曇のち晴,全面良芝,"2,622人",10.6℃,37.9%,30.4%,37.2%,34.1%,35.1%,34.4%,10.64,8.36,1.17,1.11,2.77,2.61,85.75,21.15,0.22,0.935,5,(20.0%),2,0,317,(68.5%),6,(33.3%),10,2,3,18,(88.9%),13,(38.5%),21,(57.1%),34,3,1,2,0,20,7,115,4.3%,34.8%
第6節,Ｖ・ファーレン長崎,大宮アルディージャ,0,1,1,0,2019.3.30 14:00 Kick Off,晴,全面良芝,"7,925人",21.6℃,38.7%,51.1%,55.2%,50.0%,66.0%,61.2%,13.92,12.23,0.57,1.12,6.15,0.00,78.63,9.78,0.49,0.749,7,(0.0%),2,0,423,(74.7%),14,(7.1%),20,1,4,28,(92.9%),10,(50.0%),23,(78.3%),11,3,4,0,0,38,7,130,5.4%,53.3%
第7節,柏レイソル,Ｖ・ファーレン長崎,3,0,0,0,2019.4.3 19:00 Kick Off,晴,全面良芝,"6,415人",8.5℃,45.7%,43.3%,53.7%,49.9%,57.9%,42.4%,17.05,13.65,1.70,1.70,4.59,0.00,98.75,14.68,0.64,0.861,6,(0.0%),3,0,474,(73.8%),12,(25.0%),18,4,4,18,(88.9%),13,(61.5%),19,(73.7%),22,2,3,3,0,31,6,143,4.2%,49.3%
第8節,Ｖ・ファーレン長崎,レノファ山口ＦＣ,2,2,1,1,2019.4.7 14:00 Kick Off,晴,全面良芝,"8,642人",21.7℃,44.2%,57.9%,48.0%,45.4%,61.4%,63.3%,17.91,14.97,1.64,1.31,8.52,6.53,96.67,9.69,0.52,0.993,11,(18.2%),6,0,508,(76.2%),21,(14.3%),15,0,7,22,(90.9%),18,(38.9%),22,(86.4%),18,6,2,1,0,51,16,126,8.7%,53.7%
第9節,ＦＣ岐阜,Ｖ・ファーレン長崎,0,4,0,3,2019.4.14 14:00 Kick Off,雨,全面良芝,"4,212人",14.1℃,34.0%,37.7%,60.6%,66.2%,44.1%,43.6%,20.54,15.70,2.77,2.07,11.88,8.20,94.99,14.78,2.72,2.848,16,(25.0%),8,1,445,(73.7%),21,(23.8%),6,2,6,22,(95.5%),12,(50.0%),22,(81.8%),20,2,1,3,0,38,19,121,13.2%,46.8%
第10節,栃木ＳＣ,Ｖ・ファーレン長崎,1,3,0,3,2019.4.20 18:00 Kick Off,晴,全面良芝,"3,947人",13.8℃,59.1%,56.6%,43.4%,52.3%,48.3%,39.7%,13.17,11.30,1.03,0.84,9.76,6.48,94.52,22.46,0.40,1.146,12,(25.0%),6,0,435,(74.9%),10,(20.0%),14,1,8,20,(95.0%),11,(36.4%),19,(68.4%),44,5,4,2,0,33,8,139,8.6%,48.3%
