Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,鹿島アントラーズ,大分トリニータ,1,2,0,3,2019.2.23 15:00 Kick Off,晴,全面良芝,"19,463人",10.6℃,63.6%,63.6%,41.8%,48.9%,45.7%,37.5%,11.39,10.41,0.56,0.42,7.66,6.19,91.38,21.90,0.68,1.259,11,(18.2%),6,0,513,(79.7%),6,(16.7%),10,0,4,15,(86.7%),4,(50.0%),21,(71.4%),39,2,2,1,0,19,12,117,9.4%,49.4%
第2節,大分トリニータ,松本山雅ＦＣ,0,1,1,0,2019.3.2 16:00 Kick Off,屋内,全面良芝,"13,329人",10.9℃,55.4%,68.1%,69.2%,78.2%,61.1%,72.6%,15.63,14.02,1.18,0.43,0.00,0.00,66.99,12.66,0.57,0.507,4,(0.0%),0,0,713,(84.9%),8,(25.0%),11,1,0,27,(96.3%),5,(40.0%),19,(68.4%),22,1,2,1,0,38,7,105,3.8%,68%
第3節,ジュビロ磐田,大分トリニータ,1,2,0,3,2019.3.9 15:00 Kick Off,晴,全面良芝,"12,345人",17.2℃,34.6%,63.5%,54.2%,80.2%,65.8%,67.1%,17.83,14.12,3.71,0.00,11.22,5.57,93.70,13.17,0.07,1.469,14,(14.3%),6,0,723,(87.1%),19,(36.8%),11,0,7,20,(90.0%),7,(0.0%),31,(58.1%),25,3,2,1,0,41,12,121,11.6%,61.6%
第4節,大分トリニータ,横浜Ｆ・マリノス,2,0,1,3,2019.3.17 16:00 Kick Off,晴,全面良芝,"11,848人",12.8℃,43.0%,44.7%,36.4%,48.3%,54.1%,31.3%,9.98,7.72,2.25,0.00,6.35,5.88,75.39,22.95,1.17,1.241,8,(25.0%),4,0,352,(71.9%),11,(36.4%),10,3,2,29,(89.7%),3,(0.0%),29,(65.5%),38,0,5,1,0,20,7,121,6.6%,42.2%
第5節,大分トリニータ,サンフレッチェ広島,0,1,1,0,2019.3.30 19:00 Kick Off,曇,全面良芝,"11,443人",15.6℃,53.9%,60.6%,62.2%,58.5%,77.4%,74.8%,18.10,15.11,1.96,1.03,1.19,0.00,73.71,10.34,0.26,0.706,7,(0.0%),0,0,801,(88.8%),13,(30.8%),5,0,2,20,(90.0%),6,(83.3%),12,(75.0%),18,3,0,1,0,51,8,96,7.3%,64.7%
第6節,北海道コンサドーレ札幌,大分トリニータ,1,2,0,3,2019.4.6 13:00 Kick Off,屋内,良芝,"13,852人",21.4℃,45.4%,34.1%,51.7%,31.6%,40.6%,35.9%,9.43,7.97,0.57,0.89,3.67,1.18,94.04,18.82,0.36,0.756,5,(20.0%),2,0,371,(75.2%),14,(7.1%),16,2,5,11,(81.8%),9,(55.6%),17,(82.4%),34,3,2,1,0,17,7,115,4.3%,38.9%
第7節,大分トリニータ,ベガルタ仙台,2,0,1,3,2019.4.14 16:00 Kick Off,屋内,全面良芝,"11,477人",15.3℃,65.5%,52.6%,54.1%,43.4%,47.8%,57.3%,16.05,12.96,1.70,1.40,6.41,5.51,77.46,18.34,0.35,0.698,6,(33.3%),5,0,617,(85.9%),18,(16.7%),5,1,7,15,(93.3%),7,(85.7%),14,(64.3%),25,5,1,0,0,35,20,95,6.3%,54.2%
第8節,ガンバ大阪,大分トリニータ,1,1,0,1,2019.4.20 16:00 Kick Off,晴,全面良芝,"17,727人",21.7℃,78.9%,78.8%,55.1%,41.9%,41.4%,58.4%,13.33,12.29,0.46,0.58,0.78,1.25,66.54,19.87,0.70,0.845,8,(12.5%),1,0,673,(87.8%),8,(12.5%),12,1,0,16,(81.3%),4,(50.0%),18,(55.6%),23,5,1,2,0,36,4,95,8.4%,59%
第9節,セレッソ大阪,大分トリニータ,0,0,0,1,2019.4.27 14:00 Kick Off,晴時々曇一時雨,全面良芝,"19,910人",15.7℃,42.6%,69.8%,58.8%,53.8%,53.1%,63.8%,17.21,13.54,2.70,0.97,1.23,0.00,62.77,11.24,0.20,0.551,7,(0.0%),1,0,681,(87.2%),23,(21.7%),10,1,2,16,(93.8%),5,(60.0%),10,(80.0%),18,1,2,0,0,45,8,90,7.8%,57.7%
第10節,大分トリニータ,サガン鳥栖,2,0,1,3,2019.5.4 16:00 Kick Off,晴,全面良芝,"24,516人",26℃,53.6%,57.4%,67.3%,58.3%,53.9%,53.3%,15.41,12.25,2.13,1.02,3.32,3.81,88.16,14.62,0.27,2.046,13,(15.4%),2,0,613,(85.3%),16,(25.0%),6,2,6,19,(89.5%),5,(80.0%),20,(60.0%),17,5,1,0,0,36,11,106,12.3%,57.2%
第11節,湘南ベルマーレ,大分トリニータ,0,1,0,3,2019.5.12 16:00 Kick Off,晴,全面良芝,"11,550人",21.1℃,53.3%,48.9%,53.5%,49.4%,48.6%,49.4%,12.51,10.16,2.25,0.10,4.50,3.19,92.45,16.20,0.77,1.116,11,(9.1%),2,0,415,(74.5%),11,(36.4%),10,2,3,24,(75.0%),4,(25.0%),17,(64.7%),30,2,2,0,0,23,9,120,9.2%,50.8%
第12節,大分トリニータ,清水エスパルス,1,1,1,1,2019.5.18 16:00 Kick Off,屋内,全面良芝,"11,563人",19.8℃,64.2%,71.6%,75.4%,69.6%,59.2%,57.9%,15.29,14.50,0.49,0.31,4.91,5.32,66.97,10.24,0.32,0.876,10,(10.0%),4,0,760,(88.9%),15,(6.7%),10,0,9,14,(100.0%),5,(40.0%),11,(45.5%),14,2,1,3,0,43,5,93,10.8%,66.7%
