Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,ファジアーノ岡山,水戸ホーリーホック,0,1,1,0,2019.2.24 14:00 Kick Off,晴,全面良芝,"9,256人",13.1℃,63.2%,60.2%,60.1%,47.3%,56.7%,56.2%,16.11,10.79,2.72,2.60,5.33,0.00,81.34,9.01,0.27,1.721,12,(0.0%),4,0,499,(72.9%),16,(31.3%),13,2,5,40,(85.0%),16,(56.3%),19,(63.2%),11,4,1,0,0,23,9,135,8.9%,57.5%
第2節,ファジアーノ岡山,ツエーゲン金沢,2,1,1,3,2019.3.3 14:00 Kick Off,雨,全面良芝,"5,298人",11.3℃,67.2%,63.9%,54.8%,30.7%,58.6%,41.3%,15.11,12.03,1.69,1.38,3.84,7.44,116.54,19.49,0.74,0.553,9,(22.2%),2,0,499,(72.9%),11,(27.3%),9,1,3,30,(83.3%),18,(33.3%),34,(64.7%),40,5,2,1,0,33,9,134,6.7%,52%
第3節,ＦＣ岐阜,ファジアーノ岡山,2,1,0,0,2019.3.9 15:00 Kick Off,晴,全面良芝,"6,525人",14℃,46.1%,42.9%,58.7%,66.0%,56.0%,63.8%,19.89,16.79,1.62,1.49,9.73,3.18,97.24,11.05,0.44,1.668,17,(5.9%),3,0,562,(71.4%),14,(21.4%),12,1,3,34,(88.2%),15,(53.3%),19,(73.7%),27,4,1,0,0,42,12,143,11.9%,56.1%
第4節,ファジアーノ岡山,アビスパ福岡,2,1,1,3,2019.3.17 14:00 Kick Off,晴,全面良芝,"7,677人",13.2℃,48.8%,45.0%,47.1%,39.0%,37.2%,38.4%,13.55,9.94,1.03,2.58,10.63,4.59,92.48,11.67,0.16,1.069,14,(14.3%),6,0,300,(66.7%),12,(16.7%),18,1,3,19,(84.2%),14,(64.3%),16,(50.0%),18,3,5,0,0,32,16,128,10.9%,42.6%
第5節,柏レイソル,ファジアーノ岡山,0,1,0,3,2019.3.23 15:00 Kick Off,曇,全面良芝,"7,845人",7.2℃,57.7%,58.7%,48.7%,53.1%,43.8%,36.9%,10.87,10.03,0.00,0.84,5.69,2.64,113.18,14.37,0.00,0.614,8,(12.5%),2,0,434,(71.4%),11,(0.0%),11,2,4,30,(70.0%),8,(37.5%),25,(60.0%),19,2,0,2,0,29,4,135,5.9%,49.9%
第6節,ファジアーノ岡山,ヴァンフォーレ甲府,1,1,1,1,2019.3.30 14:00 Kick Off,晴,全面良芝,"7,298人",16.6℃,48.3%,58.4%,55.8%,49.4%,48.5%,36.9%,15.24,11.28,1.65,2.31,10.47,1.30,115.41,17.79,0.40,1.365,13,(7.7%),5,0,395,(72.4%),12,(33.3%),14,0,4,23,(87.0%),19,(42.1%),15,(73.3%),25,6,8,0,0,46,12,130,10.0%,49.7%
第7節,大宮アルディージャ,ファジアーノ岡山,2,1,0,0,2019.4.3 19:00 Kick Off,晴,全面良芝,"8,021人",7.8℃,46.4%,54.1%,53.5%,49.5%,51.5%,37.2%,8.92,8.03,0.47,0.42,4.64,4.26,73.35,16.95,0.04,0.818,7,(14.3%),4,0,403,(70.7%),12,(8.3%),12,1,5,23,(91.3%),6,(16.7%),16,(56.3%),27,3,7,1,0,22,7,122,5.7%,48.7%
第8節,ファジアーノ岡山,アルビレックス新潟,3,3,1,1,2019.4.7 13:00 Kick Off,晴,全面良芝,"6,545人",24.1℃,55.6%,47.2%,52.4%,58.5%,39.4%,51.4%,10.44,8.02,1.57,0.86,10.49,9.17,64.94,17.44,0.32,2.392,10,(30.0%),6,1,373,(70.5%),7,(42.9%),9,3,4,17,(76.5%),7,(42.9%),18,(44.4%),45,2,3,3,0,22,6,119,8.4%,51%
第9節,ジェフユナイテッド千葉,ファジアーノ岡山,0,0,0,1,2019.4.14 15:00 Kick Off,曇,全面良芝,"7,229人",18.2℃,48.3%,50.8%,46.9%,59.0%,60.8%,50.7%,13.60,11.24,1.10,1.27,1.17,0.00,122.46,13.21,0.04,0.846,10,(0.0%),1,0,440,(74.3%),8,(25.0%),14,3,2,24,(83.3%),17,(29.4%),26,(73.1%),16,3,2,2,0,33,9,133,7.5%,52.1%
第10節,ファジアーノ岡山,徳島ヴォルティス,2,1,1,3,2019.4.20 19:00 Kick Off,晴,全面良芝,"7,720人",16.2℃,39.0%,43.6%,55.3%,40.3%,45.2%,34.9%,10.73,8.14,1.77,0.83,7.13,4.31,100.50,16.59,0.00,1.453,9,(22.2%),6,0,311,(63.0%),8,(37.5%),14,4,4,20,(95.0%),8,(50.0%),24,(79.2%),23,2,1,0,0,27,12,128,7.0%,43%
第11節,ファジアーノ岡山,東京ヴェルディ,1,1,1,1,2019.4.28 14:00 Kick Off,曇,全面良芝,"9,339人",17.9℃,39.2%,30.4%,34.7%,46.3%,47.5%,47.0%,9.99,8.61,0.54,0.84,6.00,1.30,102.38,10.26,2.40,1.991,12,(8.3%),4,0,352,(69.6%),14,(7.1%),14,0,9,23,(82.6%),8,(37.5%),14,(64.3%),15,3,3,2,0,28,11,131,9.2%,40.1%
第12節,モンテディオ山形,ファジアーノ岡山,1,0,0,0,2019.5.5 16:00 Kick Off,晴,全面良芝,"10,257人",26.5℃,62.3%,64.1%,61.5%,63.0%,50.4%,45.2%,16.94,12.86,2.73,1.35,3.71,0.00,70.49,10.14,0.70,1.428,10,(0.0%),1,0,458,(71.8%),24,(20.8%),9,2,7,30,(70.0%),14,(57.1%),18,(66.7%),18,1,2,1,0,50,14,134,7.5%,57.6%
