Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,大宮アルディージャ,ヴァンフォーレ甲府,0,0,1,1,2019.2.24 14:00 Kick Off,晴,全面良芝,"12,090人",13.1℃,54.0%,61.5%,51.9%,53.7%,49.7%,42.8%,13.53,10.85,1.58,1.11,6.39,0.00,82.40,15.79,0.51,1.148,11,(0.0%),5,0,500,(79.4%),16,(25.0%),13,5,3,15,(86.7%),9,(55.6%),39,(64.1%),16,5,3,0,0,27,9,123,8.9%,52.4%
第2節,大宮アルディージャ,ＦＣ琉球,3,4,1,0,2019.3.2 14:00 Kick Off,晴,全面良芝,"7,867人",13.6℃,43.1%,41.2%,37.0%,48.2%,59.5%,60.1%,18.80,14.03,3.22,1.55,12.34,5.05,76.19,12.37,0.12,2.599,13,(23.1%),9,1,447,(74.0%),21,(28.6%),14,2,6,14,(85.7%),11,(81.8%),21,(71.4%),15,0,4,3,0,36,9,119,10.9%,48.9%
第3節,徳島ヴォルティス,大宮アルディージャ,0,1,0,3,2019.3.10 14:00 Kick Off,曇,全面良芝,"3,870人",13.2℃,46.3%,34.7%,34.0%,37.5%,55.7%,44.8%,13.14,12.03,0.00,1.11,3.73,5.28,79.30,11.36,0.23,0.819,11,(9.1%),3,0,377,(72.4%),15,(0.0%),16,4,6,24,(91.7%),13,(53.8%),19,(47.4%),20,5,0,2,0,45,8,121,9.1%,42%
第4節,モンテディオ山形,大宮アルディージャ,1,0,0,0,2019.3.17 14:00 Kick Off,曇,全面良芝,"10,122人",7.6℃,52.4%,59.6%,56.6%,63.1%,56.5%,64.8%,15.09,13.10,1.68,0.31,3.92,0.00,79.31,15.63,0.35,1.171,9,(0.0%),3,0,521,(74.9%),21,(14.3%),12,3,6,28,(71.4%),4,(50.0%),25,(80.0%),24,1,4,1,0,34,8,143,6.3%,58.6%
第5節,大宮アルディージャ,水戸ホーリーホック,1,1,1,1,2019.3.23 14:00 Kick Off,曇,全面良芝,"8,423人",10.7℃,57.1%,50.8%,52.3%,58.3%,42.4%,62.1%,18.20,14.85,1.57,1.78,7.24,3.24,111.37,12.44,0.04,1.48,18,(5.6%),4,0,539,(71.8%),27,(14.8%),14,1,6,28,(85.7%),15,(53.3%),22,(72.7%),19,7,3,0,0,45,18,145,12.4%,54.1%
第6節,Ｖ・ファーレン長崎,大宮アルディージャ,0,1,0,3,2019.3.30 14:00 Kick Off,晴,全面良芝,"7,925人",21.6℃,61.3%,48.9%,44.8%,50.0%,34.0%,38.8%,13.41,12.21,1.07,0.12,9.56,2.90,73.00,16.55,0.38,1.133,12,(8.3%),6,0,387,(74.9%),9,(22.2%),15,5,4,22,(63.6%),5,(20.0%),25,(68.0%),30,1,1,2,0,32,5,118,10.2%,46.7%
第7節,大宮アルディージャ,ファジアーノ岡山,2,1,1,3,2019.4.3 19:00 Kick Off,晴,全面良芝,"8,021人",7.8℃,53.6%,45.9%,46.5%,50.5%,48.5%,62.8%,17.30,14.50,2.00,0.79,7.47,5.32,73.06,13.69,0.34,1.675,17,(11.8%),3,0,446,(74.0%),18,(22.2%),16,7,7,25,(80.0%),8,(37.5%),22,(77.3%),27,2,1,0,0,51,12,126,13.5%,51.3%
第8節,鹿児島ユナイテッドＦＣ,大宮アルディージャ,0,2,0,3,2019.4.7 13:00 Kick Off,晴,全面良芝,"4,706人",24.6℃,40.0%,42.7%,41.0%,45.5%,35.6%,35.9%,11.54,9.10,1.07,1.38,7.32,5.95,69.18,15.77,0.12,0.916,11,(18.2%),5,0,271,(67.2%),14,(14.3%),12,4,6,41,(78.0%),12,(41.7%),24,(66.7%),34,0,2,2,0,26,12,123,8.9%,39.8%
第9節,大宮アルディージャ,横浜ＦＣ,2,1,1,3,2019.4.14 14:00 Kick Off,曇,全面良芝,"9,865人",17.8℃,46.9%,58.8%,43.9%,46.2%,34.8%,32.9%,9.70,8.93,0.61,0.15,7.05,5.62,62.86,14.36,0.04,0.922,9,(22.2%),4,0,360,(77.8%),6,(16.7%),14,4,4,28,(67.9%),6,(33.3%),11,(45.5%),42,2,6,1,0,25,4,112,8.0%,43.4%
第10節,ＦＣ町田ゼルビア,大宮アルディージャ,0,1,0,3,2019.4.21 15:00 Kick Off,晴,全面良芝,"5,285人",22.6℃,41.3%,50.0%,45.6%,57.2%,48.8%,40.6%,6.03,5.71,0.00,0.32,4.84,3.37,72.14,22.74,1.08,0.385,7,(14.3%),3,0,266,(50.4%),9,(0.0%),17,1,6,30,(70.0%),9,(22.2%),29,(55.2%),28,0,5,2,0,17,6,136,5.1%,46.8%
第11節,ジェフユナイテッド千葉,大宮アルディージャ,0,0,0,1,2019.4.28 15:00 Kick Off,晴,全面良芝,"13,656人",16.6℃,43.0%,64.6%,49.2%,42.4%,53.2%,49.0%,14.29,12.16,1.64,0.49,4.76,0.00,106.90,14.99,0.36,1.483,15,(0.0%),2,0,505,(72.9%),15,(20.0%),19,2,4,23,(100.0%),9,(44.4%),24,(75.0%),32,1,4,1,0,35,9,139,10.8%,50%
第12節,大宮アルディージャ,愛媛ＦＣ,2,1,1,3,2019.5.4 14:00 Kick Off,晴のち曇,全面良芝,"11,732人",23.5℃,54.6%,50.7%,75.5%,49.8%,55.4%,50.0%,20.66,16.84,1.53,2.29,10.37,4.21,102.83,10.45,0.02,1.863,17,(11.8%),7,0,666,(81.1%),17,(17.6%),8,2,5,21,(90.5%),15,(46.7%),16,(75.0%),11,0,1,0,0,50,9,120,14.2%,56.2%
第13節,レノファ山口ＦＣ,大宮アルディージャ,2,2,0,1,2019.5.11 16:00 Kick Off,晴,全面良芝,"6,266人",30.4℃,48.3%,53.7%,48.0%,50.1%,57.9%,40.4%,13.51,9.46,3.75,0.30,13.16,3.95,78.48,14.80,0.13,2.15,19,(10.5%),8,0,404,(74.5%),15,(46.7%),12,3,9,28,(85.7%),8,(25.0%),16,(81.3%),18,1,7,0,0,25,13,129,14.7%,49.7%
第14節,大宮アルディージャ,栃木ＳＣ,0,0,1,1,2019.5.18 14:00 Kick Off,晴時々曇,全面良芝,"9,534人",27.7℃,56.6%,57.1%,69.0%,65.8%,71.6%,69.9%,29.88,23.34,3.22,3.32,12.91,0.00,67.23,9.18,0.19,2.139,27,(0.0%),5,0,637,(79.0%),34,(17.6%),10,0,10,32,(81.3%),17,(58.8%),14,(50.0%),7,1,0,0,0,74,18,118,22.9%,66.1%
第15節,柏レイソル,大宮アルディージャ,1,1,0,1,2019.5.26 15:00 Kick Off,晴,全面良芝,"10,671人",31.8℃,44.0%,52.7%,40.7%,40.3%,42.8%,36.3%,10.27,8.39,1.62,0.26,4.95,3.01,85.77,20.83,1.06,1.138,14,(7.1%),2,0,325,(66.2%),8,(37.5%),16,0,3,18,(77.8%),7,(28.6%),21,(61.9%),30,2,1,0,0,19,6,133,10.5%,42.5%
第16節,アビスパ福岡,大宮アルディージャ,1,1,0,1,2019.6.2 13:05 Kick Off,晴時々曇,全面良芝,"10,075人",28.4℃,36.9%,50.6%,40.5%,38.8%,36.6%,48.4%,16.32,11.96,3.18,1.18,5.53,1.23,80.36,15.86,0.79,1.063,10,(10.0%),5,0,340,(68.2%),19,(31.6%),14,0,4,13,(76.9%),7,(71.4%),16,(56.3%),16,2,1,0,0,32,14,110,9.1%,42.6%
第17節,大宮アルディージャ,京都サンガF.C.,3,1,1,3,2019.6.8 18:00 Kick Off,曇,全面良芝,"9,879人",21.8℃,23.5%,28.8%,45.0%,28.8%,26.7%,39.9%,9.32,7.83,1.04,0.45,4.95,12.01,103.49,16.32,0.66,0.563,8,(37.5%),4,0,292,(70.5%),7,(28.6%),10,1,1,11,(81.8%),8,(12.5%),31,(64.5%),36,3,2,0,0,26,8,103,7.8%,32.7%
第18節,大宮アルディージャ,ＦＣ岐阜,2,1,1,3,2019.6.15 18:00 Kick Off,雨,全面良芝,"5,874人",16.8℃,50.7%,36.9%,48.1%,58.0%,56.2%,63.5%,17.21,14.39,1.71,1.11,15.38,5.46,110.36,10.68,0.26,3.795,24,(8.3%),9,0,484,(74.4%),18,(16.7%),18,1,9,40,(82.5%),13,(38.5%),18,(66.7%),16,0,6,0,0,42,14,154,15.6%,51.8%
第19節,東京ヴェルディ,大宮アルディージャ,0,0,0,1,2019.6.22 19:00 Kick Off,曇のち雨,全面良芝,"5,886人",21.1℃,49.8%,60.1%,55.3%,50.7%,35.7%,54.3%,17.25,14.08,2.12,1.05,3.83,0.00,61.83,14.63,0.02,1.423,13,(0.0%),1,0,478,(75.3%),13,(30.8%),12,2,4,29,(75.9%),10,(40.0%),17,(41.2%),22,4,3,0,0,36,14,127,10.2%,51.2%
