Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,レノファ山口ＦＣ,柏レイソル,1,2,1,0,2019.2.24 16:00 Kick Off,晴,全面良芝,"8,440人",19℃,43.6%,47.8%,49.5%,47.0%,33.2%,51.5%,13.57,9.83,1.56,2.17,7.38,3.44,90.37,21.75,0.25,1.052,14,(7.1%),3,0,380,(68.4%),14,(21.4%),8,6,3,26,(76.9%),17,(52.9%),23,(73.9%),39,2,2,1,0,38,11,137,10.2%,46.2%
第2節,レノファ山口ＦＣ,ヴァンフォーレ甲府,2,5,1,0,2019.3.2 13:00 Kick Off,晴,全面良芝,"4,001人",12.9℃,55.8%,78.2%,58.1%,63.2%,62.2%,63.2%,18.42,17.44,0.51,0.48,6.23,6.12,102.76,13.33,0.30,1.183,10,(20.0%),4,0,682,(82.4%),20,(5.0%),12,0,9,28,(100.0%),11,(36.4%),28,(57.1%),22,1,4,1,0,61,8,138,7.2%,63.5%
第3節,ジェフユナイテッド千葉,レノファ山口ＦＣ,2,5,0,3,2019.3.10 14:00 Kick Off,曇,全面良芝,"8,203人",17.9℃,33.9%,40.5%,35.1%,38.3%,40.2%,45.4%,8.72,7.16,0.00,1.56,8.42,13.80,121.46,18.05,0.54,1.065,14,(28.6%),6,0,322,(61.8%),10,(0.0%),12,2,4,20,(85.0%),4,(75.0%),36,(58.3%),31,7,5,1,0,28,6,135,10.4%,39.1%
第4節,愛媛ＦＣ,レノファ山口ＦＣ,2,1,0,0,2019.3.17 16:00 Kick Off,晴,全面良芝,"2,798人",15.8℃,47.4%,52.4%,56.6%,61.4%,53.1%,58.0%,18.14,13.54,3.74,0.86,8.61,3.92,60.09,12.73,0.25,1.789,18,(5.6%),5,0,514,(75.5%),23,(30.4%),9,1,8,29,(93.1%),12,(41.7%),24,(50.0%),22,3,5,2,0,42,15,126,14.3%,55%
第5節,レノファ山口ＦＣ,栃木ＳＣ,0,1,1,0,2019.3.24 16:00 Kick Off,晴,全面良芝,"5,002人",15.7℃,60.1%,60.5%,54.1%,65.2%,63.9%,60.3%,28.58,20.86,6.35,1.36,12.34,0.00,97.73,9.98,0.13,2.787,24,(0.0%),7,0,630,(72.1%),42,(28.6%),12,3,9,32,(87.5%),11,(63.6%),27,(81.5%),21,1,2,0,0,58,34,146,16.4%,60.5%
第6節,ＦＣ琉球,レノファ山口ＦＣ,2,2,0,1,2019.3.30 18:00 Kick Off,晴,全面良芝,"3,789人",23.3℃,44.6%,36.6%,34.7%,45.4%,31.9%,46.8%,14.31,11.02,2.55,0.74,13.81,7.82,81.71,13.90,0.35,2.01,17,(11.8%),9,0,310,(64.8%),12,(41.7%),15,3,5,19,(78.9%),11,(27.3%),25,(48.0%),31,2,1,2,0,35,14,127,13.4%,40%
第7節,レノファ山口ＦＣ,徳島ヴォルティス,1,2,1,0,2019.4.3 19:00 Kick Off,曇,全面良芝,"3,806人",6.8℃,42.7%,51.3%,54.2%,43.7%,49.5%,49.9%,20.42,13.41,5.57,1.44,11.27,3.01,92.33,15.12,0.65,1.99,20,(5.0%),4,0,419,(74.2%),24,(41.7%),11,2,6,22,(95.5%),14,(64.3%),31,(54.8%),16,4,0,1,0,35,22,126,15.9%,48.4%
第8節,Ｖ・ファーレン長崎,レノファ山口ＦＣ,2,2,0,1,2019.4.7 14:00 Kick Off,晴,全面良芝,"8,642人",21.7℃,55.8%,42.1%,52.0%,54.6%,38.6%,36.7%,12.01,10.55,0.49,0.97,8.50,7.13,84.45,21.65,0.42,1.382,19,(10.5%),6,0,410,(77.3%),7,(14.3%),12,2,7,21,(95.2%),10,(60.0%),22,(72.7%),40,1,0,1,0,33,12,125,15.2%,46.3%
第9節,レノファ山口ＦＣ,鹿児島ユナイテッドＦＣ,1,0,1,3,2019.4.14 16:00 Kick Off,曇時々雨のち曇,全面良芝,"5,699人",14.6℃,47.6%,49.6%,54.9%,46.7%,65.0%,41.8%,15.84,10.11,3.15,2.58,4.89,3.44,68.09,16.75,0.42,1.421,15,(6.7%),4,0,416,(72.8%),19,(31.6%),11,0,2,36,(72.2%),14,(78.6%),24,(50.0%),33,4,4,3,0,30,12,123,12.2%,50.3%
第10節,モンテディオ山形,レノファ山口ＦＣ,0,1,0,3,2019.4.21 14:00 Kick Off,曇,全面良芝,"6,713人",17.4℃,53.6%,64.4%,66.9%,49.3%,55.6%,39.7%,15.75,10.43,3.34,1.98,8.59,0.31,77.42,20.10,0.68,1.456,12,(8.3%),5,1,484,(73.8%),18,(33.3%),14,0,4,28,(82.1%),11,(72.7%),16,(56.3%),29,2,3,2,0,30,11,132,9.1%,55.2%
