Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,ＦＣ琉球,アビスパ福岡,3,1,1,3,2019.2.24 16:00 Kick Off,曇時々雨,全面良芝,"7,385人",21.1℃,56.6%,43.7%,32.3%,41.3%,47.8%,32.9%,14.64,11.56,1.45,1.63,8.65,7.24,80.51,13.82,1.64,1.855,17,(17.6%),6,1,404,(71.0%),13,(23.1%),10,5,3,27,(85.2%),12,(41.7%),13,(61.5%),17,2,4,2,0,30,17,128,13.3%,42.4%
第2節,大宮アルディージャ,ＦＣ琉球,3,4,0,3,2019.3.2 14:00 Kick Off,晴,全面良芝,"7,867人",13.6℃,56.9%,58.8%,63.0%,51.8%,40.5%,39.9%,15.44,10.76,2.89,1.78,7.58,12.64,85.24,15.69,0.92,1.976,16,(25.0%),5,0,482,(76.8%),15,(33.3%),17,4,3,25,(84.0%),9,(77.8%),15,(66.7%),21,2,2,2,0,32,14,125,12.8%,51.1%
第3節,ＦＣ琉球,愛媛ＦＣ,2,0,1,3,2019.3.10 16:00 Kick Off,曇,全面良芝,"2,428人",21.5℃,36.8%,38.4%,42.1%,42.5%,46.5%,42.2%,13.18,10.56,2.29,0.32,6.87,7.23,99.64,13.12,0.72,1.415,16,(12.5%),5,0,406,(75.4%),7,(57.1%),13,0,0,24,(75.0%),6,(16.7%),23,(47.8%),22,1,1,1,0,34,11,121,13.2%,41.4%
第4節,ＦＣ琉球,徳島ヴォルティス,2,1,1,3,2019.3.16 18:00 Kick Off,曇,全面良芝,"3,460人",19℃,68.1%,53.5%,37.9%,34.7%,67.0%,37.5%,14.74,13.54,0.57,0.63,8.05,6.79,72.29,21.20,0.15,1.373,11,(18.2%),6,0,486,(80.0%),6,(16.7%),12,6,3,21,(76.2%),5,(80.0%),22,(63.6%),23,1,1,0,0,30,12,136,8.1%,48.8%
第5節,モンテディオ山形,ＦＣ琉球,1,1,0,1,2019.3.24 14:00 Kick Off,晴,全面良芝,"6,411人",5.1℃,57.5%,58.7%,65.3%,62.1%,62.4%,52.1%,17.33,15.26,1.09,0.98,5.92,0.31,101.43,15.27,0.03,1.523,12,(8.3%),3,1,589,(77.4%),14,(14.3%),20,5,1,25,(84.0%),10,(40.0%),17,(64.7%),27,2,2,4,0,47,15,151,7.9%,59.4%
第6節,ＦＣ琉球,レノファ山口ＦＣ,2,2,1,1,2019.3.30 18:00 Kick Off,晴,全面良芝,"3,789人",23.3℃,55.4%,63.4%,65.3%,54.6%,68.1%,53.2%,16.12,13.53,1.64,0.95,7.76,3.84,59.47,10.84,1.00,1.771,11,(18.2%),4,0,560,(80.0%),14,(21.4%),25,1,3,39,(76.9%),10,(50.0%),14,(64.3%),25,3,3,1,0,36,11,150,7.3%,60%
第7節,ジェフユナイテッド千葉,ＦＣ琉球,1,0,0,0,2019.4.3 19:00 Kick Off,晴,全面良芝,"8,313人",9.5℃,54.6%,45.2%,49.0%,65.4%,49.6%,59.9%,18.33,15.17,0.53,2.63,7.22,0.00,67.26,17.42,0.35,1.129,13,(0.0%),5,0,634,(82.5%),14,(7.1%),11,5,4,23,(95.7%),13,(61.5%),17,(35.3%),21,1,4,3,0,45,6,112,11.6%,53.4%
第8節,ＦＣ琉球,柏レイソル,1,1,1,1,2019.4.7 16:00 Kick Off,曇,全面良芝,"7,913人",26.9℃,50.4%,56.0%,62.9%,52.4%,46.4%,56.6%,14.19,11.82,1.11,1.26,7.84,2.90,80.83,17.33,0.87,0.964,11,(9.1%),5,0,521,(75.6%),18,(11.1%),19,2,7,25,(84.0%),11,(54.5%),17,(76.5%),27,2,1,0,0,34,5,142,7.7%,54.4%
第9節,東京ヴェルディ,ＦＣ琉球,1,1,0,1,2019.4.13 14:00 Kick Off,晴,全面良芝,"4,847人",16.2℃,44.9%,47.6%,51.2%,59.5%,70.2%,57.8%,24.93,21.00,1.64,2.29,13.32,4.23,73.04,9.89,2.91,2.787,22,(4.5%),3,0,605,(83.3%),13,(23.1%),6,0,9,16,(81.3%),9,(66.7%),13,(84.6%),16,5,1,2,0,61,15,105,21.0%,54.2%
第10節,鹿児島ユナイテッドＦＣ,ＦＣ琉球,1,0,0,0,2019.4.21 13:00 Kick Off,晴,全面良芝,"4,521人",26℃,55.2%,56.4%,55.6%,49.3%,51.0%,50.3%,15.97,12.99,1.61,1.38,6.14,0.00,125.34,11.50,0.45,1.309,11,(0.0%),5,0,494,(80.2%),9,(33.3%),10,10,4,25,(72.0%),7,(71.4%),30,(66.7%),16,5,3,3,0,33,12,139,7.9%,53.3%
