Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,ＦＣ町田ゼルビア,東京ヴェルディ,1,0,0,0,2019.2.24 14:00 Kick Off,晴,全面良芝,"8,814人",11.4℃,41.0%,46.7%,55.3%,47.5%,55.0%,53.7%,10.70,8.03,1.05,1.61,3.66,0.00,65.46,17.17,0.29,0.399,9,(0.0%),0,0,361,(54.3%),10,(20.0%),11,7,4,42,(76.2%),12,(41.7%),27,(55.6%),34,4,5,0,0,18,10,144,6.3%,50.7%
第2節,愛媛ＦＣ,東京ヴェルディ,1,0,0,0,2019.3.3 15:00 Kick Off,曇,全面良芝,"2,540人",17.3℃,62.8%,44.7%,45.7%,36.0%,48.3%,54.5%,22.39,18.46,2.17,1.76,8.13,0.00,57.40,14.35,0.41,2.439,19,(0.0%),3,0,618,(84.3%),15,(26.7%),11,2,6,20,(90.0%),11,(45.5%),19,(84.2%),19,3,0,0,0,38,14,102,18.6%,48.5%
第3節,東京ヴェルディ,ツエーゲン金沢,2,1,1,3,2019.3.9 14:00 Kick Off,晴,全面良芝,"5,798人",16.1℃,60.5%,57.7%,42.0%,49.9%,30.3%,40.3%,12.29,9.54,2.13,0.62,6.26,5.15,82.70,21.11,0.24,1.346,9,(22.2%),5,0,457,(71.6%),11,(36.4%),14,0,6,37,(73.0%),7,(71.4%),34,(58.8%),33,0,0,2,0,23,7,148,6.1%,46.6%
第4節,東京ヴェルディ,栃木ＳＣ,2,3,1,0,2019.3.16 14:00 Kick Off,曇のち雨,全面良芝,"3,245人",12.7℃,62.3%,60.4%,47.3%,46.4%,59.3%,59.9%,21.35,15.23,4.39,1.73,13.10,5.25,115.53,17.13,0.00,1.784,18,(11.1%),7,0,575,(79.3%),24,(33.3%),10,2,8,30,(93.3%),7,(42.9%),31,(64.5%),22,5,5,1,0,46,12,130,13.8%,55.9%
第5節,徳島ヴォルティス,東京ヴェルディ,1,1,0,1,2019.3.24 14:00 Kick Off,晴,全面良芝,"4,851人",12.3℃,45.9%,49.2%,57.4%,45.5%,65.7%,62.3%,17.59,16.31,0.57,0.71,3.23,1.23,80.99,14.16,0.63,2.235,11,(9.1%),2,0,630,(84.0%),13,(7.7%),12,1,3,20,(95.0%),14,(35.7%),22,(54.5%),19,1,0,1,0,40,6,115,9.6%,55%
第6節,東京ヴェルディ,柏レイソル,2,0,1,3,2019.3.30 14:00 Kick Off,曇,全面良芝,"5,708人",12.5℃,43.8%,37.7%,45.7%,34.9%,34.2%,28.7%,6.21,5.63,0.54,0.03,2.51,6.05,49.77,33.10,0.72,0.342,4,(50.0%),2,0,317,(68.8%),5,(20.0%),16,1,0,21,(71.4%),7,(14.3%),10,(70.0%),60,3,1,0,0,11,5,127,3.1%,37.6%
第7節,東京ヴェルディ,水戸ホーリーホック,0,0,1,1,2019.4.3 19:00 Kick Off,晴,全面良芝,"2,693人",8.5℃,47.4%,47.0%,61.1%,47.7%,46.1%,46.6%,12.35,11.13,1.10,0.12,3.62,0.00,67.72,14.82,2.07,0.877,7,(0.0%),3,0,535,(81.9%),8,(25.0%),7,2,2,22,(86.4%),7,(14.3%),22,(63.6%),17,3,3,0,0,20,5,114,6.1%,49.1%
第8節,モンテディオ山形,東京ヴェルディ,2,1,0,0,2019.4.7 14:00 Kick Off,曇時々晴,全面良芝,"5,959人",14.7℃,56.6%,46.8%,62.3%,48.4%,58.1%,42.5%,13.18,10.85,1.62,0.71,2.46,3.96,101.33,24.28,0.30,0.396,5,(20.0%),1,0,566,(75.4%),16,(18.8%),10,1,0,29,(86.2%),9,(44.4%),19,(78.9%),23,4,0,1,0,29,6,139,3.6%,52%
第9節,東京ヴェルディ,ＦＣ琉球,1,1,1,1,2019.4.13 14:00 Kick Off,晴,全面良芝,"4,847人",16.2℃,55.1%,52.4%,48.8%,40.5%,29.8%,42.2%,16.14,11.80,3.66,0.68,9.94,4.26,74.60,16.17,0.35,2.142,15,(6.7%),6,1,436,(80.3%),15,(46.7%),7,1,1,11,(72.7%),3,(100.0%),23,(73.9%),27,4,0,0,0,32,16,102,14.7%,45.8%
第10節,東京ヴェルディ,アルビレックス新潟,1,1,1,1,2019.4.20 14:00 Kick Off,晴,全面良芝,"6,085人",17.7℃,61.3%,39.2%,48.7%,55.9%,57.9%,46.8%,21.51,19.93,1.58,0.00,2.36,3.18,77.53,19.03,0.13,0.673,9,(11.1%),2,0,662,(84.6%),15,(20.0%),10,5,2,24,(100.0%),6,(0.0%),11,(81.8%),26,3,1,1,0,52,12,117,7.7%,51.4%
第11節,ファジアーノ岡山,東京ヴェルディ,1,1,0,1,2019.4.28 14:00 Kick Off,曇,全面良芝,"9,339人",17.9℃,60.8%,69.6%,65.3%,53.7%,52.5%,53.0%,21.81,18.60,2.32,0.89,7.41,3.31,71.37,16.68,0.59,2.421,13,(7.7%),3,1,622,(82.5%),10,(40.0%),14,3,2,23,(78.3%),8,(37.5%),15,(60.0%),24,1,0,1,0,41,9,121,10.7%,59.9%
第12節,東京ヴェルディ,Ｖ・ファーレン長崎,2,1,1,3,2019.5.5 15:00 Kick Off,晴,全面良芝,"7,085人",22.9℃,71.4%,59.4%,49.2%,48.7%,48.6%,34.8%,12.23,10.79,0.60,0.84,3.44,6.47,87.65,24.46,0.56,0.841,8,(25.0%),3,0,510,(81.6%),5,(20.0%),9,0,0,22,(81.8%),7,(57.1%),22,(72.7%),36,3,1,1,0,24,6,119,6.7%,51.1%
第13節,東京ヴェルディ,アビスパ福岡,3,2,1,3,2019.5.11 15:00 Kick Off,晴,全面良芝,"4,526人",25.9℃,29.5%,41.9%,46.3%,36.2%,34.5%,36.0%,9.98,8.24,1.01,0.72,6.16,6.01,90.56,20.21,0.21,1.209,11,(18.2%),4,0,319,(74.0%),10,(20.0%),13,1,5,12,(83.3%),7,(42.9%),23,(56.5%),20,7,4,1,0,20,14,124,8.9%,37.2%
第14節,レノファ山口ＦＣ,東京ヴェルディ,2,3,0,3,2019.5.19 14:00 Kick Off,曇時々雨,全面良芝,"5,576人",24.1℃,53.2%,66.6%,67.6%,61.7%,44.3%,50.3%,17.17,13.75,2.76,0.66,11.17,4.25,71.50,15.66,0.32,2.947,16,(18.8%),5,1,545,(83.5%),9,(55.6%),10,5,7,26,(88.5%),5,(40.0%),18,(66.7%),25,5,2,1,0,42,16,119,13.4%,58%
第15節,東京ヴェルディ,ジェフユナイテッド千葉,1,1,1,1,2019.5.25 15:00 Kick Off,晴,全面良芝,"8,545人",28.2℃,49.9%,48.0%,61.7%,61.2%,44.6%,49.1%,14.16,11.60,2.10,0.46,3.35,3.18,57.79,11.81,1.00,1.706,10,(10.0%),3,0,517,(81.8%),9,(44.4%),12,1,5,22,(100.0%),5,(60.0%),7,(71.4%),14,0,7,0,0,26,9,108,9.3%,52.7%
第16節,東京ヴェルディ,京都サンガF.C.,1,4,1,0,2019.6.2 14:00 Kick Off,曇,全面良芝,"4,326人",24.8℃,36.2%,33.7%,66.4%,57.9%,49.6%,28.9%,15.76,14.34,0.54,0.88,5.85,3.44,74.99,8.63,0.33,0.914,9,(11.1%),2,0,520,(83.3%),11,(9.1%),8,1,5,24,(100.0%),10,(50.0%),19,(63.2%),13,7,1,0,0,32,10,110,8.2%,45.6%
第17節,鹿児島ユナイテッドＦＣ,東京ヴェルディ,3,1,0,0,2019.6.9 13:00 Kick Off,曇,全面良芝,"5,992人",28.8℃,57.0%,56.7%,53.2%,61.2%,67.5%,56.6%,22.59,20.36,1.44,0.79,4.54,1.30,84.05,13.98,0.23,1.533,10,(10.0%),3,0,663,(84.2%),24,(12.5%),11,3,1,17,(76.5%),8,(50.0%),26,(65.4%),19,1,1,0,0,58,11,111,9.0%,58.3%
第18節,ヴァンフォーレ甲府,東京ヴェルディ,0,2,0,3,2019.6.15 18:00 Kick Off,雨,全面良芝,"4,870人",17.7℃,56.5%,52.7%,33.7%,42.9%,40.8%,48.7%,11.89,8.61,1.21,2.07,6.36,5.23,102.73,22.36,0.75,0.895,12,(16.7%),4,0,425,(72.7%),6,(33.3%),8,1,2,15,(80.0%),8,(87.5%),21,(81.0%),38,0,1,0,0,30,6,134,9.0%,45.8%
第19節,東京ヴェルディ,大宮アルディージャ,0,0,1,1,2019.6.22 19:00 Kick Off,曇のち雨,全面良芝,"5,886人",21.1℃,50.2%,39.9%,44.7%,49.3%,64.3%,45.7%,14.06,11.97,1.02,1.07,5.14,0.00,76.62,15.38,0.25,0.421,7,(0.0%),1,0,461,(76.8%),15,(13.3%),12,3,1,18,(72.2%),7,(71.4%),18,(72.2%),24,2,2,2,0,47,7,112,6.3%,48.8%
第20節,ＦＣ岐阜,東京ヴェルディ,1,2,0,3,2019.6.30 18:00 Kick Off,曇,全面良芝,"6,120人",26.1℃,70.7%,65.0%,77.9%,76.6%,62.2%,62.2%,33.69,27.97,4.33,1.38,7.57,2.93,72.51,8.20,0.00,1.867,13,(15.4%),5,1,812,(86.7%),27,(29.6%),6,1,6,34,(97.1%),15,(46.7%),12,(66.7%),19,1,0,1,0,86,21,110,11.8%,68.5%
第21節,東京ヴェルディ,横浜ＦＣ,2,3,1,0,2019.7.6 19:00 Kick Off,曇時々雨,全面良芝,"5,447人",22.5℃,71.4%,54.7%,47.5%,58.0%,54.5%,64.3%,19.42,17.40,1.14,0.88,5.62,7.16,77.59,10.54,0.93,1.039,8,(25.0%),3,0,654,(85.5%),15,(13.3%),10,1,4,21,(100.0%),11,(45.5%),14,(64.3%),23,1,4,2,0,44,7,110,7.3%,58.6%
第22節,ツエーゲン金沢,東京ヴェルディ,1,1,0,1,2019.7.14 19:00 Kick Off,雨,全面良芝,"4,130人",22.9℃,65.9%,68.0%,74.7%,57.6%,54.6%,54.4%,22.55,18.88,2.77,0.90,3.67,2.61,80.83,17.58,0.34,0.612,7,(14.3%),1,0,715,(86.2%),14,(35.7%),11,2,4,17,(100.0%),6,(50.0%),17,(70.6%),38,6,1,1,0,47,16,119,5.9%,62.9%
第23節,東京ヴェルディ,愛媛ＦＣ,3,2,1,3,2019.7.20 19:00 Kick Off,曇,全面良芝,"4,086人",26.8℃,59.0%,63.0%,46.5%,71.9%,61.6%,50.1%,19.60,17.96,0.45,1.19,7.38,8.89,66.36,11.46,0.75,0.932,10,(30.0%),5,0,743,(90.2%),9,(11.1%),10,2,3,15,(100.0%),5,(60.0%),18,(50.0%),15,3,2,0,0,37,7,97,10.3%,58.5%
第24節,東京ヴェルディ,ＦＣ町田ゼルビア,1,0,1,3,2019.7.27 19:00 Kick Off,晴,全面良芝,"5,603人",27.4℃,68.5%,67.1%,81.7%,70.9%,50.0%,67.3%,16.95,14.98,1.20,0.77,2.22,0.00,49.38,22.92,0.65,0.783,7,(0.0%),1,0,620,(81.3%),10,(20.0%),14,0,8,26,(88.5%),7,(42.9%),27,(55.6%),38,0,7,1,0,35,9,122,5.7%,68.4%
第25節,栃木ＳＣ,東京ヴェルディ,0,0,0,1,2019.7.31 19:00 Kick Off,曇,良芝,"3,765人",27.5℃,74.6%,76.2%,66.0%,76.0%,77.7%,78.3%,25.83,24.65,0.55,0.63,1.23,0.00,47.00,12.88,0.06,0.305,3,(0.0%),0,0,938,(90.7%),8,(12.5%),8,1,3,17,(88.2%),9,(44.4%),13,(76.9%),20,1,3,1,0,59,9,94,3.2%,75%
第26節,京都サンガF.C.,東京ヴェルディ,4,0,0,0,2019.8.4 18:00 Kick Off,晴,全面良芝,"8,845人",33.3℃,34.4%,48.3%,54.0%,39.2%,62.2%,54.5%,15.00,13.19,1.82,0.00,0.00,0.00,46.90,10.86,0.20,0.582,5,(0.0%),0,0,608,(87.0%),9,(33.3%),10,3,0,27,(96.3%),3,(0.0%),13,(46.2%),18,1,3,0,0,19,5,96,5.2%,49.1%
