Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,栃木ＳＣ,ツエーゲン金沢,0,0,1,1,2019.2.24 14:00 Kick Off,晴,全面良芝,"5,863人",11℃,54.0%,42.3%,50.8%,43.7%,47.9%,51.6%,10.41,6.51,1.66,2.25,0.00,0.00,73.09,26.36,0.62,0.622,8,(0.0%),0,0,314,(58.6%),20,(15.0%),18,0,5,28,(78.6%),19,(73.7%),25,(60.0%),35,1,1,1,0,23,6,135,5.9%,48.5%
第2節,水戸ホーリーホック,栃木ＳＣ,3,0,0,0,2019.3.3 14:00 Kick Off,雨,全面良芝,"5,939人",9.1℃,58.3%,44.8%,49.7%,46.1%,54.5%,50.9%,10.27,9.10,0.00,1.17,1.17,0.00,89.89,18.06,0.40,0.317,5,(0.0%),1,0,419,(72.6%),15,(0.0%),20,2,4,19,(89.5%),9,(66.7%),26,(42.3%),19,3,0,0,0,28,1,136,3.7%,50.6%
第3節,栃木ＳＣ,横浜ＦＣ,0,1,1,0,2019.3.10 14:00 Kick Off,曇,全面良芝,"4,829人",15.6℃,52.0%,41.2%,50.8%,41.8%,36.6%,46.5%,11.78,8.66,1.61,1.50,7.12,0.00,81.24,25.91,2.07,0.867,13,(0.0%),5,0,302,(59.9%),18,(16.7%),16,2,6,21,(66.7%),10,(50.0%),16,(81.3%),38,4,3,3,0,22,13,140,9.3%,45.6%
第4節,東京ヴェルディ,栃木ＳＣ,2,3,0,3,2019.3.16 14:00 Kick Off,曇のち雨,全面良芝,"3,245人",12.7℃,37.7%,39.6%,52.7%,53.6%,40.7%,40.1%,13.12,10.12,1.61,1.39,5.01,9.16,79.35,17.01,0.60,1.228,10,(30.0%),3,0,404,(71.8%),20,(20.0%),7,7,4,23,(82.6%),16,(50.0%),15,(40.0%),20,1,1,0,0,38,9,120,8.3%,44.1%
第5節,レノファ山口ＦＣ,栃木ＳＣ,0,1,0,3,2019.3.24 16:00 Kick Off,晴,全面良芝,"5,002人",15.7℃,39.9%,39.5%,45.9%,34.8%,36.1%,39.7%,7.12,4.85,1.72,0.54,3.78,0.31,68.38,35.31,1.76,1.431,9,(11.1%),3,1,265,(57.7%),11,(27.3%),12,2,4,28,(57.1%),7,(57.1%),16,(56.3%),56,1,3,0,0,14,6,137,6.6%,39.5%
第6節,栃木ＳＣ,モンテディオ山形,0,0,1,1,2019.3.30 14:00 Kick Off,曇,良芝,"4,152人",9.6℃,50.0%,57.2%,39.8%,42.7%,40.7%,36.9%,8.14,7.32,0.00,0.82,2.25,0.00,79.61,19.07,0.37,0.552,8,(0.0%),1,0,294,(60.9%),13,(0.0%),15,1,4,29,(65.5%),11,(36.4%),22,(59.1%),28,2,1,0,0,23,6,126,6.3%,44.6%
第7節,アビスパ福岡,栃木ＳＣ,2,1,0,0,2019.4.3 19:00 Kick Off,晴,全面良芝,"4,085人",13.2℃,36.9%,34.5%,38.9%,53.7%,43.8%,56.8%,8.79,7.84,0.00,0.95,3.50,1.30,83.66,21.03,0.24,0.458,4,(25.0%),3,0,369,(64.8%),11,(0.0%),15,1,5,33,(66.7%),7,(85.7%),18,(61.1%),53,2,3,2,0,24,3,140,2.9%,45.1%
第8節,栃木ＳＣ,京都サンガF.C.,1,2,1,0,2019.4.7 14:00 Kick Off,晴,良芝,"3,889人",19.8℃,45.9%,28.5%,36.5%,28.3%,57.9%,42.9%,10.96,9.85,0.00,1.11,1.91,1.23,110.91,10.94,0.33,0.729,7,(14.3%),1,0,422,(69.2%),14,(0.0%),15,3,6,26,(73.1%),15,(46.7%),29,(65.5%),12,5,1,0,0,35,1,144,4.9%,39.9%
第9節,柏レイソル,栃木ＳＣ,0,0,0,1,2019.4.14 15:00 Kick Off,曇一時雨,全面良芝,"7,498人",16.3℃,48.1%,45.7%,33.0%,38.2%,29.5%,33.9%,5.38,4.73,0.53,0.12,3.78,0.00,74.74,28.92,0.62,0.346,7,(0.0%),1,0,244,(54.5%),5,(20.0%),12,3,3,19,(57.9%),1,(100.0%),19,(68.4%),64,2,0,0,0,8,3,120,5.8%,37.9%
第10節,栃木ＳＣ,Ｖ・ファーレン長崎,1,3,1,0,2019.4.20 18:00 Kick Off,晴,全面良芝,"3,947人",13.8℃,40.9%,43.4%,56.6%,47.7%,51.7%,60.3%,17.12,11.45,3.60,2.07,4.95,0.31,107.08,12.35,0.45,2.052,18,(5.6%),2,1,476,(73.5%),26,(26.9%),18,4,4,19,(78.9%),17,(58.8%),32,(46.9%),20,0,1,3,0,33,17,136,13.2%,51.7%
