Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,鹿児島ユナイテッドＦＣ,徳島ヴォルティス,4,3,0,0,2019.2.24 13:00 Kick Off,雨,全面良芝,"7,483人",18.3℃,73.0%,74.1%,66.1%,67.4%,61.9%,54.8%,21.82,17.91,2.70,1.21,10.79,11.96,86.89,6.57,0.42,2.507,17,(17.6%),5,0,647,(86.6%),21,(23.8%),16,1,8,20,(85.0%),11,(45.5%),23,(78.3%),19,3,2,2,0,60,20,115,14.8%,67.1%
第2節,徳島ヴォルティス,ＦＣ岐阜,1,0,1,3,2019.3.3 14:00 Kick Off,曇,全面良芝,"7,898人",13.4℃,47.2%,56.2%,53.6%,64.3%,51.5%,49.7%,17.44,12.02,3.92,1.50,9.74,2.61,104.61,9.22,0.47,1.971,16,(6.3%),7,0,387,(71.6%),26,(26.9%),24,0,12,23,(65.2%),17,(29.4%),26,(69.2%),13,3,2,0,0,30,17,141,11.3%,53.3%
第3節,徳島ヴォルティス,大宮アルディージャ,0,1,1,0,2019.3.10 14:00 Kick Off,曇,全面良芝,"3,870人",13.2℃,53.7%,65.3%,66.0%,62.5%,44.3%,55.2%,13.04,10.69,1.47,0.88,2.63,0.00,81.81,17.17,0.09,0.819,8,(0.0%),2,0,516,(78.3%),11,(27.3%),11,0,6,23,(87.0%),9,(44.4%),24,(62.5%),19,3,4,0,0,28,6,117,6.8%,58%
第4節,ＦＣ琉球,徳島ヴォルティス,2,1,0,0,2019.3.16 18:00 Kick Off,曇,全面良芝,"3,460人",19℃,31.9%,46.5%,62.1%,65.3%,33.0%,62.5%,19.70,15.49,2.58,1.64,6.19,2.71,94.76,10.18,0.40,1.364,15,(6.7%),2,0,454,(76.2%),25,(20.0%),11,1,10,16,(100.0%),24,(37.5%),21,(61.9%),16,6,6,2,0,59,12,129,11.6%,51.2%
第5節,徳島ヴォルティス,東京ヴェルディ,1,1,1,1,2019.3.24 14:00 Kick Off,晴,全面良芝,"4,851人",12.3℃,54.1%,50.8%,42.6%,54.5%,34.3%,37.7%,14.43,11.81,1.05,1.57,7.44,3.44,79.58,14.13,0.16,1.362,15,(6.7%),6,0,450,(79.3%),16,(12.5%),7,0,3,22,(81.8%),13,(53.8%),23,(56.5%),17,3,1,1,0,39,9,116,12.9%,45%
第6節,徳島ヴォルティス,アルビレックス新潟,1,0,1,3,2019.3.30 14:00 Kick Off,雨,全面良芝,"4,088人",14.3℃,58.2%,51.6%,61.9%,53.0%,47.5%,37.4%,13.07,12.26,0.54,0.27,7.21,2.64,99.50,17.55,0.14,1.09,9,(11.1%),4,0,491,(75.2%),11,(9.1%),12,2,3,30,(83.3%),12,(25.0%),24,(75.0%),37,3,0,1,0,34,5,143,6.3%,51%
第7節,レノファ山口ＦＣ,徳島ヴォルティス,1,2,0,3,2019.4.3 19:00 Kick Off,曇,全面良芝,"3,806人",6.8℃,57.3%,48.8%,45.8%,56.3%,50.5%,50.1%,17.00,12.16,1.13,3.71,9.67,6.83,85.29,15.11,0.58,1.462,17,(11.8%),4,0,462,(72.5%),15,(13.3%),11,0,6,25,(84.0%),18,(72.2%),18,(50.0%),14,2,2,1,0,37,7,129,13.2%,51.6%
第8節,水戸ホーリーホック,徳島ヴォルティス,1,1,0,1,2019.4.7 14:00 Kick Off,晴時々曇,全面良芝,"5,359人",20℃,67.1%,62.4%,59.2%,61.3%,51.0%,56.6%,14.94,12.09,1.58,1.27,3.76,2.64,93.14,12.49,0.25,1.112,10,(10.0%),2,0,532,(73.9%),20,(15.0%),14,0,6,21,(71.4%),15,(40.0%),15,(86.7%),18,1,1,2,0,32,9,130,7.7%,59.8%
第9節,徳島ヴォルティス,愛媛ＦＣ,1,1,1,1,2019.4.14 16:00 Kick Off,雨,全面良芝,"5,386人",14.5℃,54.2%,44.5%,48.8%,60.5%,69.3%,68.5%,18.19,13.42,3.33,1.45,2.48,3.24,71.97,10.30,0.12,1.121,12,(8.3%),2,0,556,(80.6%),16,(37.5%),9,1,4,25,(92.0%),15,(46.7%),19,(84.2%),19,2,0,2,0,44,12,118,10.2%,57.2%
第10節,ファジアーノ岡山,徳島ヴォルティス,2,1,0,0,2019.4.20 19:00 Kick Off,晴,全面良芝,"7,720人",16.2℃,61.0%,56.4%,44.7%,59.7%,54.8%,65.1%,17.60,15.10,1.59,0.92,6.32,0.31,71.15,13.14,0.47,1.831,12,(8.3%),1,1,508,(73.8%),16,(18.8%),13,1,0,38,(89.5%),13,(53.8%),19,(63.2%),17,2,4,1,0,41,12,138,8.7%,57%
第11節,京都サンガF.C.,徳島ヴォルティス,0,0,0,1,2019.4.28 14:00 Kick Off,曇,全面良芝,"9,333人",19℃,52.1%,55.2%,43.9%,32.7%,34.9%,38.3%,16.84,9.52,5.11,2.20,6.15,0.00,71.07,12.51,0.14,2.031,11,(0.0%),4,0,359,(71.9%),20,(45.0%),9,1,5,21,(100.0%),13,(76.9%),21,(66.7%),14,1,2,0,0,28,14,117,9.4%,43.3%
第12節,徳島ヴォルティス,栃木ＳＣ,3,2,1,3,2019.5.5 14:00 Kick Off,晴,全面良芝,"5,778人",21.5℃,67.6%,69.0%,72.9%,63.1%,57.1%,69.7%,19.75,16.23,1.66,1.86,7.28,9.75,113.85,10.17,0.25,1.637,13,(23.1%),4,1,653,(80.2%),17,(17.6%),10,4,6,27,(77.8%),19,(52.6%),13,(92.3%),8,2,2,0,0,52,10,134,9.7%,66.3%
第13節,柏レイソル,徳島ヴォルティス,1,0,0,0,2019.5.12 15:00 Kick Off,晴,全面良芝,"7,785人",19.7℃,55.0%,59.1%,51.7%,66.3%,68.2%,60.9%,21.15,19.18,1.63,0.35,6.45,0.00,74.77,15.34,1.82,0.879,13,(0.0%),2,0,597,(81.9%),10,(40.0%),14,2,3,21,(85.7%),6,(33.3%),11,(81.8%),21,1,4,3,0,44,14,131,9.9%,59.9%
第14節,徳島ヴォルティス,モンテディオ山形,1,1,1,1,2019.5.19 14:00 Kick Off,曇,全面良芝,"5,207人",22.5℃,51.9%,51.5%,40.1%,32.1%,30.8%,32.4%,6.27,5.94,0.00,0.34,2.56,3.01,69.89,18.73,0.40,0.681,8,(12.5%),2,0,246,(68.7%),7,(0.0%),19,0,5,20,(55.0%),7,(28.6%),29,(69.0%),24,6,0,1,1,16,6,119,6.7%,39.7%
