Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,Ｖ・ファーレン長崎,横浜ＦＣ,1,0,0,0,2019.2.24 14:00 Kick Off,晴,全面良芝,"11,924人",18.5℃,54.3%,60.1%,41.3%,53.9%,52.4%,59.3%,13.32,10.65,2.28,0.40,8.22,0.00,83.17,13.90,0.26,1.509,13,(0.0%),3,0,505,(73.9%),22,(18.2%),9,3,5,23,(69.6%),7,(57.1%),24,(54.2%),18,1,2,0,1,34,7,118,11.0%,53.1%
第2節,横浜ＦＣ,モンテディオ山形,0,2,1,0,2019.3.3 14:00 Kick Off,雨,全面良芝,"3,787人",7.8℃,44.9%,54.2%,61.0%,68.5%,60.3%,65.1%,15.09,13.52,1.03,0.53,7.14,0.00,90.06,10.90,0.39,0.843,12,(0.0%),3,0,546,(78.0%),16,(12.5%),9,1,4,26,(80.8%),9,(33.3%),20,(60.0%),21,2,3,1,0,35,11,131,9.2%,59.1%
第3節,栃木ＳＣ,横浜ＦＣ,0,1,0,3,2019.3.10 14:00 Kick Off,曇,全面良芝,"4,829人",15.6℃,48.0%,58.8%,49.2%,58.2%,63.4%,53.5%,26.74,19.32,4.49,2.94,15.03,3.01,98.90,16.83,0.27,2.624,27,(3.7%),10,0,445,(72.4%),35,(22.9%),13,3,9,26,(84.6%),18,(55.6%),24,(70.8%),23,2,2,1,0,43,31,150,18.0%,54.4%
第4節,横浜ＦＣ,アルビレックス新潟,1,2,1,0,2019.3.16 14:00 Kick Off,曇のち晴,全面良芝,"6,222人",14.9℃,52.0%,68.6%,39.8%,51.6%,65.6%,57.3%,21.01,14.41,5.25,1.35,10.27,2.61,55.91,12.68,0.33,2.19,17,(5.9%),5,0,487,(78.9%),20,(50.0%),13,4,3,21,(71.4%),15,(33.3%),21,(52.4%),23,0,1,2,0,47,14,111,15.3%,56%
第5節,横浜ＦＣ,ＦＣ岐阜,2,0,1,3,2019.3.23 14:00 Kick Off,曇,全面良芝,"3,470人",9.4℃,50.9%,43.5%,46.5%,55.7%,50.0%,47.5%,15.22,12.95,2.22,0.05,7.21,2.95,123.87,14.82,0.40,2.342,11,(18.2%),5,1,462,(66.5%),20,(20.0%),8,3,6,39,(79.5%),8,(12.5%),37,(59.5%),18,4,2,2,0,36,10,147,7.5%,48.4%
第6節,ツエーゲン金沢,横浜ＦＣ,1,0,0,0,2019.3.30 14:00 Kick Off,雨,全面良芝,"2,543人",13.3℃,41.9%,42.2%,37.4%,46.9%,50.6%,46.7%,12.90,10.11,1.51,1.29,7.40,0.00,88.18,21.32,0.56,0.706,11,(0.0%),3,0,360,(63.3%),12,(25.0%),9,5,4,30,(80.0%),8,(37.5%),24,(54.2%),37,1,1,1,0,30,12,146,7.5%,43.9%
第7節,愛媛ＦＣ,横浜ＦＣ,1,2,0,3,2019.4.3 19:00 Kick Off,晴,全面良芝,"3,116人",7.4℃,42.7%,33.2%,36.6%,28.3%,30.1%,31.4%,10.80,10.16,0.60,0.04,4.03,5.51,81.70,13.83,0.04,0.794,5,(40.0%),2,0,397,(74.8%),5,(20.0%),5,3,0,21,(76.2%),5,(20.0%),21,(57.1%),17,4,1,3,0,26,10,103,4.9%,33.8%
第8節,横浜ＦＣ,アビスパ福岡,1,1,1,1,2019.4.7 14:00 Kick Off,晴,全面良芝,"11,260人",23.9℃,46.0%,31.2%,36.1%,41.8%,61.1%,54.7%,14.46,10.38,2.22,1.86,11.53,0.31,76.91,16.90,0.10,2.76,19,(5.3%),5,1,370,(69.5%),16,(31.3%),14,2,3,23,(69.6%),14,(50.0%),18,(55.6%),18,4,4,1,0,38,14,132,14.4%,45.3%
第9節,大宮アルディージャ,横浜ＦＣ,2,1,0,0,2019.4.14 14:00 Kick Off,曇,全面良芝,"9,865人",17.8℃,53.1%,41.2%,56.1%,53.8%,65.2%,67.1%,16.43,13.69,1.96,0.77,2.99,1.30,49.59,8.28,0.17,0.703,7,(14.3%),2,0,521,(79.8%),13,(30.8%),15,6,3,25,(80.0%),9,(33.3%),12,(58.3%),20,2,4,1,0,40,8,113,6.2%,56.6%
第10節,横浜ＦＣ,ジェフユナイテッド千葉,3,1,1,3,2019.4.21 14:00 Kick Off,晴,全面良芝,"6,143人",22.6℃,42.2%,43.7%,57.9%,64.5%,48.4%,51.9%,16.74,12.86,2.14,1.74,13.98,7.90,75.01,17.58,0.19,1.745,15,(20.0%),8,0,430,(73.7%),19,(21.1%),14,2,8,21,(61.9%),9,(66.7%),12,(50.0%),26,3,4,2,0,38,22,129,11.6%,51.7%
第11節,柏レイソル,横浜ＦＣ,0,0,0,1,2019.4.28 15:00 Kick Off,晴一時曇,全面良芝,"13,056人",18.7℃,42.6%,33.3%,35.4%,51.0%,46.3%,48.8%,11.71,10.34,0.98,0.39,7.14,0.00,82.63,22.65,0.55,1.026,12,(0.0%),3,0,419,(73.5%),6,(33.3%),13,5,4,19,(78.9%),9,(33.3%),24,(79.2%),36,4,1,2,0,19,10,131,9.2%,43%
第12節,横浜ＦＣ,京都サンガF.C.,1,3,1,0,2019.5.5 14:00 Kick Off,晴,全面良芝,"6,872人",26℃,53.0%,55.5%,47.7%,42.7%,54.7%,56.0%,13.90,11.11,1.48,1.31,6.08,2.61,89.30,10.70,0.31,0.721,11,(9.1%),2,0,463,(73.7%),24,(12.5%),14,1,4,31,(87.1%),10,(60.0%),29,(58.6%),22,1,1,1,0,34,14,126,8.7%,51.3%
第13節,横浜ＦＣ,ＦＣ町田ゼルビア,1,1,1,1,2019.5.12 14:00 Kick Off,曇のち晴,全面良芝,"5,581人",23℃,51.9%,62.1%,56.4%,60.6%,56.3%,50.6%,15.21,12.41,1.09,1.71,6.05,0.00,88.54,13.61,0.78,1.047,13,(0.0%),3,0,477,(68.3%),25,(8.0%),13,1,7,46,(78.3%),13,(53.8%),33,(75.8%),31,5,5,0,0,35,14,169,7.7%,56.4%
第14節,鹿児島ユナイテッドＦＣ,横浜ＦＣ,1,2,0,3,2019.5.18 15:00 Kick Off,雨,全面良芝,"4,437人",21.2℃,45.8%,58.3%,56.0%,53.9%,35.8%,38.6%,15.74,10.99,3.60,1.15,5.41,2.95,94.50,17.04,0.29,2.209,15,(13.3%),4,1,449,(78.8%),23,(30.4%),9,4,5,24,(83.3%),12,(25.0%),26,(61.5%),22,5,1,3,0,44,13,118,12.7%,47.6%
第15節,ヴァンフォーレ甲府,横浜ＦＣ,2,1,0,0,2019.5.25 16:00 Kick Off,晴,全面良芝,"8,045人",30.8℃,54.9%,45.6%,56.4%,63.6%,44.6%,64.6%,15.87,13.44,1.54,0.89,7.66,2.90,73.63,11.88,0.42,1.611,15,(6.7%),4,0,561,(83.4%),13,(23.1%),7,1,8,20,(80.0%),6,(50.0%),11,(54.5%),22,0,1,1,0,42,9,114,13.2%,55.2%
第16節,横浜ＦＣ,ＦＣ琉球,2,1,1,3,2019.6.2 14:00 Kick Off,曇,全面良芝,"4,433人",24.5℃,57.8%,40.5%,60.7%,48.6%,51.4%,52.4%,19.41,14.60,3.38,1.43,12.94,4.24,85.53,12.92,0.25,2.601,20,(10.0%),8,0,520,(82.5%),18,(33.3%),12,0,6,25,(88.0%),11,(45.5%),21,(85.7%),20,0,1,2,0,42,16,115,17.4%,52.4%
第17節,レノファ山口ＦＣ,横浜ＦＣ,1,1,0,1,2019.6.8 19:00 Kick Off,晴,良芝,"6,054人",19.8℃,50.6%,47.5%,57.8%,48.3%,44.8%,40.7%,12.39,9.86,1.64,0.90,11.17,0.31,63.73,14.63,0.45,2.913,22,(4.5%),8,1,435,(77.9%),10,(30.0%),12,1,7,34,(76.5%),9,(44.4%),10,(70.0%),26,4,0,3,0,29,8,136,16.2%,48.5%
第18節,横浜ＦＣ,徳島ヴォルティス,1,2,1,0,2019.6.15 18:00 Kick Off,雨のち曇,全面良芝,"2,111人",17℃,37.8%,61.8%,61.5%,64.3%,52.4%,57.7%,17.73,16.19,1.37,0.18,5.73,5.06,56.42,10.59,0.04,0.895,12,(8.3%),4,0,609,(83.9%),14,(21.4%),11,2,2,24,(91.7%),7,(14.3%),18,(55.6%),18,1,1,2,0,46,14,111,10.8%,55.6%
第19節,水戸ホーリーホック,横浜ＦＣ,1,1,0,1,2019.6.22 18:00 Kick Off,曇時々雨,全面良芝,"4,974人",22.1℃,45.4%,42.1%,51.0%,58.1%,40.2%,33.1%,8.57,6.15,2.22,0.21,4.05,3.68,77.96,24.38,0.58,0.84,9,(11.1%),2,0,341,(63.9%),14,(28.6%),9,0,2,31,(77.4%),7,(28.6%),24,(70.8%),44,0,0,3,1,19,5,134,6.7%,43.6%
第20節,横浜ＦＣ,ファジアーノ岡山,5,1,1,3,2019.6.29 18:00 Kick Off,曇一時雨,全面良芝,"5,021人",21.9℃,63.0%,47.8%,62.7%,47.4%,52.0%,52.4%,18.07,15.04,1.57,1.46,12.95,14.28,81.05,14.46,0.12,1.358,13,(38.5%),6,0,584,(81.8%),21,(14.3%),10,2,6,20,(90.0%),13,(53.8%),19,(63.2%),30,3,1,0,0,47,10,122,10.7%,54.8%
第21節,東京ヴェルディ,横浜ＦＣ,2,3,0,3,2019.7.6 19:00 Kick Off,曇時々雨,全面良芝,"5,447人",22.5℃,28.6%,45.3%,52.5%,42.0%,45.5%,35.7%,15.14,11.25,2.15,1.74,14.67,12.51,75.01,14.27,0.10,1.6,18,(16.7%),10,0,421,(79.3%),12,(33.3%),5,4,3,19,(100.0%),10,(50.0%),18,(66.7%),32,4,1,0,0,36,10,101,17.8%,41.4%
第22節,アルビレックス新潟,横浜ＦＣ,0,2,0,3,2019.7.13 19:00 Kick Off,晴,全面良芝,"16,638人",24.1℃,54.6%,57.5%,34.8%,49.2%,55.3%,48.8%,16.11,13.96,1.13,1.02,7.73,5.35,67.29,16.71,0.53,1.027,11,(18.2%),4,0,533,(82.9%),14,(14.3%),8,3,4,17,(70.6%),8,(37.5%),20,(45.0%),26,1,0,1,0,48,6,110,10.0%,50.4%
第23節,横浜ＦＣ,栃木ＳＣ,2,1,1,3,2019.7.20 18:00 Kick Off,曇,良芝,"4,733人",27.4℃,70.8%,59.9%,62.3%,64.0%,64.4%,58.6%,16.99,15.82,0.51,0.66,4.49,8.34,67.63,11.72,0.10,0.941,10,(20.0%),4,0,538,(80.7%),11,(9.1%),17,2,4,25,(76.0%),6,(50.0%),11,(72.7%),21,1,1,0,0,43,10,118,8.5%,63.1%
第24節,ジェフユナイテッド千葉,横浜ＦＣ,1,3,0,3,2019.7.27 18:00 Kick Off,晴,全面良芝,"10,313人",28.8℃,59.8%,72.1%,46.7%,55.6%,32.4%,42.6%,13.45,11.13,1.08,1.23,11.02,8.27,58.32,11.86,0.35,1.524,14,(21.4%),7,0,459,(82.4%),11,(18.2%),18,3,4,22,(86.4%),11,(45.5%),17,(58.8%),21,2,5,4,0,35,6,105,13.3%,52.4%
第25節,横浜ＦＣ,レノファ山口ＦＣ,4,1,1,3,2019.7.31 19:30 Kick Off,晴,全面良芝,"5,530人",28.5℃,51.6%,50.0%,54.4%,50.5%,39.1%,57.7%,20.25,14.82,3.94,1.49,10.78,7.86,60.83,15.08,0.04,2.236,15,(26.7%),8,0,476,(79.4%),21,(33.3%),14,1,6,26,(84.6%),13,(30.8%),10,(40.0%),17,3,4,0,0,44,12,119,12.6%,50.9%
第26節,アビスパ福岡,横浜ＦＣ,0,2,0,3,2019.8.4 18:00 Kick Off,晴,全面良芝,"10,824人",32.2℃,53.3%,62.0%,53.1%,37.4%,56.0%,45.5%,12.14,9.30,2.60,0.24,8.47,6.75,54.91,15.39,0.40,0.794,10,(20.0%),5,0,487,(84.2%),14,(35.7%),7,2,6,16,(75.0%),5,(20.0%),10,(50.0%),16,0,4,0,0,26,8,95,10.5%,50.1%
第27節,横浜ＦＣ,水戸ホーリーホック,0,0,1,1,2019.8.10 18:00 Kick Off,晴,全面良芝,"10,586人",28.7℃,65.9%,66.0%,56.7%,57.5%,45.2%,64.1%,19.47,14.54,3.18,1.75,3.79,0.00,64.37,14.99,0.48,1.332,13,(0.0%),1,0,597,(81.1%),22,(27.3%),13,2,5,17,(64.7%),9,(66.7%),14,(71.4%),20,0,3,0,0,44,16,112,11.6%,59.6%
第28節,ＦＣ琉球,横浜ＦＣ,1,3,0,3,2019.8.17 19:00 Kick Off,晴,全面良芝,"12,019人",27.8℃,64.1%,59.8%,43.6%,61.7%,59.1%,20.8%,16.66,13.17,2.82,0.68,9.42,13.86,57.81,9.41,0.19,1.241,13,(23.1%),4,0,497,(86.3%),13,(38.5%),10,1,7,14,(78.6%),6,(33.3%),15,(86.7%),14,3,3,0,0,37,15,91,14.3%,51%
第29節,横浜ＦＣ,鹿児島ユナイテッドＦＣ,5,1,1,3,2019.8.24 18:00 Kick Off,晴,全面良芝,"6,800人",28℃,42.6%,38.2%,43.4%,33.7%,33.4%,47.4%,12.90,11.00,0.51,1.39,14.68,19.02,70.06,19.42,0.15,1.547,19,(26.3%),10,0,379,(77.8%),7,(14.3%),15,2,3,14,(78.6%),6,(50.0%),26,(69.2%),21,3,2,1,0,28,13,108,17.6%,40.9%
第30節,モンテディオ山形,横浜ＦＣ,0,0,0,1,2019.8.31 19:00 Kick Off,晴,全面良芝,"11,789人",23.2℃,76.0%,59.4%,72.3%,56.6%,64.6%,52.5%,20.82,17.13,2.20,1.49,9.92,0.00,55.45,9.74,0.00,1.082,16,(0.0%),7,0,617,(87.4%),17,(23.5%),11,2,7,17,(94.1%),10,(60.0%),14,(50.0%),11,2,3,1,0,53,15,101,15.8%,64%
第31節,横浜ＦＣ,ヴァンフォーレ甲府,3,2,1,3,2019.9.7 18:00 Kick Off,晴,全面良芝,"8,729人",29.1℃,39.4%,67.4%,66.2%,55.4%,52.2%,31.6%,13.91,11.26,1.68,0.98,5.60,5.11,59.61,14.65,0.98,1.936,12,(25.0%),5,0,418,(79.7%),9,(33.3%),8,1,4,17,(88.2%),5,(80.0%),15,(40.0%),26,0,2,0,0,32,10,96,12.5%,51.7%
第32節,横浜ＦＣ,大宮アルディージャ,0,0,1,1,2019.9.15 18:00 Kick Off,晴,全面良芝,"12,189人",27.4℃,43.1%,34.2%,55.9%,64.2%,48.4%,56.7%,18.84,14.51,2.76,1.57,5.46,0.00,65.92,16.67,0.10,1.857,18,(0.0%),2,0,492,(78.9%),25,(20.0%),13,3,2,25,(84.0%),15,(60.0%),20,(60.0%),24,1,1,0,0,43,17,112,16.1%,50.9%
第33節,ＦＣ町田ゼルビア,横浜ＦＣ,0,0,0,1,2019.9.22 16:00 Kick Off,曇のち雨,全面良芝,"6,198人",25.2℃,55.7%,56.5%,49.3%,61.6%,56.2%,59.3%,17.46,13.72,2.67,1.07,5.21,0.00,62.96,19.45,0.00,1.69,14,(0.0%),4,0,537,(73.4%),15,(33.3%),9,2,0,36,(97.2%),8,(50.0%),16,(50.0%),25,0,6,0,0,44,15,123,11.4%,56.1%
第34節,ＦＣ岐阜,横浜ＦＣ,1,1,0,1,2019.9.29 18:00 Kick Off,曇,全面良芝,"11,787人",27.8℃,75.9%,73.2%,74.8%,56.4%,48.7%,53.7%,27.41,23.37,2.29,1.76,8.57,2.61,73.52,13.92,1.10,1.73,18,(5.6%),3,0,764,(84.9%),21,(23.8%),7,3,5,19,(84.2%),13,(46.2%),14,(57.1%),23,1,3,1,0,63,20,116,15.5%,64.9%
第35節,横浜ＦＣ,柏レイソル,1,0,1,3,2019.10.6 14:00 Kick Off,曇のち晴,全面良芝,"11,480人",22.8℃,49.4%,48.7%,58.6%,50.8%,58.6%,49.9%,13.22,10.67,2.21,0.35,7.26,2.61,55.54,18.27,0.07,0.601,10,(10.0%),4,0,449,(81.1%),24,(16.7%),15,0,6,21,(81.0%),12,(25.0%),20,(35.0%),28,1,0,1,0,29,11,111,9.0%,52.9%
第36節,横浜ＦＣ,ツエーゲン金沢,3,2,1,3,2019.10.15 19:00 Kick Off,曇,全面良芝,"2,575人",18.8℃,59.0%,56.1%,46.3%,62.4%,75.4%,58.2%,18.09,16.50,0.00,1.59,13.68,4.15,90.21,9.63,0.23,3.034,22,(13.6%),11,1,612,(84.0%),11,(0.0%),16,0,8,17,(88.2%),8,(75.0%),15,(93.3%),27,0,2,0,0,48,8,123,17.9%,59.3%
第37節,京都サンガF.C.,横浜ＦＣ,3,0,0,0,2019.10.19 14:00 Kick Off,雨,全面良芝,"8,350人",21.8℃,41.8%,33.5%,54.5%,39.4%,54.9%,56.8%,16.63,13.82,2.07,0.75,8.12,0.00,94.43,6.99,0.26,1.432,14,(0.0%),4,0,491,(80.4%),15,(33.3%),7,1,4,23,(82.6%),10,(60.0%),21,(81.0%),14,3,1,2,0,40,13,110,12.7%,47.2%
第38節,横浜ＦＣ,東京ヴェルディ,2,1,1,3,2019.10.27 14:00 Kick Off,晴,全面良芝,"8,757人",23.8℃,40.6%,56.3%,41.6%,51.1%,31.9%,47.6%,14.13,12.38,1.05,0.69,5.85,6.90,85.33,12.30,0.25,0.798,8,(25.0%),3,0,433,(84.8%),13,(15.4%),13,4,2,20,(75.0%),7,(42.9%),21,(71.4%),17,2,5,1,0,38,11,104,7.7%,45.4%
第39節,横浜ＦＣ,Ｖ・ファーレン長崎,2,0,1,3,2019.11.3 14:00 Kick Off,曇,全面良芝,"9,064人",19.6℃,72.5%,49.7%,46.3%,45.0%,45.3%,52.8%,20.48,17.30,2.67,0.50,9.10,4.68,63.88,11.12,0.43,2.025,15,(13.3%),4,0,615,(87.6%),16,(31.3%),9,1,5,9,(88.9%),7,(28.6%),11,(72.7%),27,2,1,0,0,39,14,85,17.6%,52.5%
第40節,徳島ヴォルティス,横浜ＦＣ,0,1,0,3,2019.11.10 14:00 Kick Off,晴,全面良芝,"10,526人",17.5℃,49.5%,43.1%,38.7%,39.9%,53.9%,38.2%,10.69,9.55,0.54,0.59,3.54,3.01,53.75,12.93,0.13,0.54,7,(14.3%),1,0,364,(82.1%),8,(12.5%),10,0,6,19,(84.2%),9,(33.3%),19,(52.6%),25,0,2,3,0,27,6,89,7.9%,43.7%
第41節,ファジアーノ岡山,横浜ＦＣ,0,1,0,3,2019.11.16 14:00 Kick Off,晴,全面良芝,"17,288人",19.4℃,74.1%,39.7%,39.5%,48.0%,41.9%,28.1%,10.16,9.55,0.00,0.61,3.32,3.92,55.28,17.56,0.45,0.724,10,(10.0%),2,0,425,(79.8%),8,(0.0%),12,5,3,19,(89.5%),7,(42.9%),11,(54.5%),28,2,3,0,0,27,7,95,10.5%,45.4%
第42節,横浜ＦＣ,愛媛ＦＣ,2,0,1,3,2019.11.24 14:00 Kick Off,曇,全面良芝,"12,937人",20.5℃,41.9%,52.4%,46.4%,59.0%,34.0%,54.1%,15.41,12.09,2.26,1.05,6.32,3.32,65.48,12.10,0.00,1.85,10,(20.0%),2,1,526,(85.4%),8,(50.0%),9,3,7,17,(88.2%),8,(62.5%),19,(89.5%),15,4,1,0,0,31,11,103,9.7%,48.6%
第1節,ヴィッセル神戸,横浜ＦＣ,1,1,0,1,2020.2.23 16:00 Kick Off,晴,全面良芝,"25,059人",12℃,36.9%,34.5%,40.9%,23.5%,26.2%,42.6%,7.42,5.99,0.46,0.97,2.38,3.08,76.12,22.00,0.67,0.36,4,(25.0%),2,0,350,(72.6%),9,(11.1%),7,0,0,21,(81.0%),10,(50.0%),20,(75.0%),44,0,1,1,0,19,4,108,3.7%,34.6%
第2節,横浜ＦＣ,北海道コンサドーレ札幌,1,2,1,0,2020.7.4 18:00 Kick Off,曇,全面良芝,0人,25.8℃,55.5%,58.1%,57.1%,38.2%,58.1%,72.2%,22.19,18.85,1.61,1.73,5.92,2.98,81.28,14.44,0.10,1.106,11,(9.1%),3,0,621,(84.9%),14,(21.4%),8,1,4,20,(90.0%),11,(54.5%),15,(66.7%),12,1,2,1,0,55,22,107,10.3%,57.3%
第3節,柏レイソル,横浜ＦＣ,1,3,0,3,2020.7.8 18:30 Kick Off,曇,全面良芝,0人,23.1℃,47.5%,52.3%,64.2%,51.1%,52.4%,40.9%,9.67,9.54,0.00,0.13,3.92,5.78,84.85,15.57,1.06,0.667,4,(50.0%),2,0,478,(80.1%),6,(0.0%),7,3,1,28,(75.0%),9,(22.2%),18,(66.7%),30,4,3,1,0,34,5,116,3.4%,51.1%
