Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,ＦＣ岐阜,モンテディオ山形,2,0,0,0,2019.2.24 14:00 Kick Off,晴,全面良芝,"8,878人",14.9℃,38.8%,24.8%,54.1%,58.8%,55.8%,55.4%,18.17,11.45,4.23,2.49,7.04,0.00,89.76,12.88,0.00,1.298,14,(0.0%),4,0,445,(70.6%),35,(22.9%),12,2,9,33,(90.9%),15,(73.3%),30,(76.7%),20,0,1,2,0,29,13,144,9.7%,47.7%
第2節,横浜ＦＣ,モンテディオ山形,0,2,0,3,2019.3.3 14:00 Kick Off,雨,全面良芝,"3,787人",7.8℃,55.1%,45.8%,39.0%,31.5%,39.7%,34.9%,10.88,8.79,1.07,1.02,7.71,5.22,95.29,18.55,0.34,1.347,9,(22.2%),5,0,358,(74.9%),8,(25.0%),18,3,5,19,(52.6%),10,(30.0%),26,(69.2%),34,5,1,2,0,25,5,130,6.9%,40.9%
第3節,ＦＣ町田ゼルビア,モンテディオ山形,0,3,0,3,2019.3.10 14:00 Kick Off,曇,全面良芝,"4,172人",17.9℃,52.0%,59.6%,49.3%,42.6%,53.7%,42.0%,5.43,4.70,0.00,0.74,10.26,6.46,80.23,17.09,0.41,2.846,12,(25.0%),4,0,258,(46.9%),17,(0.0%),14,2,9,35,(65.7%),12,(50.0%),40,(52.5%),46,2,1,2,0,14,3,145,8.3%,49%
第4節,モンテディオ山形,大宮アルディージャ,1,0,1,3,2019.3.17 14:00 Kick Off,曇,全面良芝,"10,122人",7.6℃,47.6%,40.4%,43.4%,36.9%,43.5%,35.2%,9.19,8.18,0.51,0.50,7.53,0.31,94.23,20.87,0.61,1.744,11,(9.1%),5,1,305,(59.0%),13,(7.7%),11,4,3,26,(92.3%),10,(20.0%),20,(70.0%),52,4,3,1,0,29,8,131,8.4%,41.4%
第5節,モンテディオ山形,ＦＣ琉球,1,1,1,1,2019.3.24 14:00 Kick Off,晴,全面良芝,"6,411人",5.1℃,42.5%,41.3%,34.7%,37.9%,37.6%,47.9%,12.23,8.30,2.73,1.20,5.53,1.23,106.25,13.93,0.23,2.762,14,(7.1%),2,0,347,(63.7%),20,(25.0%),12,2,2,22,(77.3%),10,(50.0%),16,(81.3%),21,4,5,3,0,32,11,137,10.2%,40.6%
第6節,栃木ＳＣ,モンテディオ山形,0,0,0,1,2019.3.30 14:00 Kick Off,曇,良芝,"4,152人",9.6℃,50.0%,42.8%,60.2%,57.3%,59.3%,63.1%,13.35,11.08,1.01,1.26,1.44,0.00,73.20,14.81,0.04,0.754,8,(0.0%),1,0,427,(71.2%),21,(9.5%),18,1,6,29,(86.2%),15,(66.7%),24,(58.3%),26,0,1,0,0,34,11,130,6.2%,55.4%
第7節,京都サンガF.C.,モンテディオ山形,0,1,0,3,2019.4.3 19:00 Kick Off,晴,全面良芝,"4,525人",8.1℃,43.8%,49.4%,53.7%,37.9%,45.2%,38.1%,14.01,12.17,0.00,1.84,5.90,0.00,83.23,10.39,0.00,0.588,8,(0.0%),2,0,448,(74.8%),15,(0.0%),7,1,0,41,(80.5%),14,(50.0%),27,(59.3%),24,1,0,0,0,31,6,112,7.1%,44.3%
第8節,モンテディオ山形,東京ヴェルディ,2,1,1,3,2019.4.7 14:00 Kick Off,曇時々晴,全面良芝,"5,959人",14.7℃,43.4%,53.2%,37.7%,51.6%,41.9%,57.5%,19.75,16.80,0.58,2.37,7.05,6.41,119.61,14.71,0.00,0.749,10,(20.0%),5,0,523,(70.7%),24,(4.2%),13,1,3,29,(82.8%),13,(76.9%),29,(65.5%),18,4,1,0,0,56,14,141,7.1%,48%
第9節,アルビレックス新潟,モンテディオ山形,2,2,0,1,2019.4.13 14:00 Kick Off,晴,全面良芝,"15,186人",15.4℃,47.7%,60.3%,43.2%,54.3%,34.1%,41.4%,13.26,10.94,1.63,0.69,6.74,5.25,110.81,22.13,0.41,1.075,9,(22.2%),3,0,403,(65.5%),11,(27.3%),5,1,5,23,(82.6%),9,(44.4%),34,(73.5%),48,4,0,1,0,37,9,134,6.7%,46%
第10節,モンテディオ山形,レノファ山口ＦＣ,0,1,1,0,2019.4.21 14:00 Kick Off,曇,全面良芝,"6,713人",17.4℃,46.4%,35.6%,33.1%,50.7%,44.4%,60.3%,13.66,11.32,1.56,0.78,6.11,0.00,61.10,14.35,0.69,0.955,11,(0.0%),3,0,381,(66.9%),18,(22.2%),12,3,7,31,(80.6%),11,(54.5%),14,(71.4%),25,4,0,1,0,43,9,136,8.1%,44.8%
