round,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
date,2.20,2.26,3.5,3.12,3.19,3.23,3.30,4.3,4.9,4.16,4.23,4.27,4.30,5.4,5.8,5.14,5.21,5.25,5.29,6.5,6.11,6.18,6.26,7.3,7.6,7.10,7.17,7.23,7.30,8.6,8.13,8.20,8.27,9.3,9.10,9.14,9.18,9.25,10.1,10.9,10.16,10.23
day,(日),(土),(土),(土),(土),(水),(水),(日),(土),(土),(土),(水),(土),(水),(日),(土),(土),(水),(日),(日),(土),(土),(日),(日),(水),(日),(日),(土),(土),(土),(土),(土),(土),(土),(土),(水),(日),(日),(土),(日),(日),(日)
team,町田,千葉,岩手,山口,水戸,大分,東京Ｖ,横浜FC,岡山,群馬,仙台,金沢,新潟,秋田,熊本,栃木,甲府,大宮,徳島,山形,長崎,岡山,町田,東京Ｖ,岩手,仙台,大宮,徳島,熊本,甲府,長崎,山形,水戸,秋田,新潟,群馬,山口,栃木,横浜FC,金沢,千葉,大分
score,0-0,1-2,1-2,3-2,1-2,1-4,2-5,1-3,3-3,0-1,0-2,1-1,1-1,1-2,2-0,1-0,1-1,0-1,3-3,0-4,1-2,0-1,0-1,1-2,1-0,1-1,1-1,0-0,2-0,2-5,3-2,2-2,0-0,0-1,0-3,0-0,,,,,,
HorA,A,H,H,A,H,A,H,A,H,H,A,H,H,A,A,H,H,A,H,A,H,A,H,A,A,H,H,A,H,A,A,H,A,H,A,A,H,A,H,A,A,H
stadium,Ｇスタ,タピスタ,タピスタ,みらスタ,タピスタ,昭和電ド,タピスタ,ニッパツ,タピスタ,タピスタ,ユアスタ,タピスタ,タピスタ,ソユスタ,えがおＳ,タピスタ,タピスタ,ＮＡＣＫ,タピスタ,ＮＤスタ,タピスタ,Ｃスタ,タピスタ,味スタ,いわスタ,タピスタ,タピスタ,鳴門大塚,タピスタ,ＪＩＴス,トラスタ,タピスタ,Ｋｓスタ,タピスタ,デンカＳ,正田スタ,タピスタ,栃木グ,タピスタ,石川西部,フクアリ,タピスタ
spectator,"2,456","2,234","1,249","2,694","1,543","3,420","1,254","2,508","1,551","1,521","6,657",926,"1,793","2,019","3,140","1,798","1,963","3,526","2,033","5,849","1,423","6,251","1,907","2,520","1,044","2,012","2,285","3,575","4,537","5,796","6,227","3,392","3,126",608,"16,336","1,882",,,,,,
wether,曇のち雨,曇のち晴,晴,曇時々晴,曇,屋内,曇,雨,晴,晴,晴,曇一時雨,曇,晴,晴,雨,晴,曇,晴,晴,曇,晴,晴,曇,晴,晴,曇,晴,晴時々雨,晴,晴,晴,晴,雨,晴,晴,,,,,,
AGI,38,40,46,37,43,46,45,43,46,36,37,44,50,43,26,45,34,45,61,42,35,48,37,37,24,56,55,53,44,59,60,54,53,68,50,,,,,,,
KAGI,61,47,45,46,33,55,38,50,35,42,44,45,57,30,48,47,40,59,51,41,47,49,61,37,34,51,49,56,62,54,60,54,46,100,46,,,,,,,
chances,6.3%,10.2%,11.7%,7.8%,7.5%,16.4%,9.3%,11.1%,9.3%,10.1%,6.3%,11.2%,14.7%,6.2%,5.9%,8.4%,5.8%,12.3%,14.6%,7.2%,5.6%,9.7%,7.7%,9.0%,5.6%,16.0%,8.7%,7.1%,4.9%,14.3%,12.3%,6.9%,7.3%,6.5%,4.3%,,,,,,,
shots,7,11,15,9,9,18,10,13,11,11,7,13,16,9,8,11,7,14,15,8,7,11,8,10,7,16,10,7,6,15,13,7,9,11,4,,,,,,,
shot_success,0.0%,9.1%,6.7%,22.2%,11.1%,5.6%,20.0%,7.7%,27.3%,0.0%,0.0%,7.7%,6.3%,11.1%,25.0%,9.1%,14.3%,0.0%,20.0%,0.0%,14.3%,0.0%,0.0%,10.0%,14.3%,6.3%,10.0%,0.0%,33.3%,13.3%,23.1%,28.6%,0.0%,0.0%,0.0%,,,,,,,
control,50.3%,59.7%,55.4%,44.6%,57.4%,41.1%,45.3%,44.0%,53.3%,68.1%,46.3%,58.9%,43.3%,61.0%,47.4%,54.8%,49.0%,66.4%,50.7%,52.8%,48.7%,54.9%,52.8%,35.4%,48.4%,40.6%,46.7%,29.2%,35.1%,46.1%,42.5%,29.3%,39.9%,58.6%,25.3%,,,,,,,
attack_cbp,11.68,17.15,19.30,11.90,14.54,13.90,14.11,16.21,14.85,15.81,12.42,16.24,13.71,14.97,11.61,15.26,10.80,20.64,21.49,15.84,9.62,13.76,9.22,6.87,5.78,13.56,9.24,7.22,5.83,15.67,15.17,8.53,9.55,13.86,3.59,,,,,,,
pass_cbp,10.78,15.04,14.54,10.27,12.92,12.32,11.69,15.11,10.48,13.14,11.22,12.51,12.63,12.10,8.83,12.39,8.28,16.86,13.74,14.27,8.86,11.86,7.20,6.34,4.61,10.78,6.53,6.18,5.20,11.25,9.26,6.62,7.50,10.80,3.07,,,,,,,
seizure,67.33,67.02,70.80,87.42,98.90,78.28,79.75,96.01,91.65,61.31,71.79,73.06,77.67,85.89,110.31,100.75,82.52,76.22,65.21,73.15,85.40,82.18,70.20,73.84,59.08,83.79,76.48,67.49,104.35,87.70,83.85,76.58,98.31,66.48,53.93,,,,,,,
diffence,12.82,9.78,14.02,15.70,12.94,8.89,11.21,15.87,15.88,14.32,15.53,13.92,11.71,18.65,18.66,15.36,14.14,10.38,11.33,14.09,12.35,16.50,10.36,22.31,18.52,10.39,11.20,9.97,14.30,8.66,10.86,15.15,11.22,6.78,14.86,,,,,,,
scorers,,中野,中野,"阿部,野田,OG",草野,清武,"草野,野田",金井,"上里,中野,池田",,,草野,草野,草野,"草野,上原慎",草野,上原慎,,"清武,中野,富所",,野田,,,ケルヴィン,大森,中野,金井,,"阿部,サダムスレイ","サダムスレイ,中野","人見x2,サダムスレイ","阿部,人見",,,,,,,,,,
bosses,喜名　哲裕,喜名　哲裕,喜名　哲裕,喜名　哲裕,喜名　哲裕,喜名　哲裕,喜名　哲裕,喜名　哲裕,喜名　哲裕,喜名　哲裕,喜名　哲裕,喜名　哲裕,喜名　哲裕,喜名　哲裕,喜名　哲裕,倉貫　一毅,倉貫　一毅,倉貫　一毅,喜名　哲裕,喜名　哲裕,倉貫　一毅,倉貫　一毅,ナチョ　フェルナンデス,ナチョ　フェルナンデス,ナチョ　フェルナンデス,ナチョ　フェルナンデス,ナチョ　フェルナンデス,ナチョ　フェルナンデス,ナチョ　フェルナンデス,ナチョ　フェルナンデス,ナチョ　フェルナンデス,ナチョ　フェルナンデス,ナチョ　フェルナンデス,ナチョ　フェルナンデス,ナチョ　フェルナンデス,ナチョ　フェルナンデス,,,,,,
