Round,AGI,KAGI
1,51,56
2,52,51
3,58,47
4,59,34
5,56,54
6,55,40
7,53,100
8,50,39
9,49,56
10,57,48
11,51,57
12,53,55
13,65,64
14,55,55
15,57,55
16,56,51
17,54,53
18,57,65
19,42,57
20,59,64
21,53,44
22,53,59
23,57,61
24,50,46
25,53,46
26,56,56
27,60,51
28,63,66
29,57,49
30,56,54
31,59,55
32,54,50
33,64,51
34,62,49
35,42,48
36,70,68
37,65,54
38,65,28
39,50,62
40,57,59
41,66,56
42,66,52
1,34,49
2,52,59
3,53,45
4,40,40
5,48,48
6,33,50
7,42,50
8,41,44
9,50,53
10,39,49
11,48,65
12,47,52
13,42,70
14,45,48
15,36,31
16,41,48
17,56,52
18,45,48
19,48,45
20,40,52
21,52,49
22,52,48
23,57,53
24,49,48
25,49,38
26,58,39
27,36,50
28,64,47
29,44,56
30,49,66
31,50,49
32,59,57
33,51,37
35,45,42
36,50,50
37,58,55
38,55,58
39,42,54
34,56,65
40,45,40
41,51,51
42,48,46
1,39,56
2,53,51
3,49,54
4,52,49
5,37,46
6,51,53
7,78,61
8,50,52
9,55,56
10,56,53
11,46,47
12,25,41
13,66,62
14,59,35
15,40,42
16,57,37
17,54,54
18,41,39
19,56,52
20,57,58
21,45,51
22,55,60
23,40,50
24,46,39
25,51,65
26,51,42
27,50,45
28,48,47
29,57,44
30,53,60
31,44,60
32,52,56
33,58,64
34,50,67
35,41,55
36,62,54
37,48,52
38,69,61
39,50,62
40,61,50
41,53,59
42,48,53
1,57,59
2,65,53
3,56,58
4,78,50
5,57,48
6,58,54
7,67,39
8,56,55
9,45,57
10,48,57
11,40,56
12,59,60
13,58,66
14,65,65
15,43,58
16,46,48
17,60,66
18,50,46
19,41,48
20,49,51
21,53,51
22,53,66
23,40,46
24,63,57
25,47,48
26,46,34
27,43,59
29,56,59
30,46,42
31,52,57
28,42,53
32,58,44
33,50,45
34,50,74
35,60,67
36,56,62
37,47,45
38,49,48
39,64,67
40,63,62
41,48,45
