Round,AGI,KAGI
1,62,49
2,68,37
3,63,52
4,66,45
5,63,43
6,77,64
7,68,47
8,61,50
9,64,59
10,65,47
11,76,50
12,61,37
13,59,43
14,57,50
15,56,47
16,64,49
17,70,62
18,80,57
19,63,44
20,66,56
21,61,34
22,62,53
23,66,56
24,81,60
25,70,38
26,44,44
27,59,40
28,83,46
29,57,49
30,73,51
31,67,56
32,59,54
33,51,54
34,59,50
35,69,48
36,69,37
37,52,39
38,66,49
39,56,55
40,49,46
41,60,49
42,64,49
1,51,66
2,53,55
3,49,47
4,60,57
5,12,57
6,30,49
7,37,36
8,45,57
9,41,48
10,45,52
11,48,64
12,63,60
13,49,58
14,43,60
15,48,50
16,31,61
17,47,48
18,50,48
19,47,54
20,46,53
21,54,48
22,33,40
23,59,56
24,49,61
25,49,53
26,45,47
27,25,53
28,46,43
29,44,56
30,61,71
31,52,54
32,46,45
33,51,56
34,45,50
35,51,43
36,38,56
37,55,64
38,62,64
39,55,63
40,53,53
41,54,51
42,41,53
1,54,56
2,39,41
3,56,49
4,37,55
5,54,63
6,53,91
7,50,47
8,42,45
9,43,60
10,49,58
11,53,57
12,53,49
13,53,48
14,51,44
15,54,52
16,52,74
17,45,59
18,42,42
19,43,40
20,47,79
21,30,36
22,43,46
23,54,58
24,62,51
25,43,47
26,52,64
27,55,50
28,43,48
29,54,52
30,55,45
31,54,56
32,48,55
33,45,62
34,47,35
35,47,56
36,57,55
37,52,62
38,62,63
39,53,51
40,57,52
41,51,57
42,56,63
1,39,62
2,50,57
3,50,63
4,50,55
5,54,52
6,55,60
7,70,63
8,50,42
9,39,54
10,60,54
11,44,60
12,55,74
13,55,59
14,53,60
15,61,82
16,44,59
17,44,61
18,46,62
19,58,49
20,44,55
21,41,55
22,52,68
23,39,63
24,52,53
25,55,50
26,45,59
27,53,76
28,42,41
29,52,51
30,50,48
31,0,52
32,50,49
33,48,55
34,50,44
35,53,63
36,49,45
37,59,50
38,61,38
39,52,52
40,45,43
41,55,52
