Round,AGI,KAGI
1,56,42
2,47,45
3,53,60
4,47,39
5,49,39
6,47,41
7,43,52
8,41,50
9,56,52
10,47,44
11,50,24
12,46,47
13,48,50
14,56,54
15,43,50
16,50,45
17,54,41
18,51,45
19,43,58
20,59,46
21,64,53
22,12,47
23,46,44
24,64,37
25,46,49
26,54,48
27,60,41
28,49,50
29,44,56
30,68,66
31,58,47
32,51,47
33,46,48
34,50,41
35,41,51
36,57,43
37,29,32
38,43,36
39,45,33
40,50,38
41,51,54
42,48,34
1,67,55
2,48,49
3,49,36
4,67,59
5,56,65
6,55,47
7,45,49
8,47,36
9,64,49
10,58,51
11,35,52
12,52,41
13,54,49
14,42,47
15,62,53
16,41,45
17,52,53
18,43,53
19,30,38
20,55,46
21,47,46
22,55,56
23,49,49
24,50,50
25,49,34
26,33,41
27,53,59
28,16,34
29,50,43
30,36,45
31,51,50
32,50,59
33,46,41
34,49,49
35,52,41
36,41,50
37,51,49
38,44,52
39,47,52
40,67,61
41,58,38
42,47,59
1,39,26
2,52,56
3,54,39
4,49,42
5,45,43
6,54,55
7,47,55
8,69,65
9,40,57
10,47,44
11,49,58
12,51,36
13,51,50
14,43,47
15,62,66
16,52,41
17,52,31
18,56,46
19,56,51
20,49,48
21,47,39
22,60,87
23,56,51
24,63,45
25,42,46
26,60,40
27,52,49
28,54,47
29,35,32
30,55,53
31,42,32
32,41,44
33,36,42
34,52,62
35,47,50
36,45,43
37,40,60
38,47,47
39,45,36
40,39,28
41,49,55
42,29,32
1,38,61
2,40,47
3,46,45
4,37,46
5,43,33
6,46,55
7,45,38
8,43,50
9,46,35
10,36,42
11,37,44
12,44,45
13,50,57
14,43,30
15,26,49
16,45,47
17,34,40
18,45,59
19,61,51
20,42,41
21,35,47
22,48,49
23,37,61
24,37,37
25,24,34
26,56,51
27,55,49
28,53,56
29,44,62
30,58,54
31,60,60
32,54,54
33,53,46
34,68,100
35,50,46
36,47,55
37,44,54
38,48,61
39,50,60
40,51,62
41,45,53
